"Rk","Pos","Player","Sta","Opp (GMT)","FPts","FP/G","G/90M","G/G","A/G","A/90M","ABS","AFKG","AHW","AOG","APL","APKG","AR","ASOP","Pts","Pt/G","Pt/90M","Sh/G","Sh/90M","ShG/G","ShG/90M","FC/G","FS/G","RCR","DPt","6S","Off/G","Off/90M","HT","GAD","GAF","GAM","CSD","CSF","CSM"
"1","F","Agüero, Sergio - MCI","FA","SOU Sat 3:00PM","36.18","36.18","1.1","1.0","0.0","0.0","0","0","0","0","0","0","0","0","1","1.0","1.1","7.0","7.6","4.0","4.3","2.0","1.0","0","2","0","1.0","1.1","0","0","0","0","0","1","0"
"2","F","Pellè, Graziano - SOU","FA","@MCI Sat 3:00PM","32","32","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","7.0","7.0","1.0","1.0","3.0","2.0","0","6","0","1.0","1.0","0","0","3","0","0","0","0"
"3","F","Falcao - CHE","FA","@TOT Sun 12:00PM","30.55","30.55","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","2.0","16.4","1.0","8.2","0.0","1.0","0","0","0","0.0","0.0","0","0","2","0","0","0","0"
"4","M","Barkley, Ross - EVE","FA","@BOUR Sat 3:00PM","29","29","1.0","1.0","1.0","1.0","0","0","0","0","0","0","0","0","2","2.0","2.0","3.0","3.0","2.0","2.0","2.0","1.0","0","5","0","0.0","0.0","0","0","0","0","0","0","1"
"5","F","Diouf, Mame Biram - STK","FA","@SUN Sat 3:00PM","29","29","1.0","1.0","0.0","0.0","0","0","0","0","0","0","0","0","1","1.0","1.0","5.0","5.0","5.0","5.0","1.0","0.0","0","1","0","0.0","0.0","0","0","2","0","0","0","0"
"6","F","Arnautovic, Marko - STK","FA","@SUN Sat 3:00PM","28.1","28.1","1.0","1.0","0.0","0.0","0","0","0","0","0","0","0","0","1","1.0","1.0","4.0","4.0","2.0","2.0","2.0","3.0","0","2","0","1.0","1.0","0","0","0","2","0","0","0"
"7","F","Okazaki, Shinji - LEIC","WW","MUN Sat 5:30PM","26.16","26.16","1.5","1.0","0.0","0.0","0","0","0","0","0","0","0","0","1","1.0","1.5","2.0","2.9","2.0","2.9","1.0","2.0","0","4","0","1.0","1.5","0","0","1","0","0","0","0"
"8","F","Lukaku, Romelu - EVE","FA","@BOUR Sat 3:00PM","25.1","25.1","2.0","2.0","0.0","0.0","0","0","0","0","0","0","0","0","2","2.0","2.0","3.0","3.0","2.0","2.0","1.0","2.0","0","1","0","0.0","0.0","0","0","0","0","0","1","0"
"9","M","Yaya Touré - MCI","FA","SOU Sat 3:00PM","25","25","0.0","0.0","1.0","1.0","0","0","0","0","0","0","0","0","1","1.0","1.0","4.0","4.0","2.0","2.0","1.0","2.0","0","4","0","0.0","0.0","0","0","0","0","0","0","1"
"10","F","Sánchez, Alexis - ARS","FA","@NOR Sun 4:15PM","24.8","24.8","0.0","0.0","0.0","0.0","0","0","0","0","1","0","0","0","0","0.0","0.0","7.0","8.4","2.0","2.4","1.0","1.0","0","1","0","0.0","0.0","0","0","0","1","0","0","0"
