"Rk","Pos","Player","Sta","Opp (GMT)","FPts","FP/G","GP","GS","Min","G","A","ASh","Sh","SOG","SA","SOP","SB","Tk","TkW","TLM","PLC","FC","FS","YC","SYC","RC","HB","Pen","DP","Off","Pa","APa","Pc%","SFTP","Cr","ACr","CF","CK","CIB","CF","CC","FKS","Int","IntB","ClA","ClS","CoA","CoS","CSLM","BCr","BS","DW","DL","AW","AL","BCC","BCM","BCS","FKG","FKM","PL","SubOn","SubOff","PKG","PKA","PKM","PKD","GON","GA","ShA","ShA","CS","W","L","T"
"1","D","Sagna, Bacary - MCI","FA","EVE Wed 7:45PM","368.67","368.67","1","1","90","0","0","1","1","0","0.0","0","0","3","2","0","34","2","2","0","0","0","0","0","0","0","66","44","66.7","13","2","0","2","0","0","0","0","0","2","0","8","8","1","0","0","0","0","11","5","6","2","0","0","0","0","0","34","0","0","0","0","0","0","0","0","11","11","1","0","0","1"
"2","M","Özil, Mesut - ARS","FA","@LIV Wed 8:00PM","360.95","360.95","1","1","90","1","1","9","1","1","1.0","0","0","2","2","0","14","0","0","0","0","0","0","0","0","0","60","57","95.0","33","11","6","5","9","6","1","0","0","0","0","0","0","2","1","0","0","0","3","7","0","0","4","0","1","0","0","14","0","0","0","0","0","0","0","0","0","10","1","1","0","0"
"3","M","Schweinsteiger, Bastian - MUN","WW","@NEW Tue 7:45PM","359.94","359.94","1","1","90","0","0","2","3","0","0.0","0","2","1","0","0","11","4","0","1","0","0","0","0","0","0","96","90","93.8","23","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","10","0","1","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","8","1","0","0","1"
"4","M","Davis, Steven - SOU","FA","WAT Wed 7:45PM","350.06","350.06","1","1","90","0","0","1","4","1","0.3","0","1","3","3","0","24","1","1","0","0","0","0","0","0","0","57","46","80.7","25","8","1","7","4","1","4","1","0","1","0","1","0","3","1","0","0","0","5","10","0","2","0","0","0","0","0","25","0","0","0","0","0","0","0","2","0","13","0","0","1","0"
"5","D","Fuchs, Christian - LEIC","FA","@TOT Wed 8:00PM","347.62","347.62","1","1","90","0","0","2","2","2","1.0","0","0","0","0","0","41","0","0","0","0","0","0","0","0","0","50","31","62.0","7","4","1","3","0","0","0","2","1","4","0","2","2","0","0","0","3","0","2","4","2","0","1","0","0","0","0","41","0","0","0","0","0","0","0","0","21","21","1","0","0","1"
"6","M","Sessegnon, Stéphane - WBA","FA","@CHE Wed 7:45PM","344.88","344.88","1","1","90","0","0","5","0","0","0","0","0","3","2","0","25","2","5","0","0","0","0","0","0","0","40","35","87.5","25","12","2","10","9","2","3","0","0","1","0","0","0","10","5","0","0","0","13","8","0","1","0","0","0","0","0","25","0","0","0","0","0","0","0","0","0","7","1","1","0","0"
"7","M,F","De Bruyne, Kevin - MCI","WW","EVE Wed 7:45PM","343.22","343.22","1","1","90","0","0","3","2","1","0.5","0","0","2","2","0","33","0","0","1","0","0","0","0","0","0","47","34","72.3","18","15","3","12","9","2","2","0","0","1","0","0","0","3","2","0","0","0","4","6","0","1","1","0","0","0","0","33","0","0","0","0","0","0","0","0","0","11","1","0","0","1"
"8","M","Herrera, Ander - MUN","FA","@NEW Tue 7:45PM","339.39","339.39","1","1","90","0","0","1","2","1","0.5","0","1","6","4","0","17","2","1","0","0","0","0","0","0","0","66","59","89.4","21","3","1","2","0","0","2","0","0","2","0","1","1","3","1","0","0","0","8","12","0","1","0","1","0","0","0","17","0","0","0","0","0","0","0","0","0","8","1","0","0","1"
"9","M","Barry, Gareth - EVE","FA","@MCI Wed 7:45PM","329.88","329.88","1","1","90","0","0","1","0","0","0","0","0","4","4","0","12","2","0","0","0","0","0","0","0","0","76","67","88.2","17","2","1","1","1","1","0","0","0","1","0","1","1","1","1","0","0","2","7","6","2","1","0","0","0","0","0","12","0","0","0","0","0","0","0","4","0","8","0","0","1","0"
"10","M","Barkley, Ross - EVE","FA","@MCI Wed 7:45PM","323.96","323.96","1","1","90","0","1","2","3","0","0.0","0","3","0","0","0","10","0","1","0","0","0","0","0","0","0","70","67","95.7","19","3","0","3","2","0","1","0","0","1","0","0","0","6","6","0","0","0","7","2","0","0","1","0","0","0","0","10","0","0","0","0","0","0","0","4","0","8","0","0","1","0"
"11","M","Arter, Harry - BOUR","FA","WHU Tue 7:45PM","323.93","323.93","1","1","90","0","0","5","4","0","0.0","0","3","4","3","0","6","1","2","0","0","0","0","0","0","0","67","62","92.5","30","0","0","0","0","0","0","0","0","2","0","0","0","3","2","0","0","0","9","6","1","0","0","0","0","0","0","6","0","0","0","0","0","0","0","2","0","12","0","0","1","0"
"12","M","Noble, Mark - WHU","FA","@BOUR Tue 7:45PM","321.88","321.88","1","1","90","0","0","3","0","0","0","0","0","5","4","0","12","0","0","0","0","0","0","0","0","0","74","65","87.8","17","2","0","2","0","0","0","0","0","4","0","0","0","0","0","0","0","0","6","4","1","0","0","0","0","0","0","12","0","0","0","0","0","0","0","1","0","16","0","1","0","0"
"13","M","Ramsey, Aaron - ARS","FA","@LIV Wed 8:00PM","321.86","321.86","1","1","90","0","0","0","0","0","0","0","0","2","2","0","19","1","0","1","0","0","0","0","0","0","70","60","85.7","22","3","0","3","0","0","1","1","0","4","0","0","0","0","0","0","0","0","3","5","1","0","0","0","0","0","0","19","0","0","0","0","0","0","0","0","0","10","1","1","0","0"
"14","D,M","Blind, Daley - MUN","FA","@NEW Tue 7:45PM","318.97","318.97","1","1","81","0","0","1","0","0","0","0","0","4","4","0","8","1","1","0","0","0","0","0","0","0","78","76","97.4","14","4","0","4","4","0","0","0","0","3","0","0","0","0","0","0","0","0","5","1","0","0","0","0","0","0","0","8","0","1","0","0","0","0","0","0","8","8","1","0","0","1"
"15","D","Souaré, Pape - CRY","FA","@AVL Tue 7:45PM","315.75","315.75","1","1","90","0","0","1","0","0","0","0","0","2","2","0","25","1","1","1","0","0","0","0","0","1","55","41","74.5","12","11","3","8","0","0","1","0","0","1","0","1","0","0","0","0","1","0","7","2","4","1","0","0","0","0","0","26","0","0","0","0","0","0","0","0","5","5","1","0","0","1"
"16","D","Francis, Simon - BOUR","FA","WHU Tue 7:45PM","310.81","310.81","1","1","90","0","0","0","0","0","0","0","0","1","1","0","14","0","0","0","0","0","0","0","0","0","73","59","80.8","7","0","0","0","0","0","0","2","0","1","0","9","8","1","1","0","0","0","2","0","0","0","0","0","0","0","0","15","0","0","0","0","0","0","0","2","12","12","0","0","1","0"
"17","M","Can, Emre - LIV","FA","ARS Wed 8:00PM","310.81","310.81","1","1","90","0","0","0","2","0","0.0","0","1","2","1","0","14","3","3","1","0","0","1","0","0","0","62","50","80.6","12","0","0","0","0","0","0","1","0","2","0","2","2","3","3","0","1","1","11","8","4","4","0","0","0","0","0","14","0","0","0","0","0","0","0","0","0","8","1","1","0","0"
"18","D","Otamendi, Nicolás - MCI","WW","EVE Wed 7:45PM","309.22","309.22","1","1","90","0","0","0","2","1","0.5","0","0","1","0","0","14","1","1","0","0","0","0","0","0","0","50","36","72.0","4","0","0","0","0","0","1","0","0","4","0","14","12","1","1","0","0","0","12","6","9","3","0","0","0","0","0","16","0","0","0","0","0","0","0","0","11","11","1","0","0","1"
"19","D","Alderweireld, Toby - TOT","FA","LEIC Wed 8:00PM","308.76","308.76","1","1","90","0","0","0","1","0","0.0","0","0","2","2","0","17","1","0","1","0","0","0","0","0","0","68","52","76.5","8","0","0","0","0","0","0","0","0","3","1","6","4","0","0","0","0","0","4","4","2","2","0","0","0","0","0","19","0","0","0","0","0","0","0","1","9","9","0","1","0","0"
