"Rk","Pos","Player","Sta","Opp (GMT)","FPts","FP/G","G/90M","G/G","A/G","A/90M","ABS","AFKG","AHW","AOG","APL","APKG","AR","ASOP","Pts","Pt/G","Pt/90M","Sh/G","Sh/90M","ShG/G","ShG/90M","FC/G","FS/G","RCR","DPt","6S","Off/G","Off/90M","HT","GAD","GAF","GAM","CSD","CSF","CSM"
"1","F","Kane, Harry - TOT","FA","WHU Sun 4:00PM","44","44","3.2","3.0","0.0","0.0","0","0","0","0","0","0","0","0","3","3.0","3.2","4.0","4.2","4.0","4.2","1.0","2.0","0","1","0","3.0","3.2","1","0","1","0","0","0","0"
"2","F","N'Jie, Clinton - TOT","WW","WHU Sun 4:00PM","38","38","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","1.0","18.0","1.0","18.0","0.0","0.0","0","0","0","0.0","0.0","0","0","0","0","0","0","0"
"3","M","Flamini, Mathieu - ARS","FA","@WBA Sat 3:00PM","35","35","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","2.0","20.0","1.0","10.0","1.0","0.0","0","1","0","0.0","0.0","0","0","0","0","0","0","0"
"4","M","Mané, Sadio - SOU","FA","STK Sat 3:00PM","33.08","33.08","1.0","1.0","0.0","0.0","0","0","0","0","0","0","0","0","1","1.0","1.0","2.0","2.0","1.0","1.0","4.0","3.0","0","10","0","2.0","2.0","0","0","0","1","0","0","0"
"5","F","Giroud, Olivier - ARS","FA","@WBA Sat 3:00PM","29","29","1.0","1.0","0.0","0.0","0","0","0","0","0","0","0","0","1","1.0","1.0","6.0","6.0","2.0","2.0","2.0","0.0","0","5","0","0.0","0.0","0","0","1","0","0","0","0"
"6","M","Ritchie, Matt - BOUR","FA","@SWA Sat 3:00PM","27","27","1.0","1.0","0.0","0.0","0","0","0","0","0","0","0","0","1","1.0","1.0","5.0","5.0","2.0","2.0","1.0","1.0","0","1","0","0.0","0.0","0","0","0","5","0","0","0"
"7","F","Ighalo, Odion - WAT","FA","MUN Sat 12:45PM","26.08","26.08","0.0","0.0","2.0","2.0","0","0","0","0","0","0","0","0","2","2.0","2.0","3.0","3.0","0.0","0.0","2.0","2.0","0","5","0","0.0","0.0","0","0","0","0","0","1","0"
"8","M","Adam, Charlie - STK","FA","@SOU Sat 3:00PM","26","26","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","5.0","5.0","0.0","0.0","4.0","3.0","0","7","0","0.0","0.0","0","0","0","2","0","0","0"
"9","F","Deeney, Troy - WAT","FA","MUN Sat 12:45PM","26","26","1.0","1.0","0.0","0.0","0","0","0","0","0","0","0","0","1","1.0","1.0","3.0","3.0","1.0","1.0","5.0","2.0","0","5","0","0.0","0.0","0","0","0","0","0","0","1"
"10","F","Carroll, Andy - WHU","FA","@TOT Sun 4:00PM","25.14","25.14","4.3","1.0","0.0","0.0","0","0","0","0","0","0","0","0","1","1.0","4.3","1.0","4.3","1.0","4.3","1.0","1.0","0","1","0","0.0","0.0","0","0","0","0","0","0","0"
"11","M","Barkley, Ross - EVE","FA","AVL Sat 3:00PM","24","24","1.0","1.0","0.0","0.0","0","0","0","0","0","0","0","0","1","1.0","1.0","2.0","2.0","2.0","2.0","3.0","3.0","0","3","0","0.0","0.0","0","0","0","2","0","0","0"
