"Rk","Pos","Player","Sta","Opp (GMT)","FPts","FP/G","GP","GS","Min","G","A","ASh","Sh","SOG","SA","SOP","SB","Tk","TkW","TLM","PLC","FC","FS","YC","SYC","RC","HB","Pen","DP","Off","Pa","APa","Pc%","SFTP","Cr","ACr","CF","CK","CF","CC","FKS","Int","IntB","ClA","ClS","CoA","CoS","CSLM","BCr","BS","DW","DL","AW","AL","BCC","BCM","BCS","FKG","FKM","PL","SubOn","SubOff","PKG","PKA","PKM","PKD","GON","GA","ShA","ShA","CS","W","L","T","CIB"
"1","M","Carrick, Michael - MUN","FA","@WAT Sat 12:45PM","407.9","407.9","1","1","90","0","0","1","1","0","0.0","0","1","3","2","0","13","0","0","0","0","0","0","0","0","0","115","103","89.6","47","1","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","5","0","2","0","0","0","0","0","0","13","0","0","0","0","0","0","0","0","0","4","1","1","0","0","0"
"2","M","Ki Sung-yueng - SWA","FA","BOUR Sat 3:00PM","396.93","396.93","1","1","90","0","0","1","1","0","0.0","0","0","1","1","0","8","2","5","0","0","0","0","0","0","0","113","105","92.9","32","0","0","0","0","0","0","0","2","0","2","0","0","0","0","0","0","7","2","1","0","0","0","0","0","0","10","0","0","0","0","0","0","0","1","0","9","0","0","1","0","0"
"3","M","Schweinsteiger, Bastian - MUN","WW","@WAT Sat 12:45PM","377.85","377.85","1","1","90","0","0","1","1","0","0.0","0","0","3","3","0","23","1","1","0","0","0","0","0","0","0","98","83","84.7","24","0","0","0","0","0","0","0","2","0","0","0","1","1","0","0","0","6","6","1","1","0","0","0","0","0","23","0","0","0","0","0","0","0","0","0","4","1","1","0","0","0"
"4","D","Federico Fernández - SWA","FA","BOUR Sat 3:00PM","373.87","373.87","1","1","90","0","0","0","0","0","0","0","0","2","2","0","15","0","1","0","0","0","0","0","0","0","103","90","87.4","3","0","0","0","0","0","0","0","4","0","4","4","0","0","0","0","0","7","5","4","3","0","0","0","0","0","15","0","0","0","0","0","0","0","1","9","9","0","0","1","0","0"
"5","M","Özil, Mesut - ARS","FA","@WBA Sat 3:00PM","361.81","361.81","1","1","90","0","1","7","0","0","0","0","0","2","1","0","26","1","5","0","0","0","0","0","0","0","54","44","81.5","24","14","6","8","6","1","0","0","0","0","1","1","4","1","0","0","0","8","9","0","0","3","0","0","0","0","26","0","0","0","0","0","0","0","1","0","14","0","0","0","1","0"
"6","M","Ritchie, Matt - BOUR","FA","@SWA Sat 3:00PM","358.9","358.9","1","1","90","0","0","3","5","1","0.2","0","2","1","1","0","33","3","2","0","0","0","0","0","0","0","50","35","70.0","19","21","7","14","9","7","0","0","0","0","1","1","1","1","0","0","0","4","6","0","1","1","0","0","0","0","33","0","0","0","0","0","0","0","1","0","2","0","0","1","0","0"
"7","D","Otamendi, Nicolás - MCI","WW","LIV Sat 5:30PM","351.92","351.92","1","1","90","0","0","0","1","0","0.0","0","1","2","1","0","9","1","2","1","0","0","0","0","0","0","100","92","92.0","8","0","0","0","0","0","0","0","4","0","2","2","0","0","0","0","0","6","4","2","1","0","0","0","0","0","9","0","0","0","0","0","0","0","0","3","3","1","0","0","1","0"
"8","M","Willian - CHE","FA","NOR Sat 3:00PM","349.84","349.84","1","1","90","0","0","4","2","0","0.0","0","1","1","1","0","24","0","1","0","0","0","0","0","0","0","63","53","84.1","24","10","0","10","8","1","0","0","0","0","0","0","5","5","0","0","0","7","2","0","1","0","0","0","0","0","24","0","0","0","0","0","0","0","1","0","8","0","0","1","0","0"
"9","D","Sagna, Bacary - MCI","FA","LIV Sat 5:30PM","344.78","344.78","1","1","90","0","0","0","1","0","0.0","0","1","4","1","0","22","0","0","0","0","0","0","0","0","0","68","53","77.9","20","3","0","3","0","2","1","0","0","0","6","5","1","0","0","0","0","12","5","8","2","0","0","0","0","0","23","0","0","0","0","0","0","0","0","3","3","1","0","0","1","0"
"10","D","Kompany, Vincent - MCI","FA","LIV Sat 5:30PM","336.9","336.9","1","1","90","0","0","0","0","0","0","0","0","4","3","0","11","0","1","0","0","0","0","0","0","0","88","79","89.8","14","0","0","0","0","0","1","0","0","0","5","5","0","0","0","1","0","7","1","2","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","3","3","1","0","0","1","0"
