"Rk","Pos","Player","Sta","Opp (GMT)","FPts","FP/G","GP","GS","Min","W","L","T","CS","ShA","ShA","GA","GAIB","GAOB","Sv","Sv%","SvIB","SvOB","YC","SYC","RC","RCR","FC","FC/G","FS","FS/G","Pen","DP","PKGA","PKS","PKF","PKD","SubOn","SubOff","G","A","ASh","ABS","AFKG","AHW","AOG","APL","APKG","ASOP","Pa","APa","SFTP","Int","IntB","ClA","ClS","OO","DW","DL","AW","AL","HCA","HCS","Sm","Pu","GON"
"1","G","Boruc, Artur - BOUR","FA","MUN Sat 5:30PM","196","196","1","1","90","1","0","0","1","19","7","0","0","0","7","100.0","5","1","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","38","15","2","0","0","1","1","0","0","0","0","0","2","2","0","1","0"
"2","G","Fabianski, Lukasz - SWA","FA","@MCI Sat 3:00PM","195.4","195.4","1","1","90","0","1","0","0","16","5","3","3","0","2","40.0","1","1","0","0","0","0","0","0.0","1","1.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","31","26","0","0","0","2","2","0","1","1","1","0","1","1","1","2","0"
"3","G","Guzan, Brad - AVL","FA","ARS Sun 1:30PM","190.75","190.75","1","1","90","0","0","1","0","23","4","1","1","0","3","75.0","1","2","1","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","33","12","2","0","0","1","1","0","0","0","0","0","5","5","0","1","0"
"4","G","Rudd, Declan - NOR","FA","EVE Sat 12:45PM","183.71","183.71","1","1","90","0","1","0","0","14","7","2","2","0","5","71.4","5","0","0","0","0","0","0","0.0","0","0.0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","32","11","4","1","1","0","0","0","0","0","0","0","2","2","0","0","0"
"5","G","Lloris, Hugo - TOT","FA","NEW Sun 4:00PM","180.75","180.75","1","1","90","0","0","1","0","11","4","1","1","0","3","75.0","2","1","0","0","0","0","0","0.0","1","1.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","34","22","1","0","0","0","0","0","2","0","1","0","1","1","0","0","0"
"6","G","Elliot, Robert - NEW","FA","@TOT Sun 4:00PM","171","171","1","1","90","1","0","0","1","10","1","0","0","0","1","100.0","1","0","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","40","16","5","0","0","0","0","0","0","0","0","0","1","1","0","0","0"
"7","G","Adrián - WHU","FA","STK Sat 3:00PM","169","169","1","1","90","0","0","1","1","21","1","0","0","0","1","100.0","1","0","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","32","14","2","0","0","0","0","0","0","0","0","0","1","1","0","0","0"
"8","G","Hennessey, Wayne - CRY","FA","SOU Sat 3:00PM","168.75","168.75","1","1","90","0","0","1","0","19","4","1","1","0","3","75.0","1","2","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","26","11","6","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"9","G","Cech, Petr - ARS","FA","@AVL Sun 1:30PM","166.83","166.83","1","1","90","1","0","0","0","12","6","1","1","0","5","83.3","3","1","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23","12","2","0","0","1","1","0","0","0","0","0","2","2","0","1","0"
"10","G","Courtois, Thibaut - CHE","FA","@LEIC Mon 8:00PM","161.8","161.8","1","1","90","0","1","0","0","15","5","1","1","0","4","80.0","4","0","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","12","1","0","0","1","1","0","0","0","0","0","1","1","0","1","0"
