"Rk","Pos","Player","Sta","Opp (GMT)","FPts","FP/G","GP","GS","Min","W","L","T","CS","ShA","ShA","GA","GAIB","GAOB","Sv","Sv%","SvIB","SvOB","YC","SYC","RC","RCR","FC","FC/G","FS","FS/G","Pen","DP","PKGA","PKS","PKF","PKD","SubOn","SubOff","G","A","ASh","ABS","AFKG","AHW","AOG","APL","APKG","ASOP","Pa","APa","SFTP","Int","IntB","ClA","ClS","OO","DW","DL","AW","AL","HCA","HCS","Sm","Pu","GON"
"1","G","Elliot, Robert - NEW","FA","LEIC Sat 3:00PM","211","211","1","1","90","1","0","0","1","20","5","0","0","0","5","100.0","5","0","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","32","17","3","0","0","8","8","0","1","0","1","0","3","2","0","6","0"
"2","G","Cech, Petr - ARS","FA","@WBA Sat 3:00PM","186.75","186.75","1","1","90","0","0","1","0","14","4","1","1","0","3","75.0","3","0","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","36","26","4","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"3","G","Lloris, Hugo - TOT","FA","WHU Sun 4:00PM","176.75","176.75","1","1","90","0","0","1","0","10","4","1","1","0","3","75.0","2","1","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","32","18","2","0","0","3","2","0","1","0","1","0","0","0","0","2","0"
"4","G","Gomes, Heurelho - WAT","FA","MUN Sat 12:45PM","174.67","174.67","1","1","90","0","1","0","0","12","6","2","2","0","4","66.7","1","3","1","0","0","0","1","1.0","0","0.0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","23","13","0","0","0","1","1","0","0","1","0","0","3","3","0","0","0"
"5","G","Guzan, Brad - AVL","FA","@EVE Sat 3:00PM","174","174","1","1","90","0","0","1","1","13","3","0","0","0","3","100.0","2","1","1","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","35","11","1","0","0","1","1","0","0","0","0","0","3","3","0","1","0"
"6","G","Myhill, Boaz - WBA","FA","ARS Sat 3:00PM","171.33","171.33","1","1","90","0","1","0","0","13","3","2","1","1","1","33.3","1","0","0","0","0","0","0","0.0","0","0.0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","36","13","1","0","0","0","0","0","1","0","1","0","1","1","0","0","0"
"7","G","Hennessey, Wayne - CRY","FA","SUN Mon 8:00PM","170.75","170.75","1","1","90","1","0","0","0","22","4","1","1","0","3","75.0","2","1","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","28","13","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"8","G","Butland, Jack - STK","FA","@SOU Sat 3:00PM","170","170","1","1","90","1","0","0","1","19","4","0","0","0","4","100.0","2","2","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30","8","2","0","0","1","1","0","0","1","0","0","0","0","0","1","0"
"9","G","Howard, Tim - EVE","FA","AVL Sat 3:00PM","168.8","168.8","1","1","90","0","0","1","0","16","5","1","1","0","4","80.0","0","4","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21","12","0","0","0","3","3","0","0","0","0","0","1","1","0","3","0"
"10","G","Mignolet, Simon - LIV","FA","@MCI Sat 5:30PM","166.5","166.5","1","1","90","0","1","0","0","9","4","2","2","0","2","50.0","1","1","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","27","17","4","0","0","0","0","0","0","0","0","0","2","2","0","0","0"
"11","G","Fabianski, Lukasz - SWA","FA","BOUR Sat 3:00PM","165.8","165.8","1","1","90","0","1","0","0","9","5","1","1","0","4","80.0","1","3","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23","14","0","0","0","2","2","0","0","0","0","0","3","2","0","2","0"
"12","G","Schmeichel, Kasper - LEIC","FA","@NEW Sat 3:00PM","159.75","159.75","1","1","90","1","0","0","0","8","4","1","1","0","3","75.0","1","2","0","0","0","0","0","0.0","0","0.0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","28","11","2","0","0","1","1","0","0","0","0","0","0","0","0","1","0"
"13","G","Pantilimon, Costel - SUN","FA","@CRY Mon 8:00PM","158.75","158.75","1","1","90","0","1","0","0","14","4","1","1","0","3","75.0","2","1","0","0","0","0","0","0.0","0","0.0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","26","7","1","0","0","1","1","0","0","0","0","0","0","0","0","1","0"
"14","G","de Gea, David - MUN","FA","@WAT Sat 12:45PM","155","155","1","1","90","1","0","0","1","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","31","23","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0"
"15","G","Adrián - WHU","FA","@TOT Sun 4:00PM","153.75","153.75","1","1","90","0","0","1","0","13","4","1","1","0","3","75.0","0","3","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16","12","1","0","0","2","1","0","0","1","0","0","0","0","1","1","0"
"16","G","Stekelenburg, Maarten - SOU","FA","STK Sat 3:00PM","149","149","1","1","90","1","0","0","1","9","3","0","0","0","3","100.0","3","0","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22","11","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0"
"17","G","Federici, Adam - BOUR","FA","@SWA Sat 3:00PM","145","145","1","1","90","0","1","0","0","2","1","1","1","0","0","0.0","0","0","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","24","23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"18","G","Ruddy, John - NOR","FA","@CHE Sat 3:00PM","141","141","1","1","90","1","0","0","1","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25","10","1","0","0","0","0","0","1","0","0","0","1","1","0","0","0"
