"Rk","Pos","Player","Sta","Opp (GMT)","FPts","FP/G","GP","GS","Min","G","A","ASh","Sh","SOG","SA","SOP","SB","Tk","TkW","TLM","PLC","FC","FS","YC","SYC","RC","HB","Pen","DP","Off","Pa","APa","Pc%","SFTP","Cr","ACr","CF","CK","CF","CC","FKS","Int","IntB","ClA","ClS","CoA","CoS","CSLM","BCr","BS","DW","DL","AW","AL","BCC","BCM","BCS","FKG","FKM","PL","SubOn","SubOff","PKG","PKA","PKM","PKD","GON","GA","ShA","ShA","CS","W","L","T","CIB"
"1","M","Leiva, Lucas - LIV","FA","SWA Sun 4:15PM","406.93","406.93","1","1","90","0","0","0","0","0","0","0","0","11","8","0","8","2","2","0","0","0","0","0","0","0","108","100","92.6","22","1","1","0","0","0","0","0","2","0","1","1","1","1","0","0","0","16","4","2","2","0","0","0","0","0","8","0","0","0","0","0","0","0","2","0","10","0","1","0","0","0"
"2","M","Cazorla, Santiago - ARS","FA","@NOR Sun 4:15PM","376.41","376.41","1","1","90","0","1","5","4","2","0.5","0","1","5","3","0","14","0","1","0","0","0","0","0","0","1","78","71","91.0","23","2","0","2","2","0","0","0","1","0","4","1","4","3","0","1","0","9","6","0","1","2","0","0","0","0","17","0","0","0","0","0","0","0","2","0","16","0","1","0","0","0"
"3","M","Coutinho, Philippe - LIV","FA","SWA Sun 4:15PM","374.32","374.32","1","1","90","0","2","3","7","3","0.4","0","3","3","3","0","17","1","1","0","0","0","0","0","0","0","73","65","89.0","27","3","0","3","1","5","0","2","2","0","0","0","4","2","0","0","0","6","12","0","2","1","0","0","0","0","17","0","0","0","0","0","0","0","2","0","10","0","1","0","0","0"
"4","M","Fàbregas, Cesc - CHE","FA","@TOT Sun 12:00PM","373.16","373.16","1","1","90","0","0","2","3","1","0.3","0","1","1","1","0","22","0","1","0","0","0","0","0","0","0","80","66","82.5","31","5","1","4","4","1","0","0","0","0","2","2","0","0","0","0","1","4","7","2","1","1","0","0","0","0","22","0","0","0","0","0","0","0","2","0","11","0","0","0","1","0"
"5","F","Sánchez, Alexis - ARS","FA","@NOR Sun 4:15PM","351.19","351.19","1","1","90","3","0","3","7","3","0.4","0","4","3","2","0","22","3","1","0","0","0","1","0","0","0","50","38","76.0","17","1","0","1","1","2","0","0","0","0","0","0","8","8","0","0","0","13","11","1","3","0","0","2","0","0","22","0","0","0","0","0","0","0","2","0","16","0","1","0","0","0"
"6","M","Mahrez, Riyad - LEIC","FA","MUN Sat 5:30PM","340.03","340.03","1","1","90","0","0","3","4","1","0.3","0","2","0","0","0","26","0","2","0","0","0","0","0","0","0","32","25","78.1","13","9","3","6","5","0","0","0","0","0","0","0","11","8","0","0","0","12","18","2","5","1","0","0","0","0","26","0","0","0","0","0","0","0","5","0","27","0","0","1","0","0"
"7","D","Sagna, Bacary - MCI","FA","SOU Sat 3:00PM","339.73","339.73","1","1","90","0","0","2","0","0","0","0","0","1","0","0","25","0","1","0","0","0","0","0","0","0","63","46","73.0","19","2","0","2","0","0","0","0","2","0","5","3","0","0","0","0","1","8","4","6","1","0","0","0","0","0","27","0","0","0","0","0","0","0","4","15","15","0","0","1","0","0"
"8","M","Özil, Mesut - ARS","FA","@NOR Sun 4:15PM","331.27","331.27","1","1","90","0","1","7","3","1","0.3","0","2","2","1","0","16","1","0","0","0","0","0","0","1","0","59","55","93.2","26","2","0","2","2","2","0","0","0","0","1","1","2","1","0","0","0","3","10","0","0","1","1","0","0","0","16","0","0","0","0","0","0","0","2","0","16","0","1","0","0","0"
"9","M,F","De Bruyne, Kevin - MCI","WW","SOU Sat 3:00PM","324.28","324.28","1","1","90","1","0","1","3","2","0.7","0","0","1","1","0","33","0","2","0","0","0","0","0","0","0","46","28","60.9","15","7","0","7","4","1","0","1","0","0","0","0","2","0","0","0","0","4","11","1","2","0","0","1","0","0","33","0","0","0","0","0","0","0","4","0","15","0","0","1","0","0"
"10","M","Schlupp, Jeffrey - LEIC","FA","MUN Sat 5:30PM","320.76","320.76","1","1","90","0","0","0","2","2","1.0","0","0","4","3","0","18","0","2","0","0","0","0","0","0","0","42","32","76.2","15","1","0","1","0","1","0","0","3","0","1","0","3","2","0","0","0","10","4","2","0","0","0","0","0","0","19","0","0","0","0","0","0","0","5","27","27","0","0","1","0","0"
