"Rk","Pos","Player","Sta","Opp (GMT)","FPts","FP/G","GP","GS","Min","G","A","ASh","Sh","SOG","SA","SOP","SB","Tk","TkW","TLM","PLC","FC","FS","YC","SYC","RC","HB","Pen","DP","Off","Pa","APa","Pc%","SFTP","Cr","ACr","CF","CK","CF","CC","FKS","Int","IntB","ClA","ClS","CoA","CoS","CSLM","BCr","BS","DW","DL","AW","AL","BCC","BCM","BCS","FKG","FKM","PL","SubOn","SubOff","PKG","PKA","PKM","PKD","GON","GA","ShA","ShA","CS","W","L","T","CIB"
"1","M","Fernandinho - MCI","FA","LIV Sat 5:30PM","434.96","434.96","1","1","90","0","0","2","0","0","0","0","0","3","1","0","7","0","3","0","0","0","0","0","0","0","125","120","96.0","51","0","0","0","0","0","1","0","0","0","1","1","1","1","0","0","0","7","3","0","0","1","0","0","0","0","7","0","0","0","0","0","0","0","1","0","5","0","1","0","0","0"
"2","M","Barkley, Ross - EVE","FA","AVL Sat 3:00PM","417.94","417.94","1","1","90","0","0","3","2","0","0.0","0","1","0","0","0","12","0","3","0","0","0","0","0","0","2","107","101","94.4","41","3","0","3","4","0","0","0","1","0","1","1","1","1","0","0","0","5","0","1","0","0","0","0","0","0","12","0","0","0","0","0","0","0","2","0","17","0","1","0","0","0"
"3","M","Barry, Gareth - EVE","FA","AVL Sat 3:00PM","384.9","384.9","1","1","90","0","0","0","1","0","0.0","0","1","1","1","0","11","2","0","0","0","0","0","0","0","0","100","90","90.0","28","0","0","0","0","0","0","0","2","1","5","4","0","0","0","0","2","2","6","1","2","0","0","0","0","0","12","0","0","0","0","0","0","0","2","0","17","0","1","0","0","0"
"4","M","Yaya Touré - MCI","FA","LIV Sat 5:30PM","384.3","384.3","1","1","89","1","0","0","5","2","0.4","0","2","2","0","0","17","0","1","0","0","0","0","0","0","0","98","88","89.8","26","1","0","1","0","3","0","1","0","0","0","0","1","1","0","0","0","4","5","0","1","0","0","1","0","0","17","0","1","1","1","0","0","0","1","0","5","0","1","0","0","0"
"5","D","Sagna, Bacary - MCI","FA","LIV Sat 5:30PM","357.9","357.9","1","1","90","0","0","2","0","0","0","0","0","1","0","0","12","0","1","0","0","0","0","0","0","0","91","82","90.1","28","2","1","1","0","1","0","0","0","0","4","4","0","0","0","0","1","5","2","3","1","0","0","0","0","0","12","0","0","0","0","0","0","0","1","5","5","0","1","0","0","0"
"6","M","Shelvey, Jonjo - SWA","FA","BOUR Sat 3:00PM","352.86","352.86","1","1","90","0","0","1","1","0","0.0","0","0","0","0","0","17","0","1","0","0","0","0","0","0","0","83","71","85.5","20","5","1","4","4","0","0","0","3","0","0","0","1","1","0","1","0","3","6","1","0","1","0","0","0","0","17","0","0","0","0","0","0","0","3","0","14","0","0","1","0","0"
"7","M","McCarthy, James - EVE","FA","AVL Sat 3:00PM","334.89","334.89","1","1","90","0","1","1","0","0","0","0","0","1","1","0","11","0","0","0","0","0","0","0","0","0","87","77","88.5","20","1","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","2","4","1","1","1","0","0","0","0","11","0","0","0","0","0","0","0","2","0","17","0","1","0","0","0"
"8","D","Otamendi, Nicolás - MCI","WW","LIV Sat 5:30PM","333.91","333.91","1","1","90","1","0","1","2","2","1.0","0","0","6","5","0","7","0","1","0","0","0","0","0","0","0","70","64","91.4","8","1","0","1","0","0","1","0","0","0","9","7","0","0","0","2","0","12","6","5","4","0","0","0","0","0","9","0","0","0","0","0","0","0","1","5","5","0","1","0","0","0"
"9","M","Dele Alli - TOT","FA","WHU Sun 4:00PM","329.33","329.33","1","1","89","1","0","1","2","1","0.5","0","1","2","2","0","20","0","2","0","0","0","0","0","0","0","60","50","83.3","12","1","0","1","0","1","0","0","3","0","4","3","5","1","0","0","0","7","11","2","3","0","0","0","0","0","21","0","1","0","0","0","0","0","1","0","13","0","1","0","0","0"
"10","M","Leiva, Lucas - LIV","FA","@MCI Sat 5:30PM","325.32","325.32","1","1","90","0","0","2","2","1","0.5","0","1","5","2","0","17","6","0","1","0","0","0","0","0","0","73","60","82.2","12","0","0","0","0","0","0","0","1","0","0","0","2","2","0","0","0","8","9","1","0","0","0","0","0","0","17","0","0","0","0","0","0","0","1","0","8","0","1","0","0","0"
"11","M","Can, Emre - LIV","FA","@MCI Sat 5:30PM","323.83","323.83","1","1","90","0","0","2","0","0","0","0","0","2","1","0","18","4","0","1","0","0","0","0","0","0","75","62","82.7","16","0","0","0","0","0","0","0","2","0","1","1","2","1","0","0","0","4","10","1","0","0","0","0","0","0","18","0","0","0","0","0","0","0","1","0","8","0","1","0","0","0"
"12","D","Naughton, Kyle - SWA","FA","BOUR Sat 3:00PM","323.73","323.73","1","1","90","0","0","1","0","0","0","0","0","1","1","0","25","1","1","0","0","0","0","0","0","0","63","46","73.0","10","5","0","5","0","0","0","0","1","0","1","1","2","1","0","2","0","5","3","2","1","0","0","0","0","0","25","0","0","0","0","0","0","0","3","14","14","0","0","1","0","0"
"13","F","Ayoze Pérez - NEW","FA","LEIC Sat 3:00PM","323.21","323.21","1","1","90","0","0","6","2","1","0.5","0","0","1","1","0","30","1","1","0","0","0","0","0","0","0","38","27","71.1","14","17","5","12","10","4","0","0","0","0","0","0","6","3","0","0","0","5","5","0","0","0","0","0","0","0","30","0","0","0","0","0","0","0","0","0","9","1","0","0","1","0"
