"Rk","Pos","Player","Sta","Opp (GMT)","FPts","FP/G","G/90M","G/G","A/G","A/90M","ABS","AFKG","AHW","AOG","APL","APKG","AR","ASOP","Pts","Pt/G","Pt/90M","Sh/G","Sh/90M","ShG/G","ShG/90M","FC/G","FS/G","RCR","DPt","6S","Off/G","Off/90M","HT","GAD","GAF","GAM","CSD","CSF","CSM"
"1","F","Ulloa, Leonardo - LEIC","FA","@TOT Wed 8:00PM","67","67","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","1.0","30.0","1.0","30.0","2.0","0.0","0","2","0","0.0","0.0","0","0","1","0","0","0","0"
"2","M","Lee Chung-yong - CRY","FA","@AVL Tue 7:45PM","45","45","10.0","1.0","0.0","0.0","0","0","0","0","0","0","0","0","1","1.0","10.0","1.0","10.0","1.0","10.0","0.0","0.0","0","0","0","0.0","0.0","0","0","0","0","0","0","0"
"3","M","Dele Alli - TOT","FA","LEIC Wed 8:00PM","30.11","30.11","1.1","1.0","1.0","1.1","0","0","0","0","0","0","0","0","2","2.0","2.3","2.0","2.3","1.0","1.1","2.0","3.0","0","5","0","1.0","1.1","0","0","0","0","0","0","1"
"4","M","Mirallas, Kevin - EVE","FA","@MCI Wed 7:45PM","28.5","28.5","5.6","1.0","0.0","0.0","0","0","0","0","0","0","0","0","1","1.0","5.6","1.0","5.6","1.0","5.6","0.0","1.0","0","0","0","0.0","0.0","0","0","0","0","0","0","0"
"5","M","Barkley, Ross - EVE","FA","@MCI Wed 7:45PM","27","27","0.0","0.0","1.0","1.0","1","0","0","0","0","0","0","0","1","1.0","1.0","5.0","5.0","3.0","3.0","0.0","2.0","0","0","0","0.0","0.0","0","0","0","3","0","0","0"
"6","F","Okazaki, Shinji - LEIC","WW","@TOT Wed 8:00PM","27","27","1.0","1.0","0.0","0.0","0","0","0","0","0","1","0","0","1","1.0","1.0","3.0","3.0","1.0","1.0","4.0","3.0","0","4","0","0.0","0.0","0","0","2","0","0","0","0"
"7","M","Mané, Sadio - SOU","FA","WAT Wed 7:45PM","26","26","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","5.0","5.0","1.0","1.0","3.0","2.0","0","3","0","2.0","2.0","0","0","0","2","0","0","0"
"8","F","Ighalo, Odion - WAT","FA","@SOU Wed 7:45PM","25.23","25.23","2.0","2.0","0.0","0.0","0","0","0","0","0","0","0","0","2","2.0","2.0","3.0","3.1","3.0","3.1","0.0","2.0","0","0","0","0.0","0.0","0","0","0","0","0","1","0"
"9","M","Mulumbu, Youssouf - NOR","FA","@STK Wed 7:45PM","24.5","24.5","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","1.0","11.3","1.0","11.3","0.0","0.0","0","0","0","0.0","0.0","0","0","0","0","0","0","0"
"10","F","Borini, Fabio - SUN","FA","@SWA Wed 7:45PM","24","24","2.0","1.0","0.0","0.0","0","0","0","0","0","0","0","0","1","1.0","2.0","3.0","6.0","1.0","2.0","0.0","4.0","0","0","0","0.0","0.0","0","0","1","0","0","0","0"
