"Rk","Pos","Player","Sta","Opp (GMT)","FPts","FP/G","GP","GS","Min","G","A","ASh","Sh","SOG","SA","SOP","SB","Tk","TkW","TLM","PLC","FC","FS","YC","SYC","RC","HB","Pen","DP","Off","Pa","APa","Pc%","SFTP","Cr","ACr","CF","CK","CF","CC","FKS","Int","IntB","ClA","ClS","CoA","CoS","CSLM","BCr","BS","DW","DL","AW","AL","BCC","BCM","BCS","FKG","FKM","PL","SubOn","SubOff","PKG","PKA","PKM","PKD","GON","GA","ShA","ShA","CS","W","L","T","CIB"
"16","M","Shelvey, Jonjo - SWA","FA","BOUR Sat 3:00PM","326.9","326.9","1","1","90","0","0","6","1","0","0.0","0","1","1","1","0","18","2","0","1","0","0","0","0","0","0","58","52","89.7","16","9","3","6","8","2","0","0","0","0","2","2","3","2","0","0","0","3","3","0","0","1","0","0","0","0","18","0","0","0","0","0","0","0","2","0","12","0","0","0","1","0"
"17","M","Hazard, Eden - CHE","FA","NOR Sat 3:00PM","326.75","326.75","1","1","90","0","0","2","1","1","1.0","0","0","0","0","0","24","2","3","0","0","0","0","0","0","0","55","41","74.5","27","1","0","1","0","1","0","0","0","0","0","0","8","5","0","0","0","8","8","0","1","0","0","0","0","0","24","0","0","0","0","0","0","0","2","0","17","0","0","0","1","0"
"18","D","Alderweireld, Toby - TOT","FA","WHU Sun 4:00PM","322.33","322.33","1","1","90","0","0","1","2","1","0.5","0","1","1","1","0","14","2","0","0","0","0","0","0","0","0","70","58","82.9","5","1","0","1","0","0","0","0","6","1","7","5","2","2","0","0","0","4","4","1","1","0","0","0","0","0","16","0","0","0","0","0","0","0","1","10","10","0","0","1","0","1"
"19","M","Hoolahan, Wes - NOR","FA","@CHE Sat 3:00PM","318.79","318.79","1","1","90","0","1","3","0","0","0","0","0","1","1","0","21","0","6","0","0","0","0","0","0","0","63","50","79.4","19","1","0","1","0","0","0","0","1","0","0","0","3","2","0","0","0","9","6","0","2","0","0","0","0","0","21","0","0","0","0","0","0","0","3","0","11","0","0","1","0","0"
"20","M","Yaya Touré - MCI","FA","LIV Sat 5:30PM","317.47","317.47","1","1","80","1","1","2","2","1","0.5","0","1","0","0","0","5","1","0","0","0","0","0","0","0","0","86","83","96.5","24","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","5","0","1","0","0","0","0","0","5","0","1","0","0","0","0","0","0","0","6","1","1","0","0","0"
"21","M","Davis, Steven - SOU","FA","STK Sat 3:00PM","313.89","313.89","1","1","90","0","0","3","0","0","0","0","0","3","3","0","14","1","1","1","0","0","0","0","0","0","63","56","88.9","13","6","1","5","3","0","0","0","5","1","1","1","1","1","0","0","1","5","5","0","0","1","0","0","0","0","14","0","0","0","0","0","0","0","2","0","9","0","0","0","1","0"
"22","D","Stones, John - EVE","FA","AVL Sat 3:00PM","311.91","311.91","1","1","90","0","0","0","0","0","0","0","0","4","3","0","8","0","0","0","0","0","0","0","0","0","67","61","91.0","3","0","0","0","0","0","0","0","4","0","5","5","1","0","0","0","1","9","8","5","5","0","0","0","0","0","8","0","0","0","0","0","0","0","2","11","11","0","0","0","1","0"
"23","D","Coleman, Seamus - EVE","FA","AVL Sat 3:00PM","310.85","310.85","1","1","90","0","0","0","0","0","0","0","0","1","0","0","20","1","2","1","0","0","0","0","0","0","52","44","84.6","13","9","1","8","0","2","0","0","2","0","1","0","4","3","0","1","0","6","3","0","0","0","0","0","0","0","21","0","0","0","0","0","0","0","2","11","11","0","0","0","1","1"
"24","M","McCarthy, James - EVE","FA","AVL Sat 3:00PM","310.81","310.81","1","1","90","0","0","0","0","0","0","0","0","1","1","0","18","1","1","0","0","0","0","0","0","0","73","59","80.8","18","1","0","1","0","0","0","0","0","0","1","1","1","1","0","0","0","3","5","0","0","0","0","0","0","0","18","0","0","0","0","0","0","0","2","0","11","0","0","0","1","0"
"25","M","Milner, James - LIV","FA","@MCI Sat 5:30PM","301.86","301.86","1","1","90","0","0","1","0","0","0","0","0","4","2","0","12","2","1","1","0","0","0","0","0","0","63","54","85.7","18","3","3","0","2","1","0","0","0","0","1","1","1","0","0","0","0","6","8","2","2","0","0","0","0","0","12","0","0","0","0","0","0","0","0","0","7","1","1","0","0","0"
