"Rk","Pos","Player","Sta","Opp (GMT)","FPts","FP/G","GP","GS","Min","G","A","ASh","Sh","SOG","SA","SOP","SB","Tk","TkW","TLM","PLC","FC","FS","YC","SYC","RC","HB","Pen","DP","Off","Pa","APa","Pc%","SFTP","Cr","ACr","CF","CK","CIB","CF","CC","FKS","Int","IntB","ClA","ClS","CoA","CoS","CSLM","BCr","BS","DW","DL","AW","AL","BCC","BCM","BCS","FKG","FKM","PL","SubOn","SubOff","PKG","PKA","PKM","PKD","GON","GA","ShA","ShA","CS","W","L","T"
"16","D","Pieters, Erik - STK","FA","NOR Wed 7:45PM","327.62","327.62","1","1","90","0","0","3","0","0","0","0","0","4","3","0","29","1","4","0","0","0","0","0","0","0","55","34","61.8","7","6","1","5","0","0","3","0","0","2","0","1","1","0","0","0","0","0","12","4","4","2","1","0","0","0","0","29","0","0","0","0","0","0","0","2","12","12","0","0","1","0"
"17","F","Ayew, Jordan - AVL","WW","CRY Tue 7:45PM","324.16","324.16","1","1","90","1","0","1","2","1","0.5","0","0","2","2","0","37","2","0","1","0","0","0","0","0","0","32","21","65.6","7","7","2","5","0","0","2","0","0","2","0","0","0","11","3","0","0","0","8","22","3","6","1","0","0","0","0","37","0","0","0","0","0","0","0","1","0","8","0","0","0","1"
"18","M","Ramsey, Aaron - ARS","FA","@LIV Wed 8:00PM","323.19","323.19","1","1","90","0","0","1","3","1","0.3","0","0","1","0","0","18","2","3","0","0","0","0","0","0","0","61","52","85.2","9","3","0","3","0","0","0","0","0","4","1","0","0","6","5","0","0","1","9","5","0","0","0","2","0","0","0","18","0","0","0","0","0","0","0","1","0","20","0","1","0","0"
"19","M","Can, Emre - LIV","FA","ARS Wed 8:00PM","322.74","322.74","1","1","90","0","0","1","1","1","1.0","0","0","3","3","0","26","2","1","0","0","0","0","0","0","0","66","49","74.2","14","0","0","0","0","0","3","0","0","1","0","2","1","2","0","0","0","0","5","8","1","2","0","0","0","0","0","27","0","0","0","0","0","0","0","3","0","6","0","0","1","0"
"20","D","Funes Mori, Ramiro - EVE","WW","@MCI Wed 7:45PM","321.85","321.85","1","1","90","0","0","0","0","0","0","0","0","1","1","0","11","1","1","1","0","0","0","1","0","0","67","57","85.1","2","0","0","0","0","0","0","2","0","2","0","11","10","0","0","0","0","0","10","6","8","5","0","0","0","0","0","12","0","0","0","0","0","0","0","3","10","10","0","0","1","0"
"21","D","Sakho, Mamadou - LIV","FA","ARS Wed 8:00PM","321.81","321.81","1","1","90","0","0","0","0","0","0","0","0","5","3","0","17","1","0","0","0","0","0","0","0","0","69","56","81.2","4","0","0","0","0","0","0","0","0","3","1","7","3","2","2","0","0","1","12","4","5","1","0","0","0","0","0","21","0","0","0","0","0","0","0","3","6","6","0","0","1","0"
"22","D","Janmaat, Daryl - NEW","FA","MUN Tue 7:45PM","321.57","321.57","1","1","90","0","0","1","0","0","0","0","0","7","4","0","30","1","1","0","0","0","0","0","0","0","51","29","56.9","11","5","2","3","0","0","0","1","0","1","0","4","4","4","2","0","0","0","12","3","2","0","0","0","0","0","0","30","0","0","0","0","0","0","0","1","10","10","0","0","0","1"
"23","F","Pedro - CHE","WW","WBA Wed 7:45PM","319.21","319.21","1","1","90","1","0","3","3","1","0.3","0","1","1","1","0","20","0","4","0","0","0","0","0","0","0","47","41","87.2","20","5","2","3","0","0","0","0","0","2","0","0","0","7","3","0","0","0","8","12","1","2","1","1","0","0","0","20","0","0","0","0","0","0","0","1","0","11","0","1","0","0"
"24","M","Carrick, Michael - MUN","FA","@NEW Tue 7:45PM","318.89","318.89","1","1","90","0","0","0","0","0","0","0","0","3","3","0","12","0","0","0","0","0","0","0","0","0","79","70","88.6","31","0","0","0","0","0","1","0","0","2","0","0","0","0","0","0","0","0","3","1","0","0","0","0","0","0","0","12","0","0","0","0","0","0","0","2","0","6","0","0","1","0"
"25","D","Coleman, Seamus - EVE","FA","@MCI Wed 7:45PM","306.78","306.78","1","1","90","0","0","1","0","0","0","0","0","1","1","0","22","0","3","0","0","0","0","0","0","0","49","38","77.6","12","4","0","4","0","0","3","0","0","1","0","1","1","7","6","0","0","0","11","5","1","1","0","0","0","0","0","22","0","0","0","0","0","0","0","3","10","10","0","0","1","0"
