"Rk","Pos","Player","Sta","Opp (GMT)","FPts","FP/G","GP","GS","Min","G","A","ASh","Sh","SOG","SA","SOP","SB","Tk","TkW","TLM","PLC","FC","FS","YC","SYC","RC","HB","Pen","DP","Off","Pa","APa","Pc%","SFTP","Cr","ACr","CF","CK","CF","CC","FKS","Int","IntB","ClA","ClS","CoA","CoS","CSLM","BCr","BS","DW","DL","AW","AL","BCC","BCM","BCS","FKG","FKM","PL","SubOn","SubOff","PKG","PKA","PKM","PKD","GON","GA","ShA","ShA","CS","W","L","T","CIB"
"1","M","Cazorla, Santiago - ARS","FA","@NOR Sun 4:15PM","402.93","402.93","1","1","90","0","0","1","2","0","0.0","0","2","2","2","0","13","0","1","0","0","0","0","0","0","0","100","93","93.0","32","6","2","4","7","0","0","0","0","0","2","1","4","3","0","0","0","6","3","0","0","0","0","0","0","0","14","0","0","0","0","0","0","0","0","0","8","1","1","0","0","0"
"2","M","Payet, Dimitri - WHU","FA","WBA Sun 2:05PM","379.24","379.24","1","1","90","1","0","6","5","2","0.4","0","2","2","0","0","28","2","2","1","0","0","0","0","0","0","57","48","84.2","28","13","4","9","9","1","0","0","1","0","0","0","5","4","0","0","0","8","6","0","0","0","1","1","0","0","28","0","0","0","0","0","0","0","1","0","6","0","1","0","0","0"
"3","M","Lanzini, Manuel - WHU","WW","WBA Sun 2:05PM","365.18","365.18","1","1","90","1","1","3","4","1","0.3","0","2","1","1","0","8","1","0","0","0","0","0","0","0","0","90","84","93.3","29","0","0","0","0","2","0","0","0","0","0","0","6","6","0","0","0","7","2","0","0","2","0","1","0","0","8","0","0","0","0","0","0","0","1","0","6","0","1","0","0","0"
"4","M","Ritchie, Matt - BOUR","FA","EVE Sat 3:00PM","353.61","353.61","1","1","90","0","0","1","0","0","0","0","0","2","1","0","37","1","2","1","0","0","0","0","0","0","51","31","60.8","9","16","2","14","7","2","0","0","3","1","2","2","1","0","0","0","0","6","6","2","2","0","0","0","0","0","37","0","0","0","0","0","0","0","5","0","16","0","0","1","0","0"
"5","M","Fàbregas, Cesc - CHE","FA","@TOT Sun 12:00PM","352.8","352.8","1","1","90","0","0","2","1","0","0.0","0","0","2","1","0","20","3","1","0","0","0","0","0","0","0","79","63","79.7","23","3","2","1","2","0","0","0","4","0","2","2","0","0","0","0","1","4","8","1","2","0","1","0","0","0","20","0","0","0","0","0","0","0","0","0","10","1","1","0","0","0"
"6","D","Jagielka, Phil - EVE","FA","@BOUR Sat 3:00PM","348.85","348.85","1","1","90","0","0","0","1","0","0.0","0","0","2","0","0","14","0","1","0","0","0","0","0","0","0","87","74","85.1","14","0","0","0","0","0","0","0","1","1","8","7","0","0","0","0","0","6","1","4","0","0","0","0","0","0","15","0","0","0","0","0","0","0","3","10","10","0","0","1","0","0"
"7","D","Rose, Danny - TOT","FA","CHE Sun 12:00PM","334.72","334.72","1","1","90","0","0","0","0","0","0","0","0","8","5","0","25","1","3","0","0","0","0","0","0","0","53","38","71.7","10","4","1","3","0","0","2","0","1","0","4","4","2","2","0","1","0","15","3","2","1","0","0","0","0","0","25","0","0","0","0","0","0","0","0","12","12","1","0","0","1","0"
"8","M","Kouyaté, Cheikhou - WHU","FA","WBA Sun 2:05PM","333.84","333.84","1","1","90","0","0","1","1","0","0.0","0","1","7","4","0","13","1","2","0","0","0","0","0","0","0","76","64","84.2","19","1","1","0","0","0","1","0","1","0","0","0","1","1","0","0","1","12","7","2","3","0","0","0","0","0","13","0","0","0","0","0","0","0","1","0","6","0","1","0","0","0"
"9","D","Federico Fernández - SWA","FA","@LIV Sun 4:15PM","329.87","329.87","1","1","90","0","0","0","0","0","0","0","0","1","1","0","11","1","3","0","0","0","0","0","0","0","85","74","87.1","2","0","0","0","0","0","0","0","0","0","4","4","1","1","0","0","0","9","3","6","1","0","0","0","0","0","11","0","0","0","0","0","0","0","1","9","9","0","0","1","0","0"
"10","D","van Dijk, Virgil - SOU","WW","@MCI Sat 3:00PM","327.87","327.87","1","1","90","1","0","0","2","2","1.0","0","0","2","2","0","6","2","0","0","0","0","0","0","0","0","47","41","87.2","2","0","0","0","0","0","1","0","6","1","15","14","2","2","0","0","2","9","2","5","1","0","0","1","0","0","7","0","0","0","0","0","0","0","2","27","27","0","0","0","1","0"
"11","M","Ramsey, Aaron - ARS","FA","@NOR Sun 4:15PM","327.02","327.02","1","1","90","1","0","1","6","1","0.2","1","2","1","1","0","18","1","4","0","0","0","0","0","0","0","61","52","85.2","21","3","1","2","0","1","0","0","2","0","2","2","1","0","0","0","0","6","7","1","1","0","1","1","0","0","18","0","0","0","0","0","0","0","0","0","8","1","1","0","0","0"
"12","D","Bellerín, Héctor - ARS","FA","@NOR Sun 4:15PM","326.84","326.84","1","1","90","0","1","1","0","0","0","0","0","2","1","0","22","0","0","0","0","0","0","0","0","0","57","48","84.2","15","6","2","4","0","2","0","0","2","0","2","1","5","4","0","0","0","6","7","0","1","1","0","0","0","0","23","0","0","0","0","0","0","0","0","8","8","1","1","0","0","0"
"13","M","Coquelin, Francis - ARS","FA","@NOR Sun 4:15PM","320.94","320.94","1","1","90","0","0","0","0","0","0","0","0","1","1","0","12","2","1","0","0","0","0","0","0","0","72","68","94.4","19","0","0","0","0","1","0","0","2","0","1","1","6","4","0","0","0","6","8","0","1","0","0","0","0","0","12","0","0","0","0","0","0","0","0","0","8","1","1","0","0","0"
"14","D","Stones, John - EVE","FA","@BOUR Sat 3:00PM","320.89","320.89","1","1","90","0","0","0","0","0","0","0","0","3","2","0","9","0","3","0","0","0","0","0","0","0","70","62","88.6","13","0","0","0","0","0","1","0","2","1","5","4","2","1","0","0","1","11","3","4","1","0","0","0","0","0","10","0","0","0","0","0","0","0","3","10","10","0","0","1","0","0"
"15","F","Deeney, Troy - WAT","FA","@AVL Sat 3:00PM","320.05","320.05","1","1","90","0","0","2","2","1","0.5","0","0","3","3","0","32","1","2","0","0","0","0","0","0","0","40","22","55.0","9","4","0","4","0","2","0","0","1","0","3","3","5","1","0","0","0","12","13","6","3","0","0","0","0","0","32","0","0","0","0","0","0","0","3","0","17","0","0","1","0","0"
"16","D","Williams, Ashley - SWA","FA","@LIV Sun 4:15PM","318.98","318.98","1","1","90","0","0","0","0","0","0","0","0","2","0","0","3","2","0","1","0","0","0","1","0","0","83","81","97.6","8","0","0","0","0","0","0","0","3","1","5","5","0","0","0","0","1","3","3","1","1","0","0","0","0","0","3","0","0","0","0","0","0","0","1","9","9","0","0","1","0","0"
"17","D","Monreal, Nacho - ARS","FA","@NOR Sun 4:15PM","314.9","314.9","1","1","90","0","0","2","0","0","0","0","0","2","2","0","10","1","1","0","0","0","0","0","0","0","59","53","89.8","16","3","0","3","0","0","1","0","8","2","7","6","0","0","0","0","0","8","1","5","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","8","8","1","1","0","0","0"
"18","M","Barkley, Ross - EVE","FA","@BOUR Sat 3:00PM","314.2","314.2","1","1","90","0","0","0","5","2","0.4","0","1","2","0","0","20","2","4","0","0","0","0","0","0","0","50","40","80.0","12","8","2","6","5","0","0","1","0","0","0","0","4","3","0","0","0","12","5","3","0","0","0","0","0","0","20","0","0","0","0","0","0","0","3","0","10","0","0","1","0","0"
"19","D","Sagna, Bacary - MCI","FA","SOU Sat 3:00PM","313.83","313.83","1","1","90","0","0","0","0","0","0","0","0","2","1","0","15","1","0","1","0","0","0","0","0","0","75","62","82.7","9","1","0","1","0","0","1","0","2","0","6","5","0","0","0","1","0","4","3","2","2","0","0","0","0","0","16","0","0","0","0","0","0","0","1","5","5","0","1","0","0","0"
"20","M","Özil, Mesut - ARS","FA","@NOR Sun 4:15PM","312.83","312.83","1","1","81","0","2","6","0","0","0","0","0","0","0","0","17","0","1","0","0","0","0","0","0","0","69","57","82.6","27","3","2","1","2","1","0","0","0","0","0","0","3","2","0","0","0","3","4","0","0","2","0","0","0","0","17","0","1","0","0","0","0","0","0","0","7","1","1","0","0","0"
"21","M","Redmond, Nathan - NOR","FA","ARS Sun 4:15PM","311.98","311.98","1","1","90","1","0","4","5","1","0.2","1","1","1","1","0","16","1","2","0","0","0","0","0","0","1","51","40","78.4","19","5","2","3","3","2","0","1","0","0","1","1","4","3","0","0","0","7","3","1","0","0","0","0","0","0","16","0","0","0","0","0","0","0","6","0","11","0","0","1","0","0"
"22","D","Fonte, Jose - SOU","FA","@MCI Sat 3:00PM","308.92","308.92","1","1","90","1","0","1","1","1","1.0","0","0","0","0","0","4","1","1","0","0","0","0","0","0","0","49","45","91.8","1","0","0","0","0","0","2","0","3","2","10","8","0","0","0","0","3","4","5","4","4","0","0","0","0","0","6","0","0","0","0","0","0","0","2","27","27","0","0","0","1","0"
