"Rk","Pos","Player","Sta","Opp (GMT)","FPts","FP/G","GP","GS","Min","G","A","ASh","Sh","SOG","SA","SOP","SB","Tk","TkW","TLM","PLC","FC","FS","YC","SYC","RC","HB","Pen","DP","Off","Pa","APa","Pc%","SFTP","Cr","ACr","CF","CK","CF","CC","FKS","Int","IntB","ClA","ClS","CoA","CoS","CSLM","BCr","BS","DW","DL","AW","AL","BCC","BCM","BCS","FKG","FKM","PL","SubOn","SubOff","PKG","PKA","PKM","PKD","GON","GA","ShA","ShA","CS","W","L","T","CIB"
"1","M","Schweinsteiger, Bastian - MUN","WW","@LEIC Sat 5:30PM","407.87","407.87","1","1","90","0","0","1","1","1","1.0","0","0","3","1","0","17","2","0","0","0","0","0","0","0","0","91","79","86.8","41","4","2","2","1","0","0","0","0","0","0","0","3","3","0","0","1","7","14","1","5","0","1","0","0","0","17","0","0","0","0","0","0","0","3","0","12","0","0","1","0","0"
"2","M","Fàbregas, Cesc - CHE","FA","@TOT Sun 12:00PM","390.83","390.83","1","1","90","0","0","2","1","0","0.0","0","0","3","2","0","20","1","0","0","0","0","0","0","0","0","96","80","83.3","31","3","0","3","3","0","0","0","1","0","0","0","3","2","0","0","0","6","3","1","0","0","0","0","0","0","20","0","0","0","0","0","0","0","3","0","13","0","0","1","0","0"
"3","M","Carrick, Michael - MUN","FA","@LEIC Sat 5:30PM","380.89","380.89","1","1","90","0","0","0","0","0","0","0","0","1","1","0","13","2","0","0","0","0","0","0","0","0","104","93","89.4","24","1","1","0","0","0","1","0","2","1","2","2","1","1","0","0","0","2","7","0","0","0","0","0","0","0","13","0","0","0","0","0","0","0","3","0","12","0","0","1","0","0"
"4","M","Brady, Robbie - NOR","WW","ARS Sun 4:15PM","379.8","379.8","1","1","90","0","0","4","0","0","0","0","0","3","2","0","29","0","0","0","0","0","0","0","0","0","45","36","80.0","13","21","6","15","12","2","1","0","1","1","6","4","2","1","0","0","0","8","4","4","1","0","0","0","0","0","31","0","0","0","0","0","0","0","2","16","16","0","0","1","0","0"
"5","M","Payet, Dimitri - WHU","FA","WBA Sun 2:05PM","364.85","364.85","1","1","90","1","0","7","2","2","1.0","0","0","0","0","0","20","0","2","0","0","0","0","0","0","0","66","56","84.8","29","11","4","7","7","1","0","1","0","0","0","0","3","2","0","0","0","4","4","0","1","1","0","1","0","0","20","0","0","0","0","0","0","0","2","0","12","0","0","0","1","0"
"6","M,F","De Bruyne, Kevin - MCI","WW","SOU Sat 3:00PM","361.32","361.32","1","1","90","1","2","3","4","2","0.5","0","0","2","1","0","21","0","1","0","0","0","0","0","0","0","65","53","81.5","33","7","3","4","3","2","1","1","1","0","2","1","5","3","0","0","0","6","4","0","1","2","0","0","0","0","22","0","0","0","0","0","0","0","1","0","6","0","1","0","0","0"
"7","M","Gueye, Idrissa - AVL","FA","WAT Sat 3:00PM","358.9","358.9","1","1","90","0","0","0","1","0","0.0","0","0","4","3","0","13","3","4","0","0","0","0","0","0","0","81","73","90.1","22","1","0","1","0","0","0","0","3","1","1","1","4","3","0","0","0","11","8","0","1","0","0","0","0","0","13","0","0","0","0","0","0","0","1","0","12","0","0","1","0","0"
"8","D","Whittaker, Steven - NOR","FA","ARS Sun 4:15PM","349.69","349.69","1","1","90","0","0","1","0","0","0","0","0","3","1","0","27","1","0","0","0","0","0","0","0","0","59","41","69.5","22","2","0","2","0","3","1","0","0","0","5","4","4","2","0","3","0","7","6","2","1","0","0","0","0","0","28","0","0","0","0","0","0","0","2","16","16","0","0","1","0","0"
"9","D","Azpilicueta, César - CHE","FA","@TOT Sun 12:00PM","343.79","343.79","1","1","90","0","0","0","0","0","0","0","0","6","5","0","22","1","1","0","0","0","0","0","0","0","70","55","78.6","11","5","0","5","0","1","0","0","6","0","0","0","0","0","0","0","0","9","3","2","1","0","0","0","0","0","22","0","0","0","0","0","0","0","3","13","13","0","0","1","0","0"
"10","M","Eriksen, Christian - TOT","FA","CHE Sun 12:00PM","336.38","336.38","1","1","90","2","0","2","7","4","0.6","0","1","3","3","0","20","0","0","0","0","0","0","0","0","0","51","41","80.4","19","7","1","6","4","2","0","3","0","0","1","1","3","2","0","0","0","6","5","1","3","0","0","0","2","0","20","0","0","0","0","0","0","0","2","0","12","0","0","0","1","0"
