"Rk","Pos","Player","Sta","Opp (GMT)","FPts","FP/G","GP","GS","Min","G","A","ASh","Sh","SOG","SA","SOP","SB","Tk","TkW","TLM","PLC","FC","FS","YC","SYC","RC","HB","Pen","DP","Off","Pa","APa","Pc%","SFTP","Cr","ACr","CF","CK","CIB","CF","CC","FKS","Int","IntB","ClA","ClS","CoA","CoS","CSLM","BCr","BS","DW","DL","AW","AL","BCC","BCM","BCS","FKG","FKM","PL","SubOn","SubOff","PKG","PKA","PKM","PKD","GON","GA","ShA","ShA","CS","W","L","T"
"1","M","Ramsey, Aaron - ARS","FA","@AVL Sun 1:30PM","469.34","469.34","1","1","90","1","1","4","7","3","0.4","0","2","1","0","0","18","1","0","0","0","0","1","0","0","1","124","113","91.1","39","1","1","0","0","0","0","0","0","1","0","0","0","4","2","0","0","0","4","6","1","1","0","2","1","0","0","18","0","0","0","0","0","0","0","1","0","12","0","1","0","0"
"2","M","Özil, Mesut - ARS","FA","@AVL Sun 1:30PM","438.79","438.79","1","1","90","0","1","5","1","0","0.0","0","0","2","2","0","29","0","5","0","0","0","0","0","0","0","107","84","78.5","38","3","1","2","2","1","0","0","0","0","0","0","0","3","3","0","0","0","10","2","0","0","2","0","0","0","0","29","0","0","0","0","0","0","0","1","0","12","0","1","0","0"
"3","M","Willian - CHE","FA","@LEIC Mon 8:00PM","390.89","390.89","1","1","90","0","0","6","1","0","0.0","0","0","1","1","0","22","1","2","0","0","0","0","0","0","0","66","59","89.4","33","14","4","10","9","4","1","0","0","1","0","0","0","6","5","0","0","0","8","5","0","0","0","0","0","0","0","22","0","0","0","0","0","0","0","1","0","15","0","0","1","0"
"4","M","Flamini, Mathieu - ARS","FA","@AVL Sun 1:30PM","374.96","374.96","1","1","90","0","0","1","0","0","0","0","0","2","1","0","5","1","0","0","0","0","0","0","0","0","107","103","96.3","25","0","0","0","0","0","0","0","0","4","0","3","2","0","0","0","0","0","4","2","2","0","0","0","0","0","0","6","0","0","0","0","0","0","0","1","0","12","0","1","0","0"
"5","M","Leiva, Lucas - LIV","FA","WBA Sun 4:00PM","367.81","367.81","1","1","90","0","0","0","0","0","0","0","0","8","7","0","21","1","0","1","0","0","0","0","0","0","86","70","81.4","12","1","0","1","0","0","0","0","0","0","0","1","1","1","1","0","0","0","16","6","7","3","0","0","0","0","0","21","0","0","0","0","0","0","0","2","0","7","0","0","1","0"
"6","D","Naughton, Kyle - SWA","FA","@MCI Sat 3:00PM","366.74","366.74","1","1","90","0","0","0","1","0","0.0","0","0","4","3","0","29","0","1","0","0","0","0","0","0","0","72","53","73.6","10","3","0","3","0","0","0","0","0","7","1","5","5","1","0","0","0","0","6","6","1","2","0","0","0","0","0","29","0","0","0","0","0","0","0","3","16","16","0","0","1","0"
"7","F","Deulofeu, Gerard - EVE","FA","@NOR Sat 12:45PM","366.62","366.62","1","1","90","0","0","2","0","0","0","0","0","0","0","0","42","0","1","0","0","0","0","0","0","0","42","26","61.9","22","21","3","18","6","1","7","1","0","0","0","0","0","8","4","0","0","0","5","7","0","0","0","0","0","0","0","42","0","0","0","0","0","0","0","1","0","14","0","0","0","1"
"8","D","Monreal, Nacho - ARS","FA","@AVL Sun 1:30PM","357.94","357.94","1","1","90","0","0","1","0","0","0","0","0","4","4","0","10","0","1","0","0","0","0","0","0","0","82","77","93.9","22","4","0","4","0","0","0","0","0","5","0","2","2","0","0","0","0","0","6","2","1","2","1","0","0","0","0","10","0","0","0","0","0","0","0","1","12","12","0","1","0","0"
"9","M","Fàbregas, Cesc - CHE","FA","@LEIC Mon 8:00PM","356.81","356.81","1","1","83","0","0","1","0","0","0","0","0","4","3","0","22","0","0","0","0","0","0","0","0","0","79","64","81.0","33","4","0","4","1","0","1","0","0","1","0","2","2","1","1","0","0","0","6","4","1","0","0","0","0","0","0","22","0","1","0","0","0","0","0","1","0","12","0","0","1","0"
"10","M","Barry, Gareth - EVE","FA","@NOR Sat 12:45PM","356.35","356.35","1","1","90","0","1","4","2","1","0.5","0","1","1","1","0","17","1","0","0","0","0","0","0","0","0","75","64","85.3","22","5","2","3","5","1","1","0","0","2","1","2","2","0","0","0","0","0","2","10","1","2","1","0","0","0","0","17","0","0","0","0","0","0","0","1","0","14","0","0","0","1"
