"Rk","Pos","Player","Sta","Opp (GMT)","FPts","FP/G","GP","GS","Min","W","L","T","CS","ShA","ShA","GA","GAIB","GAOB","Sv","Sv%","SvIB","SvOB","YC","SYC","RC","RCR","FC","FC/G","FS","FS/G","Pen","DP","PKGA","PKS","PKF","PKD","SubOn","SubOff","G","A","ASh","ABS","AFKG","AHW","AOG","APL","APKG","ASOP","Pa","APa","SFTP","Int","IntB","ClA","ClS","OO","DW","DL","AW","AL","HCA","HCS","Sm","Pu","GON"
"1","G","Elliot, Robert - NEW","FA","LIV Sun 4:00PM","214.38","214.38","1","1","90","0","1","0","0","19","8","5","4","1","3","37.5","0","3","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","42","18","5","0","0","1","1","0","1","0","1","0","4","4","0","1","0"
"2","G","Howard, Tim - EVE","FA","CRY Mon 8:00PM","183.67","183.67","1","1","90","0","0","1","0","19","9","3","2","1","6","66.7","3","3","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","27","12","0","0","0","0","0","0","0","0","0","0","2","2","1","0","0"
"3","G","Butland, Jack - STK","FA","MCI Sat 12:45PM","176.6","176.6","1","1","90","0","1","0","0","18","5","2","1","1","3","60.0","3","0","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","28","15","0","0","0","2","2","0","0","0","0","0","1","1","0","1","0"
"4","G","Myhill, Boaz - WBA","FA","TOT Sat 3:00PM","174.83","174.83","1","1","90","0","0","1","0","17","6","1","0","1","5","83.3","2","3","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","29","10","2","0","0","0","0","0","0","0","0","0","2","2","1","0","0"
"5","G","Guzan, Brad - AVL","FA","@SOU Sat 3:00PM","167.57","167.57","1","1","90","0","1","0","0","16","7","3","3","0","4","57.1","3","1","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21","9","0","1","0","0","0","0","0","0","0","0","3","3","0","0","0"
"6","G","Adrián - WHU","FA","@MUN Sat 3:00PM","166.75","166.75","1","1","90","0","0","1","0","8","4","1","1","0","3","75.0","2","1","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","28","21","1","0","0","0","0","0","0","0","0","0","1","1","1","0","0"
"7","G","Caballero, Willy - MCI","FA","@STK Sat 12:45PM","161.86","161.86","1","1","90","1","0","0","0","11","7","1","1","0","6","85.7","4","2","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19","7","1","0","0","3","3","0","0","0","0","0","0","0","0","3","0"
"8","G","Pantilimon, Costel - SUN","FA","@ARS Sat 3:00PM","161","161","1","1","90","1","0","0","1","7","4","0","0","0","4","100.0","2","1","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","27","16","1","0","0","0","0","0","0","0","0","0","1","1","1","0","0"
"9","G","Stekelenburg, Maarten - SOU","FA","AVL Sat 3:00PM","160.62","160.62","1","1","90","0","1","0","0","16","8","3","2","1","5","62.5","2","3","0","0","0","0","0","0.0","1","1.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","6","0","0","0","1","1","0","1","0","0","0","1","1","0","0","0"
"10","G","Ruddy, John - NOR","FA","@WAT Sat 3:00PM","158.5","158.5","1","1","90","0","0","1","0","12","2","1","1","0","1","50.0","1","0","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","31","11","0","0","0","1","1","0","0","0","0","0","1","1","0","1","0"
