"Rk","Pos","Player","Sta","Opp (GMT)","FPts","FP/G","GP","GS","Min","W","L","T","CS","ShA","ShA","GA","GAIB","GAOB","Sv","Sv%","SvIB","SvOB","YC","SYC","RC","RCR","FC","FC/G","FS","FS/G","Pen","DP","PKGA","PKS","PKF","PKD","SubOn","SubOff","G","A","ASh","ABS","AFKG","AHW","AOG","APL","APKG","ASOP","Pa","APa","SFTP","Int","IntB","ClA","ClS","OO","DW","DL","AW","AL","HCA","HCS","Sm","Pu","GON"
"1","G","Ruddy, John - NOR","FA","@CHE Sat 3:00PM","211.71","211.71","1","1","90","0","0","1","0","19","7","2","2","0","5","71.4","5","0","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","39","24","0","1","1","3","3","0","0","1","0","1","1","1","0","3","0"
"2","G","Schmeichel, Kasper - LEIC","FA","@NEW Sat 3:00PM","206.55","206.55","1","1","90","0","1","0","0","27","11","5","4","1","6","54.5","6","0","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","31","11","4","0","0","0","0","0","1","1","0","1","0","0","3","0","0"
"3","G","Lloris, Hugo - TOT","FA","WHU Sun 4:00PM","201.88","201.88","1","1","90","1","0","0","0","22","8","1","1","0","7","87.5","3","4","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","35","18","1","0","0","2","1","0","0","0","0","0","2","2","0","1","0"
"4","G","Guzan, Brad - AVL","FA","@EVE Sat 3:00PM","200.75","200.75","1","1","90","0","1","0","0","21","12","3","2","1","9","75.0","5","4","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25","12","2","0","0","2","2","0","0","0","0","0","2","2","1","2","0"
"5","G","Fabianski, Lukasz - SWA","FA","BOUR Sat 3:00PM","195.57","195.57","1","1","90","0","1","0","0","18","7","3","3","0","4","57.1","1","3","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","28","20","1","0","0","0","0","0","0","0","0","0","7","7","0","0","0"
"6","G","Pantilimon, Costel - SUN","FA","@CRY Mon 8:00PM","187.57","187.57","1","1","90","0","1","0","0","12","7","3","3","0","4","57.1","1","3","0","0","0","0","1","1.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","37","17","1","0","0","0","0","0","0","0","0","0","2","2","0","0","0"
"7","G","Cech, Petr - ARS","FA","@WBA Sat 3:00PM","183.71","183.71","1","1","90","1","0","0","0","16","7","2","2","0","5","71.4","4","1","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","14","1","0","0","4","4","0","1","0","0","0","3","3","2","1","0"
"8","G","Krul, Tim - NEW","FA","LEIC Sat 3:00PM","183.5","183.5","1","1","90","0","0","1","0","16","4","2","0","2","2","50.0","1","1","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","35","17","3","0","0","1","1","0","1","0","1","0","1","1","0","1","0"
"9","G","Gomes, Heurelho - WAT","FA","MUN Sat 12:45PM","182.67","182.67","1","1","90","0","1","0","0","16","3","1","1","0","2","66.7","1","1","0","0","0","0","0","0.0","0","0.0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","28","15","6","0","0","3","2","0","0","0","0","0","3","3","0","2","0"
"10","G","Caballero, Willy - MCI","FA","LIV Sat 5:30PM","181.5","181.5","1","1","90","0","1","0","0","15","8","4","3","1","4","50.0","4","0","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","29","16","1","0","0","0","0","0","0","1","0","0","1","1","0","0","0"
