"Rk","Pos","Player","Sta","Opp (GMT)","FPts","FP/G","GP","GS","Min","G","A","ASh","Sh","SOG","SA","SOP","SB","Tk","TkW","TLM","PLC","FC","FS","YC","SYC","RC","HB","Pen","DP","Off","Pa","APa","Pc%","SFTP","Cr","ACr","CF","CK","CIB","CF","CC","FKS","Int","IntB","ClA","ClS","CoA","CoS","CSLM","BCr","BS","DW","DL","AW","AL","BCC","BCM","BCS","FKG","FKM","PL","SubOn","SubOff","PKG","PKA","PKM","PKD","GON","GA","ShA","ShA","CS","W","L","T"
"1","D,M","Blind, Daley - MUN","FA","WHU Sat 3:00PM","377.86","377.86","1","1","90","0","1","2","0","0","0","0","0","5","1","0","17","1","0","0","0","0","0","0","0","0","85","73","85.9","15","7","3","4","7","3","0","0","0","1","0","4","1","1","1","0","0","0","8","5","2","1","1","0","0","0","0","20","0","0","0","0","0","0","0","1","7","7","0","0","0","1"
"2","M","Surman, Andrew - BOUR","FA","@CHE Sat 5:30PM","371.85","371.85","1","1","90","0","0","1","1","0","0.0","0","1","4","4","0","17","0","0","0","0","0","0","0","0","0","98","83","84.7","18","0","0","0","0","0","1","0","0","2","0","1","1","1","1","0","0","2","6","3","1","1","0","0","0","0","0","17","0","0","0","0","0","0","0","3","0","11","0","0","0","1"
"3","D","Francis, Simon - BOUR","FA","@CHE Sat 5:30PM","368.85","368.85","1","1","90","0","0","0","0","0","0","0","0","3","3","0","21","0","0","0","0","0","0","0","0","0","74","63","85.1","14","4","0","4","2","0","2","2","0","3","0","7","6","4","1","0","1","1","6","7","2","2","0","0","0","0","0","22","0","0","0","0","0","0","0","3","11","11","0","0","0","1"
"4","M","Wanyama, Victor - SOU","FA","AVL Sat 3:00PM","366.31","366.31","1","1","90","0","0","0","2","1","0.5","0","1","3","3","0","26","2","1","0","0","0","0","0","0","1","84","68","81.0","7","1","0","1","0","0","1","1","0","1","0","2","2","0","0","0","0","0","6","10","2","1","0","0","0","0","0","26","0","0","0","0","0","0","0","3","0","16","0","0","1","0"
"5","M","Cazorla, Santiago - ARS","FA","SUN Sat 3:00PM","358.88","358.88","1","1","90","0","0","1","1","0","0.0","0","0","1","1","0","14","2","2","1","0","0","0","0","0","0","85","75","88.2","33","1","0","1","1","0","1","0","0","0","0","1","1","4","4","0","0","0","7","6","0","0","0","0","0","0","0","14","0","0","0","0","0","0","0","1","0","7","0","0","0","1"
"6","D","Naughton, Kyle - SWA","FA","LEIC Sat 3:00PM","349.81","349.81","1","1","90","0","0","1","0","0","0","0","0","8","5","0","19","1","3","0","0","0","0","0","0","0","68","55","80.9","13","5","1","4","0","0","1","0","0","8","1","4","3","0","0","0","0","1","11","3","0","1","0","0","0","0","0","20","0","0","0","0","0","0","0","1","10","10","0","0","1","0"
"7","M","Veretout, Jordan - AVL","WW","@SOU Sat 3:00PM","344.75","344.75","1","1","90","0","1","1","1","0","0.0","0","1","3","3","0","26","2","3","0","0","0","0","0","0","0","59","44","74.6","13","10","1","9","6","1","3","1","0","2","1","1","1","0","0","0","0","0","7","4","1","1","0","0","0","0","0","26","0","0","0","0","0","0","0","3","0","16","0","0","1","0"
"8","M","Özil, Mesut - ARS","FA","SUN Sat 3:00PM","339.39","339.39","1","1","90","1","0","2","5","2","0.4","0","3","0","0","0","7","1","0","0","0","0","0","0","0","0","68","67","98.5","33","5","2","3","5","1","2","1","1","1","0","2","1","1","1","0","0","0","1","6","0","1","0","1","1","0","0","8","0","0","0","0","0","0","0","1","0","7","0","0","0","1"
"9","M","Whelan, Glenn - STK","FA","MCI Sat 12:45PM","337.92","337.92","1","1","90","0","0","0","0","0","0","0","0","1","1","0","11","0","0","0","0","0","0","0","0","0","85","78","91.8","21","2","0","2","1","0","0","0","0","1","0","1","1","0","0","0","0","1","2","3","1","1","0","0","0","0","0","11","0","0","0","0","0","0","0","2","0","18","0","0","1","0"
"10","M","Can, Emre - LIV","FA","@NEW Sun 4:00PM","336.84","336.84","1","1","90","0","0","0","0","0","0","0","0","4","4","0","15","1","1","0","0","0","0","0","0","0","80","67","83.8","13","0","0","0","0","0","0","1","0","4","0","5","3","1","0","0","2","1","7","5","2","1","0","0","0","0","0","17","0","0","0","0","0","0","0","0","0","8","1","1","0","0"
"11","M","M'Vila, Yann - SUN","WW","@ARS Sat 3:00PM","329.19","329.19","1","1","90","0","0","2","4","1","0.3","0","2","1","1","0","12","0","1","0","0","0","0","0","0","0","68","64","94.1","14","9","3","6","9","3","1","0","1","2","0","0","0","2","1","0","0","0","3","3","0","2","0","0","0","0","0","12","0","0","0","0","0","0","0","0","0","7","1","1","0","0"
"12","D","Pieters, Erik - STK","FA","MCI Sat 12:45PM","317.87","317.87","1","1","90","0","0","1","0","0","0","0","0","2","2","0","15","3","1","1","0","0","0","0","0","0","52","45","86.5","7","3","1","2","0","0","1","5","0","4","2","6","3","0","0","0","1","1","4","5","1","2","1","0","0","0","0","18","0","0","0","0","0","0","0","2","18","18","0","0","1","0"
"13","D","McNair, Patrick - MUN","FA","WHU Sat 3:00PM","315.88","315.88","1","1","90","0","0","0","0","0","0","0","0","2","2","0","11","0","1","0","0","0","0","0","0","0","73","64","87.7","10","0","0","0","0","0","0","0","0","0","0","7","7","1","0","0","0","0","7","6","4","2","0","0","0","0","0","11","0","0","0","0","0","0","0","1","7","7","0","0","0","1"
"14","D","Richardson, Kieran - AVL","FA","@SOU Sat 3:00PM","314.85","314.85","1","1","90","0","1","2","0","0","0","0","0","3","3","0","15","0","0","0","0","0","0","0","0","0","55","47","85.5","9","6","1","5","0","0","0","2","0","3","0","6","3","1","1","0","1","1","5","1","1","0","0","0","0","0","0","18","0","0","0","0","0","0","0","3","16","16","0","0","1","0"
"15","D","Monreal, Nacho - ARS","FA","SUN Sat 3:00PM","314.83","314.83","1","1","90","0","0","2","0","0","0","0","0","1","0","0","21","0","0","0","0","0","0","0","0","0","60","50","83.3","16","9","1","8","0","0","0","1","0","3","0","4","1","0","0","0","1","0","1","2","0","2","0","0","0","0","0","24","0","0","0","0","0","0","0","1","7","7","0","0","0","1"
"16","M","Barry, Gareth - EVE","FA","CRY Mon 8:00PM","312.85","312.85","1","1","90","0","0","1","0","0","0","0","0","3","2","0","14","1","2","0","0","0","0","0","0","0","59","50","84.7","9","1","0","1","2","0","0","2","0","2","1","4","2","2","2","0","1","1","8","8","1","2","0","0","0","0","0","16","0","0","0","0","0","0","0","3","0","19","0","0","0","1"
"17","M","Bolasie, Yannick - CRY","FA","@EVE Mon 8:00PM","311.43","311.43","1","1","90","2","0","2","5","3","0.6","0","1","1","1","0","19","0","2","0","0","0","0","0","0","2","40","33","82.5","22","8","3","5","0","0","2","0","0","0","0","2","2","7","4","0","0","0","7","7","0","1","0","0","1","0","0","19","0","0","0","0","0","0","0","1","0","7","0","1","0","0"
"18","M","Ritchie, Matt - BOUR","FA","@CHE Sat 5:30PM","310.69","310.69","1","1","90","0","0","2","3","3","1.0","0","0","2","2","0","27","0","1","0","0","0","0","0","0","0","48","33","68.8","11","11","2","9","6","1","2","0","0","2","0","0","0","1","0","0","0","0","3","4","0","2","0","0","0","0","0","27","0","0","0","0","0","0","0","3","0","11","0","0","0","1"
"19","D","Moreno, Alberto - LIV","FA","@NEW Sun 4:00PM","308.88","308.88","1","1","90","0","0","3","1","0","0.0","0","0","6","5","0","10","2","0","0","0","0","0","0","0","0","56","49","87.5","15","4","3","1","1","1","0","0","1","5","0","0","0","4","2","0","0","1","8","6","0","1","0","0","0","0","0","10","0","0","0","0","0","0","0","0","8","8","1","1","0","0"
"20","M","Young, Ashley - MUN","FA","WHU Sat 3:00PM","308.65","308.65","1","1","90","0","0","1","0","0","0","0","0","2","1","0","31","1","1","1","0","0","0","0","0","0","52","34","65.4","11","10","1","9","0","0","2","0","0","2","0","2","2","2","1","0","0","0","5","4","1","0","0","0","0","0","0","31","0","0","0","0","0","0","0","1","0","7","0","0","0","1"
"21","M","Hazard, Eden - CHE","FA","BOUR Sat 5:30PM","308.17","308.17","1","1","90","0","0","2","2","1","0.5","0","0","1","0","0","27","1","2","0","0","0","0","0","0","2","55","37","67.3","25","1","0","1","0","0","1","0","0","1","0","0","0","2","0","0","0","0","5","7","2","2","0","0","0","0","0","27","0","0","0","0","0","0","0","0","0","9","1","0","0","1"
"22","D","Sagna, Bacary - MCI","FA","@STK Sat 12:45PM","305.8","305.8","1","1","90","0","0","1","0","0","0","0","0","4","4","0","15","1","0","0","0","0","0","0","0","0","54","43","79.6","15","3","1","2","0","0","0","0","0","1","0","8","7","0","0","0","0","0","7","3","3","2","0","0","0","0","0","16","0","0","0","0","0","0","0","1","11","11","0","1","0","0"
"23","D","Vertonghen, Jan - TOT","FA","@WBA Sat 3:00PM","303.87","303.87","1","1","90","0","0","1","0","0","0","0","0","2","2","0","9","1","1","1","0","0","0","0","0","0","71","62","87.3","4","0","0","0","0","0","0","0","0","1","0","11","10","0","0","0","0","0","5","2","2","1","0","0","0","0","0","10","0","0","0","0","0","0","0","0","5","5","1","0","0","1"
"24","D","Kolarov, Aleksandar - MCI","FA","@STK Sat 12:45PM","301.43","301.43","1","1","90","1","0","2","3","2","0.7","0","1","3","2","0","20","1","1","1","0","0","0","0","0","0","38","29","76.3","17","7","2","5","3","1","1","0","2","3","0","2","0","2","1","0","1","0","5","2","0","0","0","0","0","0","0","22","0","0","0","0","0","0","0","1","11","11","0","1","0","0"
"25","M","Carrick, Michael - MUN","FA","WHU Sat 3:00PM","300.87","300.87","1","1","90","0","0","0","0","0","0","0","0","3","2","0","12","0","1","0","0","0","0","0","0","0","75","65","86.7","14","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","5","5","1","2","0","0","0","0","0","12","0","0","0","0","0","0","0","1","0","7","0","0","0","1"
