"Rk","Pos","Player","Sta","Opp (GMT)","FPts","FP/G","GP","GS","Min","W","L","T","CS","ShA","ShA","GA","GAIB","GAOB","Sv","Sv%","SvIB","SvOB","YC","SYC","RC","RCR","FC","FC/G","FS","FS/G","Pen","DP","PKGA","PKS","PKF","PKD","SubOn","SubOff","G","A","ASh","ABS","AFKG","AHW","AOG","APL","APKG","ASOP","Pa","APa","SFTP","Int","IntB","ClA","ClS","OO","DW","DL","AW","AL","HCA","HCS","Sm","Pu","GON"
"1","G","Butland, Jack - STK","FA","@SOU Sat 3:00PM","206.83","206.83","1","1","90","0","1","0","0","29","12","2","2","0","10","83.3","8","2","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","32","14","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","G","McCarthy, Alex - CRY","WW","SUN Mon 8:00PM","191.86","191.86","1","1","90","0","1","0","0","21","7","1","1","0","6","85.7","4","2","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","31","17","3","0","0","1","1","0","0","1","0","0","1","1","0","0","0"
"3","G","Begovic, Asmir - CHE","FA","NOR Sat 3:00PM","186.67","186.67","1","1","90","0","1","0","0","14","9","3","2","1","6","66.7","4","2","0","0","0","0","0","0.0","1","1.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","26","18","2","0","0","0","0","0","1","0","1","0","1","1","0","0","0"
"4","G","Fabianski, Lukasz - SWA","FA","BOUR Sat 3:00PM","184.83","184.83","1","1","90","0","1","0","0","17","6","1","1","0","5","83.3","4","1","0","0","0","0","0","0.0","1","1.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","29","21","2","0","0","1","0","0","1","0","0","0","0","0","0","0","0"
"5","G","Guzan, Brad - AVL","FA","@EVE Sat 3:00PM","182.5","182.5","1","1","90","0","1","0","0","21","6","3","3","0","3","50.0","0","3","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30","15","3","0","0","0","0","0","0","0","0","0","1","1","0","0","0"
"6","G","Gomes, Heurelho - WAT","FA","MUN Sat 12:45PM","182","182","1","1","90","1","0","0","1","8","3","0","0","0","3","100.0","1","2","0","0","0","0","0","0.0","1","1.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","33","15","6","0","0","3","3","0","2","0","1","0","1","1","0","3","0"
"7","G","Pantilimon, Costel - SUN","FA","@CRY Mon 8:00PM","180.75","180.75","1","1","90","0","1","0","0","15","4","1","1","0","3","75.0","2","1","0","0","0","0","0","0.0","1","1.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30","14","2","0","0","2","0","0","1","0","0","0","4","4","1","0","0"
"8","G","Mignolet, Simon - LIV","FA","@MCI Sat 5:30PM","179","179","1","1","90","0","1","0","0","9","3","3","3","0","0","0.0","0","0","0","0","0","0","0","0.0","0","0.0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","31","22","1","0","0","2","2","0","0","0","0","0","3","3","0","2","0"
"9","G","Myhill, Boaz - WBA","FA","ARS Sat 3:00PM","175","175","1","1","90","0","0","1","1","15","4","0","0","0","4","100.0","3","1","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","29","10","3","0","0","1","1","0","0","0","0","0","4","4","0","1","0"
"10","G","Krul, Tim - NEW","FA","LEIC Sat 3:00PM","172.33","172.33","1","1","90","0","1","0","0","17","3","2","1","1","1","33.3","1","0","0","0","0","0","0","0.0","1","1.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","28","19","0","0","0","0","0","0","1","0","1","0","1","1","0","0","0"
"11","G","Randolph, Darren - WHU","FA","@TOT Sun 4:00PM","164","164","1","1","90","1","0","0","1","14","4","0","0","0","4","100.0","4","0","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25","11","5","0","0","0","0","0","0","0","0","0","1","1","0","0","0"
