"Rk","Pos","Player","Sta","Opp (GMT)","FPts","FP/G","G/90M","G/G","A/G","A/90M","ABS","AFKG","AHW","AOG","APL","APKG","AR","ASOP","Pts","Pt/G","Pt/90M","Sh/G","Sh/90M","ShG/G","ShG/90M","FC/G","FS/G","RCR","DPt","6S","Off/G","Off/90M","HT","GAD","GAF","GAM","CSD","CSF","CSM"
"1","D","Smith, Adam - BOUR","FA","@SWA Sat 3:00PM","91","91","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","1.0","90.0","0.0","0.0","0.0","0.0","0","0","0","0.0","0.0","0","0","0","0","0","0","0"
"2","F","Ighalo, Odion - WAT","FA","MUN Sat 12:45PM","32","32","2.0","2.0","0.0","0.0","0","0","0","0","0","0","0","0","2","2.0","2.0","5.0","5.0","3.0","3.0","2.0","1.0","0","2","0","0.0","0.0","0","0","1","0","0","0","0"
"3","F","Pellè, Graziano - SOU","FA","STK Sat 3:00PM","32","32","2.0","2.0","0.0","0.0","0","0","0","0","0","0","0","0","2","2.0","2.0","6.0","6.0","2.0","2.0","1.0","1.0","0","1","0","0.0","0.0","0","0","3","0","0","0","0"
"4","F","Martial, Anthony - MUN","WW","@WAT Sat 12:45PM","30","30","2.0","2.0","0.0","0.0","0","0","0","0","0","0","0","0","2","2.0","2.0","3.0","3.0","2.0","2.0","2.0","2.0","0","2","0","1.0","1.0","0","0","2","0","0","0","0"
"5","M","Yaya Touré - MCI","FA","LIV Sat 5:30PM","29","29","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","7.0","7.0","2.0","2.0","4.0","1.0","0","4","0","0.0","0.0","0","0","0","2","0","0","0"
"6","M","Coutinho, Philippe - LIV","FA","@MCI Sat 5:30PM","28","28","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","10.0","10.0","2.0","2.0","0.0","3.0","0","0","0","0.0","0.0","0","0","1","0","0","0","0"
"7","F","Murray, Glenn - BOUR","FA","@SWA Sat 3:00PM","27.29","27.29","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","1.0","6.4","1.0","6.4","1.0","0.0","0","4","0","1.0","6.4","0","0","0","0","0","0","0"
"8","F","Rondón, Salomón - WBA","WW","ARS Sat 3:00PM","27.12","27.12","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","6.0","6.1","4.0","4.0","2.0","0.0","0","2","0","1.0","1.0","0","0","0","0","0","1","0"
"9","M","Mahrez, Riyad - LEIC","FA","@NEW Sat 3:00PM","27","27","1.0","1.0","1.0","1.0","0","0","0","0","0","0","0","0","2","2.0","2.0","2.0","2.0","2.0","2.0","1.0","2.0","0","4","0","0.0","0.0","0","0","0","2","0","0","0"
"10","M","Son Heung-Min - TOT","WW","WHU Sun 4:00PM","26.39","26.39","1.1","1.0","0.0","0.0","0","0","0","0","0","0","0","0","1","1.0","1.1","5.0","5.7","2.0","2.3","1.0","1.0","0","1","0","1.0","1.1","0","0","0","0","0","0","1"
"11","F","Vardy, Jamie - LEIC","FA","@NEW Sat 3:00PM","23","23","1.0","1.0","0.0","0.0","0","0","0","0","0","0","0","0","1","1.0","1.0","4.0","4.0","2.0","2.0","2.0","0.0","0","2","0","0.0","0.0","0","0","2","0","0","0","0"
"12","M","Ritchie, Matt - BOUR","FA","@SWA Sat 3:00PM","22.08","22.08","1.0","1.0","0.0","0.0","0","0","0","0","0","0","0","0","1","1.0","1.0","3.0","3.0","1.0","1.0","3.0","0.0","0","3","0","1.0","1.0","0","0","0","0","0","0","1"
"13","M","Fàbregas, Cesc - CHE","FA","NOR Sat 3:00PM","22.07","22.07","0.0","0.0","1.0","1.0","0","0","0","0","0","0","0","0","1","1.0","1.0","3.0","3.0","1.0","1.0","3.0","2.0","0","3","0","0.0","0.0","0","0","0","0","0","0","1"
"14","F","Gomis, Bafétimbi - SWA","FA","BOUR Sat 3:00PM","22","22","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","4.0","4.4","2.0","2.2","1.0","0.0","0","1","0","3.0","3.3","0","0","0","0","0","1","0"
"15","M","Lamela, Erik - TOT","FA","WHU Sun 4:00PM","21.21","21.21","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","4.0","4.1","2.0","2.1","2.0","1.0","0","5","0","0.0","0.0","0","0","0","0","0","0","1"
"16","F","Agüero, Sergio - MCI","FA","LIV Sat 5:30PM","21","21","0.0","0.0","1.0","1.0","0","0","0","0","0","0","0","0","1","1.0","1.0","5.0","5.0","1.0","1.0","0.0","0.0","0","0","0","1.0","1.0","0","0","2","0","0","0","0"
"17","F","Cissé, Papiss Demba - NEW","FA","LEIC Sat 3:00PM","21","21","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","2.0","4.0","1.0","2.0","2.0","0.0","0","2","0","2.0","4.0","0","0","2","0","0","0","0"
"18","F","Wilson, Callum - BOUR","FA","@SWA Sat 3:00PM","20.92","20.92","1.2","1.0","0.0","0.0","0","0","0","0","0","0","0","0","1","1.0","1.2","2.0","2.4","1.0","1.2","1.0","6.0","0","1","0","0.0","0.0","0","0","0","0","0","1","0"
