"Rk","Pos","Player","Sta","Opp (GMT)","FPts","FP/G","G/90M","G/G","A/G","A/90M","ABS","AFKG","AHW","AOG","APL","APKG","AR","ASOP","Pts","Pt/G","Pt/90M","Sh/G","Sh/90M","ShG/G","ShG/90M","FC/G","FS/G","RCR","DPt","6S","Off/G","Off/90M","HT","GAD","GAF","GAM","CSD","CSF","CSM"
"1","M","Ramires - CHE","FA","NOR Sat 3:00PM","46.06","46.06","5.3","1.0","0.0","0.0","0","0","0","0","0","0","0","0","1","1.0","5.3","3.0","15.9","2.0","10.6","0.0","1.0","0","0","0","0.0","0.0","0","0","0","0","0","0","0"
"2","F","Sánchez, Alexis - ARS","FA","@WBA Sat 3:00PM","45","45","3.0","3.0","0.0","0.0","0","0","0","0","0","0","0","0","3","3.0","3.0","7.0","7.0","3.0","3.0","3.0","1.0","0","3","0","0.0","0.0","1","0","0","2","0","0","0"
"3","F","Giroud, Olivier - ARS","FA","@WBA Sat 3:00PM","42","42","9.0","1.0","0.0","0.0","0","0","0","0","0","0","0","0","1","1.0","9.0","1.0","9.0","1.0","9.0","0.0","0.0","0","0","0","0.0","0.0","0","0","1","0","0","0","0"
"4","F","Sakho, Diafra - WHU","FA","@TOT Sun 4:00PM","41","41","1.0","1.0","0.0","0.0","0","0","0","0","0","0","0","0","1","1.0","1.0","8.0","8.0","3.0","3.0","1.0","4.0","0","1","0","3.0","3.0","0","0","2","0","0","0","0"
"5","M","Mané, Sadio - SOU","FA","STK Sat 3:00PM","38.6","38.6","1.0","1.0","0.0","0.0","0","0","0","0","0","0","0","0","1","1.0","1.0","7.0","7.3","2.0","2.1","3.0","4.0","0","3","0","2.0","2.1","0","0","0","1","0","0","0"
"6","M","Coutinho, Philippe - LIV","FA","@MCI Sat 5:30PM","35","35","0.0","0.0","2.0","2.0","0","0","0","0","0","0","0","0","2","2.0","2.0","7.0","7.0","3.0","3.0","1.0","1.0","0","1","0","0.0","0.0","0","0","2","0","0","0","0"
"7","F","Walcott, Theo - ARS","FA","@WBA Sat 3:00PM","34.88","34.88","1.1","1.0","0.0","0.0","0","0","0","0","0","0","0","0","1","1.0","1.1","8.0","9.0","4.0","4.5","0.0","1.0","0","0","0","1.0","1.1","0","0","1","0","0","0","0"
"8","M","Lamela, Erik - TOT","FA","WHU Sun 4:00PM","34.34","34.34","1.0","1.0","1.0","1.0","0","0","0","0","0","0","0","0","2","2.0","2.1","4.0","4.1","1.0","1.0","3.0","2.0","0","6","0","1.0","1.0","0","0","0","1","0","0","0"
"9","F","Sturridge, Daniel - LIV","FA","@MCI Sat 5:30PM","33.16","33.16","2.0","2.0","0.0","0.0","0","0","0","0","0","0","0","0","2","2.0","2.0","5.0","5.1","4.0","4.0","0.0","1.0","0","0","0","1.0","1.0","0","0","2","0","0","0","0"
"10","F","Gestede, Rudy - AVL","WW","@EVE Sat 3:00PM","33","33","2.0","2.0","0.0","0.0","0","0","0","0","0","0","0","0","2","2.0","2.0","4.0","4.0","2.0","2.0","4.0","0.0","0","4","0","0.0","0.0","0","0","3","0","0","0","0"
"11","F","Vardy, Jamie - LEIC","FA","@NEW Sat 3:00PM","33","33","2.0","2.0","0.0","0.0","0","0","0","0","0","0","0","0","2","2.0","2.0","6.0","6.0","3.0","3.0","0.0","0.0","0","0","0","0.0","0.0","0","0","5","0","0","0","0"
"12","F","Murray, Glenn - BOUR","FA","@SWA Sat 3:00PM","30.1","30.1","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","3.0","3.7","3.0","3.7","3.0","2.0","0","3","0","3.0","3.7","0","0","2","0","0","0","0"
"13","F","Diouf, Mame Biram - STK","FA","@SOU Sat 3:00PM","28.29","28.29","3.2","1.0","0.0","0.0","0","0","0","0","0","0","0","0","1","1.0","3.2","2.0","6.4","2.0","6.4","0.0","1.0","0","0","0","0.0","0.0","0","0","1","0","0","0","0"
"14","F","Kane, Harry - TOT","FA","WHU Sun 4:00PM","28","28","1.0","1.0","0.0","0.0","0","0","0","0","0","0","0","0","1","1.0","1.0","4.0","4.0","3.0","3.0","2.0","1.0","0","5","0","0.0","0.0","0","0","1","0","0","0","0"
"15","F","Koné, Arouna - EVE","FA","AVL Sat 3:00PM","28","28","5.0","1.0","0.0","0.0","0","0","0","0","0","0","0","0","1","1.0","5.0","1.0","5.0","1.0","5.0","0.0","0.0","0","3","0","0.0","0.0","0","0","0","0","0","0","0"
"16","M","Milner, James - LIV","FA","@MCI Sat 5:30PM","28","28","1.0","1.0","1.0","1.0","0","0","0","0","0","0","0","0","2","2.0","2.0","2.0","2.0","2.0","2.0","2.0","4.0","0","2","0","0.0","0.0","0","0","0","2","0","0","0"
"17","F","N'Jie, Clinton - TOT","WW","WHU Sun 4:00PM","26.77","26.77","0.0","0.0","1.0","6.9","0","0","0","0","0","0","0","0","1","1.0","6.9","1.0","6.9","0.0","0.0","1.0","0.0","0","1","0","0.0","0.0","0","0","0","0","0","0","0"
"18","F","Depay, Memphis - MUN","FA","@WAT Sat 12:45PM","26.69","26.69","1.2","1.0","0.0","0.0","0","0","0","0","0","0","0","0","1","1.0","1.2","4.0","4.7","4.0","4.7","1.0","1.0","0","1","0","0.0","0.0","0","0","0","0","0","0","1"
"19","F","Lukaku, Romelu - EVE","FA","AVL Sat 3:00PM","25.11","25.11","2.0","2.0","1.0","1.0","0","0","0","0","0","0","0","0","3","3.0","3.0","2.0","2.0","2.0","2.0","0.0","0.0","0","0","0","0.0","0.0","0","0","2","0","0","0","0"
"20","M","Cabaye, Yohan - CRY","FA","SUN Mon 8:00PM","24.84","24.84","1.2","1.0","0.0","0.0","0","0","0","0","0","0","0","0","1","1.0","1.2","2.0","2.3","1.0","1.2","3.0","3.0","0","6","0","0.0","0.0","0","0","0","0","0","0","1"
"21","M","Redmond, Nathan - NOR","FA","@CHE Sat 3:00PM","24.14","24.14","4.3","1.0","0.0","0.0","0","0","0","0","0","0","0","0","1","1.0","4.3","1.0","4.3","1.0","4.3","0.0","1.0","0","0","0","0.0","0.0","0","0","0","1","0","0","0"
"22","M","Mata, Juan - MUN","FA","@WAT Sat 12:45PM","24","24","1.0","1.0","1.0","1.0","0","0","0","0","0","0","0","0","2","2.0","2.0","4.0","4.0","2.0","2.0","0.0","1.0","0","0","0","0.0","0.0","0","0","0","0","0","0","1"
"23","F","Jerome, Cameron - NOR","FA","@CHE Sat 3:00PM","23.44","23.44","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","4.0","5.6","2.0","2.8","4.0","0.0","0","4","0","0.0","0.0","0","0","1","0","0","0","0"
"24","F","Ayoze Pérez - NEW","FA","LEIC Sat 3:00PM","23","23","1.0","1.0","1.0","1.0","0","0","0","0","0","0","0","0","2","2.0","2.0","3.0","3.0","2.0","2.0","0.0","1.0","0","0","0","0.0","0.0","0","0","2","0","0","0","0"
"25","F","Mitrovic, Aleksandar - NEW","WW","LEIC Sat 3:00PM","22.12","22.12","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","2.0","2.1","0.0","0.0","4.0","9.0","0","4","0","0.0","0.0","0","0","1","0","0","0","0"
"26","M","Cazorla, Santiago - ARS","FA","@WBA Sat 3:00PM","22","22","0.0","0.0","1.0","1.0","0","0","0","0","0","0","0","0","1","1.0","1.0","4.0","4.0","2.0","2.0","0.0","1.0","0","0","0","1.0","1.0","0","0","0","2","0","0","0"
"27","M","Kouyaté, Cheikhou - WHU","FA","@TOT Sun 4:00PM","22","22","1.0","1.0","0.0","0.0","0","0","0","0","0","0","0","0","1","1.0","1.0","4.0","4.0","2.0","2.0","1.0","1.0","0","1","0","0.0","0.0","0","0","0","2","0","0","0"
"28","M,F","De Bruyne, Kevin - MCI","WW","LIV Sat 5:30PM","21","21","1.0","1.0","0.0","0.0","0","0","0","0","0","0","0","0","1","1.0","1.0","3.0","3.0","2.0","2.0","0.0","2.0","0","0","0","0.0","0.0","0","0","0","4","0","0","0"
"29","F","Kramaric, Andrej - LEIC","FA","@NEW Sat 3:00PM","21","21","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","1.0","7.5","1.0","7.5","1.0","0.0","0","1","0","0.0","0.0","0","0","2","0","0","0","0"
"30","M","Ritchie, Matt - BOUR","FA","@SWA Sat 3:00PM","21","21","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","5.0","5.0","1.0","1.0","2.0","3.0","0","2","0","0.0","0.0","0","0","0","2","0","0","0"
"31","M","Sigurdsson, Gylfi - SWA","FA","BOUR Sat 3:00PM","21","21","1.0","1.0","0.0","0.0","0","0","0","0","0","0","0","0","1","1.0","1.0","3.0","3.0","1.0","1.0","1.0","3.0","0","1","0","0.0","0.0","0","0","0","3","0","0","0"
"32","M","Willian - CHE","FA","NOR Sat 3:00PM","20.41","20.41","3.1","1.0","0.0","0.0","0","0","0","0","0","0","0","0","1","1.0","3.1","1.0","3.1","1.0","3.1","1.0","1.0","0","1","0","0.0","0.0","0","0","0","0","0","0","0"
