"Rk","Pos","Player","Sta","Opp (GMT)","FPts","FP/G","GP","GS","Min","G","A","ASh","Sh","SOG","SA","SOP","SB","Tk","TkW","TLM","PLC","FC","FS","YC","SYC","RC","HB","Pen","DP","Off","Pa","APa","Pc%","SFTP","Cr","ACr","CF","CK","CF","CC","FKS","Int","IntB","ClA","ClS","CoA","CoS","CSLM","BCr","BS","DW","DL","AW","AL","BCC","BCM","BCS","FKG","FKM","PL","SubOn","SubOff","PKG","PKA","PKM","PKD","GON","GA","ShA","ShA","CS","W","L","T","CIB"
"16","M","Mason, Ryan - TOT","FA","CHE Sun 12:00PM","316.48","316.48","1","1","85","1","0","2","3","2","0.7","0","0","3","2","0","15","1","1","0","0","0","0","0","0","0","69","56","81.2","20","2","0","2","0","1","0","0","0","0","0","0","1","1","0","0","1","6","2","1","1","0","0","1","0","0","15","0","1","0","0","0","0","0","0","0","12","1","1","0","0","0"
"17","M","Brady, Robbie - NOR","WW","ARS Sun 4:15PM","316.36","316.36","1","1","90","0","0","1","2","1","0.5","1","0","5","5","0","20","1","0","0","0","0","0","0","0","0","50","43","86.0","17","9","1","8","3","1","0","0","3","1","0","0","0","0","0","1","0","7","3","2","1","0","0","0","0","0","20","0","0","0","0","0","0","0","1","7","7","0","1","0","0","1"
"18","M","Drinkwater, Daniel - LEIC","FA","MUN Sat 5:30PM","315.8","315.8","1","1","90","0","1","4","2","0","0.0","0","1","4","3","0","18","0","2","0","0","0","0","0","0","0","66","53","80.3","17","2","0","2","0","0","0","1","1","0","0","0","1","1","0","0","0","8","2","1","0","1","0","0","0","0","18","0","0","0","0","0","0","0","2","0","11","0","1","0","0","0"
"19","M","Shelvey, Jonjo - SWA","FA","@LIV Sun 4:15PM","315.15","315.15","1","1","90","0","0","0","3","1","0.3","0","1","0","0","0","23","0","1","0","0","0","0","0","0","0","61","50","82.0","14","5","0","5","2","0","0","0","0","0","0","0","4","2","0","0","0","3","5","0","0","0","0","0","0","0","23","0","0","0","0","0","0","0","1","0","17","0","0","1","0","0"
"20","D","Bacuna, Leandro - AVL","FA","WAT Sat 3:00PM","314.7","314.7","1","1","86","0","0","0","0","0","0","0","0","3","2","0","21","3","0","0","0","0","0","0","0","0","50","35","70.0","9","2","0","2","0","1","0","0","4","0","4","1","3","1","0","2","1","7","7","3","0","0","0","0","0","0","24","0","1","0","0","0","0","0","2","19","19","0","0","1","0","2"
"21","M","Matic, Nemanja - CHE","FA","@TOT Sun 12:00PM","313.28","313.28","1","1","90","1","0","1","3","1","0.3","0","2","8","7","0","5","1","1","0","0","0","0","0","0","0","59","56","94.9","14","3","1","2","1","3","0","0","4","0","0","0","1","1","0","0","0","11","3","1","2","0","0","0","0","0","5","0","0","0","0","0","0","0","3","0","14","0","0","1","0","1"
"22","F","Sánchez, Alexis - ARS","FA","@NOR Sun 4:15PM","313.11","313.11","1","1","84","0","0","1","8","2","0.3","1","4","1","0","0","13","0","4","0","0","0","0","0","0","0","59","51","86.4","32","0","0","0","0","1","0","1","0","0","0","0","5","3","0","0","0","9","5","1","1","0","1","0","0","0","13","0","1","0","0","0","0","0","0","0","7","1","1","0","0","0"
"23","D","Naughton, Kyle - SWA","FA","@LIV Sun 4:15PM","311.8","311.8","1","1","90","0","0","1","0","0","0","0","0","2","1","0","16","2","0","0","0","0","0","0","0","0","56","45","80.4","16","3","0","3","0","2","0","0","2","0","5","3","1","1","0","0","0","3","3","0","1","0","0","0","0","0","18","0","0","0","0","0","0","0","1","17","17","0","0","1","0","0"
"24","D","van Dijk, Virgil - SOU","WW","@MCI Sat 3:00PM","309.86","309.86","1","1","90","0","0","0","1","0","0.0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","78","67","85.9","11","0","0","0","0","0","0","0","1","0","4","4","0","0","0","0","0","4","0","4","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","8","8","1","0","0","1","0"
"25","D","Shaw, Luke - MUN","FA","@LEIC Sat 5:30PM","308.87","308.87","1","1","90","0","0","0","0","0","0","0","0","2","2","0","16","0","0","0","0","0","0","0","0","0","60","52","86.7","20","2","1","1","0","0","0","0","1","0","3","3","3","1","0","0","0","4","8","1","3","0","0","0","0","0","16","0","0","0","0","0","0","0","1","8","8","0","1","0","0","0"
