"Rk","Pos","Player","Sta","Opp (GMT)","FPts","FP/G","G/90M","G/G","A/G","A/90M","ABS","AFKG","AHW","AOG","APL","APKG","AR","ASOP","Pts","Pt/G","Pt/90M","Sh/G","Sh/90M","ShG/G","ShG/90M","FC/G","FS/G","RCR","DPt","6S","Off/G","Off/90M","HT","GAD","GAF","GAM","CSD","CSF","CSM"
"1","F","Arnautovic, Marko - STK","FA","NOR Wed 7:45PM","33","33","1.0","1.0","1.0","1.0","0","0","0","0","0","0","0","0","2","2.0","2.0","3.0","3.0","1.0","1.0","3.0","2.0","0","3","0","2.0","2.0","0","0","0","3","0","0","0"
"2","F","Joselu - STK","FA","NOR Wed 7:45PM","29.31","29.31","3.5","1.0","0.0","0.0","0","0","0","0","0","0","0","0","1","1.0","3.5","1.0","3.5","1.0","3.5","2.0","0.0","0","2","0","1.0","3.5","0","0","2","0","0","0","0"
"3","F","Ighalo, Odion - WAT","FA","@SOU Wed 7:45PM","28","28","1.0","1.0","0.0","0.0","0","0","0","0","0","0","0","0","1","1.0","1.0","2.0","2.0","1.0","1.0","3.0","2.0","0","6","0","2.0","2.0","0","0","2","0","0","0","0"
"4","F","Benteke, Christian - LIV","FA","ARS Wed 8:00PM","26","26","1.0","1.0","0.0","0.0","0","0","0","0","0","0","0","0","1","1.0","1.0","3.0","3.0","2.0","2.0","3.0","1.0","0","6","0","0.0","0.0","0","0","0","0","0","1","0"
"5","F","Ayew, Jordan - AVL","WW","CRY Tue 7:45PM","25","25","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","2.0","2.0","2.0","2.0","5.0","2.0","0","8","0","0.0","0.0","0","0","2","0","0","0","0"
"6","F","Lukaku, Romelu - EVE","FA","@MCI Wed 7:45PM","25","25","2.0","2.0","0.0","0.0","0","0","0","0","0","0","0","0","2","2.0","2.0","3.0","3.0","2.0","2.0","0.0","1.0","0","0","0","0.0","0.0","0","0","4","0","0","0","0"
"7","M","Shaqiri, Xherdan - STK","WW","NOR Wed 7:45PM","24.28","24.28","2.1","2.0","0.0","0.0","0","0","0","0","0","0","0","0","2","2.0","2.1","2.0","2.1","2.0","2.1","1.0","1.0","0","1","0","0.0","0.0","0","0","0","3","0","0","0"
"8","F","Carroll, Andy - WHU","FA","@BOUR Tue 7:45PM","24","24","2.0","1.0","0.0","0.0","0","0","0","0","0","0","0","0","1","1.0","2.0","3.0","6.0","2.0","4.0","1.0","0.0","0","1","0","0.0","0.0","0","0","0","0","0","0","0"
"9","F","Anichebe, Victor - WBA","FA","@CHE Wed 7:45PM","22.18","22.18","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","5.0","5.1","1.0","1.0","1.0","3.0","0","1","0","2.0","2.0","0","0","0","0","0","1","0"
"10","F","Deulofeu, Gerard - EVE","FA","@MCI Wed 7:45PM","22","22","1.0","1.0","0.0","0.0","0","0","0","0","0","0","0","0","1","1.0","1.0","2.0","2.0","1.0","1.0","1.0","2.0","0","4","0","0.0","0.0","0","0","4","0","0","0","0"
"11","M","Son Heung-Min - TOT","WW","LEIC Wed 8:00PM","21.36","21.36","4.1","1.0","0.0","0.0","0","0","0","0","0","0","0","0","1","1.0","4.1","1.0","4.1","1.0","4.1","0.0","0.0","0","0","0","0.0","0.0","0","0","0","0","0","0","0"
"12","M","Lamela, Erik - TOT","FA","LEIC Wed 8:00PM","21","21","1.0","1.0","0.0","0.0","0","0","0","0","0","0","0","0","1","1.0","1.0","2.0","2.0","1.0","1.0","3.0","1.0","0","3","0","1.0","1.0","0","0","1","0","0","0","0"
"13","F","Mitrovic, Aleksandar - NEW","WW","MUN Tue 7:45PM","21","21","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","3.0","3.0","1.0","1.0","4.0","2.0","0","4","0","1.0","1.0","0","0","1","0","0","0","0"
"14","F","Dieumerci Mbokani - NOR","WW","@STK Wed 7:45PM","20.14","20.14","1.0","1.0","0.0","0.0","0","0","0","0","0","0","0","0","1","1.0","1.0","1.0","1.0","1.0","1.0","0.0","6.0","0","0","0","2.0","2.0","0","0","0","0","0","1","0"
"15","F","Murray, Glenn - BOUR","FA","WHU Tue 7:45PM","20","20","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","1.0","9.0","1.0","9.0","0.0","0.0","0","0","0","0.0","0.0","0","0","0","0","0","0","0"
"16","F","Sterling, Raheem - MCI","FA","EVE Wed 7:45PM","19.08","19.08","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","4.0","4.0","3.0","3.0","1.0","2.0","0","1","0","0.0","0.0","0","0","0","0","0","0","1"
"17","M","Antonio, Michail - WHU","WW","@BOUR Tue 7:45PM","18","18","1.0","1.0","0.0","0.0","0","0","0","0","0","0","0","1","1","1.0","1.0","3.0","3.0","1.0","1.0","0.0","1.0","0","0","0","1.0","1.0","0","0","0","1","0","0","0"
"18","M","Cabaye, Yohan - CRY","FA","@AVL Tue 7:45PM","18","18","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","3.0","3.0","0.0","0.0","2.0","4.0","0","5","0","0.0","0.0","0","0","0","0","0","0","1"
"19","M","Fletcher, Darren - WBA","FA","@CHE Wed 7:45PM","18","18","1.0","1.0","0.0","0.0","0","0","0","0","0","0","0","0","1","1.0","1.0","5.0","5.0","1.0","1.0","0.0","0.0","0","0","0","0.0","0.0","0","0","0","0","0","0","1"
"20","M","Schweinsteiger, Bastian - MUN","WW","@NEW Tue 7:45PM","18","18","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","3.0","3.0","0.0","0.0","4.0","0.0","0","7","0","0.0","0.0","0","0","0","0","0","0","1"
"21","F","Berahino, Saido - WBA","FA","@CHE Wed 7:45PM","17.5","17.5","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","2.0","9.0","1.0","4.5","0.0","1.0","0","0","0","0.0","0.0","0","0","0","0","0","0","0"
"22","M","Can, Emre - LIV","FA","ARS Wed 8:00PM","17","17","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","2.0","2.0","0.0","0.0","3.0","3.0","0","6","0","0.0","0.0","0","0","0","0","0","0","1"
"23","F","Kane, Harry - TOT","FA","LEIC Wed 8:00PM","17","17","0.0","0.0","1.0","1.0","0","0","0","0","0","0","0","0","1","1.0","1.0","3.0","3.0","1.0","1.0","1.0","1.0","0","1","0","0.0","0.0","0","0","1","0","0","0","0"
"24","F","Vardy, Jamie - LEIC","FA","@TOT Wed 8:00PM","17","17","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","3.0","3.0","2.0","2.0","2.0","2.0","0","2","0","0.0","0.0","0","0","0","0","0","1","0"
"25","M","Tadic, Dusan - SOU","FA","WAT Wed 7:45PM","16.8","16.8","0.0","0.0","0.0","0.0","0","0","0","1","0","0","0","0","0","0.0","0.0","3.0","3.6","1.0","1.2","2.0","2.0","0","2","0","0.0","0.0","0","0","0","1","0","0","0"
"26","F","Giroud, Olivier - ARS","FA","@LIV Wed 8:00PM","16.75","16.75","0.0","0.0","1.0","1.1","0","0","0","0","0","0","0","0","1","1.0","1.1","3.0","3.4","1.0","1.1","1.0","0.0","0","1","0","0.0","0.0","0","0","0","0","0","1","0"
"27","M","Coutinho, Philippe - LIV","FA","ARS Wed 8:00PM","16.59","16.59","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","6.0","6.5","1.0","1.1","0.0","1.0","0","0","0","0.0","0.0","0","0","0","0","0","0","1"
"28","M","Sigurdsson, Gylfi - SWA","FA","SUN Wed 7:45PM","16.59","16.59","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","2.0","5.3","2.0","5.3","1.0","0.0","0","1","0","0.0","0.0","0","0","0","0","0","0","0"
"29","M","Barkley, Ross - EVE","FA","@MCI Wed 7:45PM","16","16","0.0","0.0","1.0","1.0","0","0","0","0","0","0","0","0","1","1.0","1.0","3.0","3.0","0.0","0.0","0.0","1.0","0","0","0","0.0","0.0","0","0","0","4","0","0","0"
"30","F","Deeney, Troy - WAT","FA","@SOU Wed 7:45PM","16","16","0.0","0.0","1.0","1.0","0","0","0","0","0","0","0","0","1","1.0","1.0","3.0","3.0","0.0","0.0","0.0","0.0","0","3","0","0.0","0.0","0","0","2","0","0","0","0"
"31","M","Redmond, Nathan - NOR","FA","@STK Wed 7:45PM","16","16","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","2.0","2.0","2.0","2.0","2.0","3.0","0","2","0","0.0","0.0","0","0","0","0","0","0","1"
"32","D","Stones, John - EVE","FA","@MCI Wed 7:45PM","16","16","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","1.0","1.0","0.0","0.0","3.0","1.0","0","6","0","0.0","0.0","0","4","0","0","0","0","0"
"33","D","Gabriel Paulista - ARS","FA","@LIV Wed 8:00PM","16","16","1.0","1.0","0.0","0.0","0","0","0","0","0","0","0","0","1","1.0","1.0","3.0","3.0","2.0","2.0","0.0","0.0","0","0","0","0.0","0.0","0","0","0","0","1","0","0"
"34","M","Davis, Steven - SOU","FA","WAT Wed 7:45PM","15","15","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","4.0","4.0","1.0","1.0","1.0","1.0","0","1","0","0.0","0.0","0","0","0","2","0","0","0"
"35","M","Oriol Romeu - SOU","WW","WAT Wed 7:45PM","15","15","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","2.0","2.0","1.0","1.0","2.0","0.0","0","5","0","0.0","0.0","0","0","0","2","0","0","0"
"36","F","Rooney, Wayne - MUN","FA","@NEW Tue 7:45PM","15","15","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","2.0","2.0","1.0","1.0","1.0","1.0","0","4","0","1.0","1.0","0","0","0","0","0","1","0"
"37","F","Walcott, Theo - ARS","FA","@LIV Wed 8:00PM","15","15","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","3.0","3.0","2.0","2.0","0.0","2.0","0","0","0","1.0","1.0","0","0","0","0","0","0","1"
"38","M","Özil, Mesut - ARS","FA","@LIV Wed 8:00PM","15","15","1.0","1.0","1.0","1.0","0","0","0","0","0","0","0","0","2","2.0","2.0","1.0","1.0","1.0","1.0","0.0","0.0","0","0","0","0.0","0.0","0","0","0","0","0","0","1"
"39","M","Arter, Harry - BOUR","FA","WHU Tue 7:45PM","14","14","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","4.0","4.0","0.0","0.0","1.0","2.0","0","1","0","0.0","0.0","0","0","0","2","0","0","0"
"40","F","Borini, Fabio - SUN","FA","@SWA Wed 7:45PM","14","14","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","2.0","2.0","1.0","1.0","2.0","3.0","0","2","0","0.0","0.0","0","0","1","0","0","0","0"
"41","M","Gueye, Idrissa - AVL","FA","CRY Tue 7:45PM","14","14","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","0.0","4.0","1.0","0","7","0","0.0","0.0","0","0","0","2","0","0","0"
"42","D","Hangeland, Brede - CRY","FA","@AVL Tue 7:45PM","14","14","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","1.0","1.0","1.0","1.0","2.0","2.0","0","5","0","0.0","0.0","0","0","0","0","1","0","0"
"43","F","Koné, Arouna - EVE","FA","@MCI Wed 7:45PM","14","14","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","2.0","2.0","0.0","0.0","2.0","0.0","0","2","0","1.0","1.0","0","0","4","0","0","0","0"
"44","M","Cleverley, Tom - EVE","FA","@MCI Wed 7:45PM","13.92","13.92","0.0","0.0","1.0","2.3","0","0","0","0","0","0","0","0","1","1.0","2.3","1.0","2.3","0.0","0.0","1.0","0.0","0","1","0","0.0","0.0","0","0","0","1","0","0","0"
"45","M","Ibe, Jordon - LIV","FA","ARS Wed 8:00PM","13.86","13.86","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","1.0","12.9","0.0","0.0","0.0","0.0","0","0","0","0.0","0.0","0","0","0","0","0","0","0"
"46","F","Bony, Wilfried - MCI","FA","EVE Wed 7:45PM","13.38","13.38","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","2.0","6.9","0.0","0.0","0.0","0.0","0","0","0","1.0","3.5","0","0","0","0","0","0","0"
"47","M","Albrighton, Marc - LEIC","FA","@TOT Wed 8:00PM","13.03","13.03","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","2.0","2.0","0.0","0.0","1.0","1.0","0","4","0","1.0","1.0","0","0","0","0","0","0","1"
"48","F","Agüero, Sergio - MCI","FA","EVE Wed 7:45PM","13.03","13.03","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","5.0","7.0","0.0","0.0","0.0","0.0","0","0","0","0.0","0.0","0","0","0","0","0","1","0"
"49","M","Howson, Jonny - NOR","FA","@STK Wed 7:45PM","13","13","1.0","1.0","0.0","0.0","0","0","0","0","0","0","0","0","1","1.0","1.0","2.0","2.0","1.0","1.0","0.0","1.0","0","0","0","0.0","0.0","0","0","0","0","0","0","1"
"50","M","Morrison, James - WBA","FA","@CHE Wed 7:45PM","12.43","12.43","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","3.0","3.9","2.0","2.6","0.0","0.0","0","0","0","0.0","0.0","0","0","0","0","0","1","0"
