"Rk","Pos","Player","Sta","Opp (GMT)","FPts","FP/G","GP","GS","Min","W","L","T","CS","ShA","ShA","GA","GAIB","GAOB","Sv","Sv%","SvIB","SvOB","YC","SYC","RC","RCR","FC","FC/G","FS","FS/G","Pen","DP","PKGA","PKS","PKF","PKD","SubOn","SubOff","G","A","ASh","ABS","AFKG","AHW","AOG","APL","APKG","ASOP","Pa","APa","SFTP","Int","IntB","ClA","ClS","OO","DW","DL","AW","AL","HCA","HCS","Sm","Pu","GON"
"1","G","Boruc, Artur - BOUR","FA","WHU Tue 7:45PM","194","194","1","1","90","0","0","1","1","16","2","0","0","0","2","100.0","1","1","0","0","0","0","0","0.0","0","0.0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","42","22","1","0","0","2","0","0","0","0","0","0","4","4","0","0","0"
"2","G","Fabianski, Lukasz - SWA","FA","SUN Wed 7:45PM","189.67","189.67","1","1","90","0","1","0","0","19","6","2","2","0","4","66.7","3","1","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","31","20","0","0","0","1","1","0","1","0","1","0","1","1","1","1","0"
"3","G","Elliot, Robert - NEW","FA","MUN Tue 7:45PM","186.67","186.67","1","1","90","0","1","0","0","15","3","1","1","0","2","66.7","2","0","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","38","21","0","0","0","1","1","0","1","0","1","0","3","3","0","0","0"
"4","G","Guzan, Brad - AVL","FA","CRY Tue 7:45PM","179.5","179.5","1","1","90","0","1","0","0","13","6","3","2","1","3","50.0","2","1","0","0","0","0","0","0.0","1","1.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","31","16","3","0","0","0","0","0","1","0","0","0","1","1","0","0","0"
"5","G","Cech, Petr - ARS","FA","@LIV Wed 8:00PM","177","177","1","1","90","1","0","0","1","15","6","0","0","0","6","100.0","6","0","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25","18","2","0","0","0","0","0","0","0","0","0","2","2","0","0","0"
"6","G","Adrián - WHU","FA","@BOUR Tue 7:45PM","175","175","1","1","90","1","0","0","1","23","1","0","0","0","1","100.0","1","0","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30","13","2","1","1","1","1","0","0","0","0","0","2","2","0","1","0"
"7","G","Mignolet, Simon - LIV","FA","ARS Wed 8:00PM","173.8","173.8","1","1","90","0","1","0","0","18","10","2","2","0","8","80.0","7","1","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18","12","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0"
"8","G","Butland, Jack - STK","FA","NOR Wed 7:45PM","171.6","171.6","1","1","90","0","1","0","0","17","5","2","2","0","3","60.0","2","1","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30","14","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9","G","Howard, Tim - EVE","FA","@MCI Wed 7:45PM","170.75","170.75","1","1","90","0","0","1","0","19","4","1","1","0","3","75.0","0","3","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","26","11","3","0","0","2","2","0","0","0","0","0","0","0","0","2","0"
"10","G","de Gea, David - MUN","FA","@NEW Tue 7:45PM","168.75","168.75","1","1","90","1","0","0","0","9","4","1","1","0","3","75.0","2","1","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30","22","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0"
