"Rk","Pos","Player","Sta","Opp (GMT)","FPts","FP/G","GP","GS","Min","G","A","ASh","Sh","SOG","SA","SOP","SB","Tk","TkW","TLM","PLC","FC","FS","YC","SYC","RC","HB","Pen","DP","Off","Pa","APa","Pc%","SFTP","Cr","ACr","CF","CK","CF","CC","FKS","Int","IntB","ClA","ClS","CoA","CoS","CSLM","BCr","BS","DW","DL","AW","AL","BCC","BCM","BCS","FKG","FKM","PL","SubOn","SubOff","PKG","PKA","PKM","PKD","GON","GA","ShA","ShA","CS","W","L","T","CIB"
"1","M","Fàbregas, Cesc - CHE","FA","NOR Sat 3:00PM","387.86","387.86","1","1","90","0","0","2","1","0","0.0","0","0","7","5","0","16","4","2","0","0","0","0","0","0","0","79","68","86.1","26","4","1","3","1","0","0","0","5","0","0","0","4","2","0","0","1","12","11","1","2","0","0","0","0","0","16","0","0","0","0","0","0","0","3","0","18","0","0","1","0","0"
"2","M","Capoue, Etienne - WAT","FA","MUN Sat 12:45PM","376.87","376.87","1","1","90","0","0","2","1","0","0.0","0","1","3","2","0","17","3","2","0","0","0","0","0","0","0","83","72","86.7","25","1","1","0","0","0","0","0","2","0","2","2","6","5","0","0","0","13","10","3","3","0","0","0","0","0","17","0","0","0","0","0","0","0","0","0","6","1","0","0","1","0"
"3","M","Ramsey, Aaron - ARS","FA","@WBA Sat 3:00PM","362.27","362.27","1","1","90","0","0","4","4","2","0.5","0","1","4","4","0","25","1","2","0","0","0","0","0","0","0","78","60","76.9","28","0","0","0","0","0","0","0","0","0","1","1","2","0","0","0","0","7","6","1","0","0","0","0","0","0","25","0","0","0","0","0","0","0","1","0","11","0","1","0","0","0"
"4","D","Williams, Ashley - SWA","FA","BOUR Sat 3:00PM","358.97","358.97","1","1","90","0","0","0","0","0","0","0","0","3","3","0","3","0","0","0","0","0","0","0","0","0","105","102","97.1","15","0","0","0","0","0","0","0","2","0","5","4","0","0","0","0","0","4","1","1","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","4","4","1","1","0","0","1"
"5","M","Shelvey, Jonjo - SWA","FA","BOUR Sat 3:00PM","354.28","354.28","1","1","90","0","1","3","5","2","0.4","0","2","2","2","0","18","1","0","0","0","0","0","0","0","0","83","73","88.0","17","6","1","5","4","0","0","0","1","0","2","2","1","1","0","0","0","3","1","0","0","1","0","0","0","0","18","0","0","0","0","0","0","0","0","0","4","1","1","0","0","0"
"6","M","Payet, Dimitri - WHU","FA","@TOT Sun 4:00PM","352.12","352.12","1","1","90","1","0","3","3","1","0.3","0","2","0","0","0","33","1","0","0","0","0","0","0","0","0","47","37","78.7","23","17","0","17","7","2","0","0","0","0","0","0","4","2","0","0","0","2","6","0","1","0","0","0","0","0","33","0","0","0","0","0","0","0","2","0","10","0","0","1","0","0"
"7","D","Federico Fernández - SWA","FA","BOUR Sat 3:00PM","346.96","346.96","1","1","90","0","0","1","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","101","97","96.0","12","0","0","0","0","0","0","0","1","0","5","3","0","0","0","0","0","2","1","2","1","0","0","0","0","0","8","0","0","0","0","0","0","0","0","4","4","1","1","0","0","1"
"8","D","Ogbonna, Angelo - WHU","FA","@TOT Sun 4:00PM","345.87","345.87","1","1","90","0","0","0","0","0","0","0","0","2","1","0","10","1","0","0","0","0","0","0","0","0","79","69","87.3","3","0","0","0","0","0","0","0","1","0","12","8","0","0","0","0","0","14","4","12","2","0","0","0","0","0","14","0","0","0","0","0","0","0","2","10","10","0","0","1","0","1"
"9","M","Brady, Robbie - NOR","WW","@CHE Sat 3:00PM","336.01","336.01","1","1","90","0","0","3","3","1","0.3","0","1","3","3","0","33","0","0","0","0","0","0","0","0","0","50","34","68.0","16","9","3","6","5","1","0","1","2","0","1","1","4","3","0","0","0","6","6","0","1","0","0","0","0","0","33","0","0","0","0","0","0","0","1","6","6","0","1","0","0","0"
"10","M","Cazorla, Santiago - ARS","FA","@WBA Sat 3:00PM","333.41","333.41","1","1","90","0","0","4","2","1","0.5","0","0","1","1","0","11","0","0","0","0","0","0","0","0","0","82","75","91.5","27","1","0","1","1","0","0","0","3","0","1","0","0","0","0","0","0","1","3","0","0","0","0","0","0","0","12","0","0","0","0","0","0","0","1","0","11","0","1","0","0","0"
"11","D","Cresswell, Aaron - WHU","FA","@TOT Sun 4:00PM","332.91","332.91","1","1","90","0","0","1","0","0","0","0","0","2","2","0","15","1","1","0","0","0","0","0","0","0","66","60","90.9","13","7","2","5","0","2","0","0","1","0","2","2","1","1","0","0","0","7","8","3","2","0","0","0","0","0","15","0","0","0","0","0","0","0","2","10","10","0","0","1","0","1"
"12","M","Barkley, Ross - EVE","FA","AVL Sat 3:00PM","324.55","324.55","1","1","90","1","1","1","3","2","0.7","0","1","2","0","0","14","2","1","1","0","0","0","0","0","0","53","47","88.7","18","4","0","4","4","2","0","1","1","0","0","0","5","2","0","3","0","8","7","3","1","0","1","0","0","0","14","0","0","0","0","0","0","0","0","0","17","1","1","0","0","1"
"13","D","Nyom - WAT","WW","MUN Sat 12:45PM","322.93","322.93","1","1","90","0","0","0","1","1","1.0","0","0","2","1","0","20","1","0","1","0","0","0","0","0","0","56","52","92.9","16","9","1","8","0","1","0","0","1","0","1","0","5","1","0","1","0","3","6","0","0","0","0","0","0","0","21","0","0","0","0","0","0","0","0","6","6","1","0","0","1","3"
"14","M","Surman, Andrew - BOUR","FA","@SWA Sat 3:00PM","319.85","319.85","1","1","90","0","0","1","0","0","0","0","0","3","2","0","15","2","1","0","0","0","1","0","0","0","68","58","85.3","14","0","0","0","0","0","0","0","1","0","1","1","0","0","0","1","1","6","9","2","5","0","0","0","0","0","15","0","0","0","0","0","0","0","1","0","18","0","0","1","0","0"
"15","M","Yaya Touré - MCI","FA","LIV Sat 5:30PM","319.36","319.36","1","1","90","0","1","3","4","2","0.5","0","2","2","1","0","15","1","2","1","0","0","0","0","0","0","59","51","86.4","19","1","0","1","0","0","0","0","0","0","3","3","3","3","0","0","0","9","10","2","1","0","0","0","0","0","15","0","0","0","0","0","0","0","0","0","10","1","1","0","0","0"
"16","M","Silva, David - MCI","FA","LIV Sat 5:30PM","317.82","317.82","1","1","90","0","2","3","0","0","0","0","0","2","2","0","20","5","2","0","0","0","0","0","0","0","49","40","81.6","20","5","1","4","3","1","0","0","0","0","0","0","4","3","0","0","0","7","18","0","1","1","0","0","0","0","20","0","0","0","0","0","0","0","0","0","10","1","1","0","0","0"
"17","D","Daniels, Charlie - BOUR","FA","@SWA Sat 3:00PM","315.72","315.72","1","1","90","0","0","0","0","0","0","0","0","6","6","0","21","2","2","0","0","0","0","0","0","0","39","28","71.8","11","7","0","7","0","2","0","0","2","2","2","2","3","3","0","0","1","11","5","0","2","0","0","0","0","0","21","0","0","0","0","0","0","0","1","18","18","0","0","1","0","1"
"18","D","Jenkinson, Carl - WHU","FA","@TOT Sun 4:00PM","313.86","313.86","1","1","90","0","0","0","1","0","0.0","0","0","1","1","0","19","2","0","1","0","0","0","0","0","0","58","50","86.2","12","6","2","4","0","2","0","0","1","0","2","1","4","0","0","0","0","2","9","1","2","0","0","0","0","0","20","0","0","0","0","0","0","0","2","10","10","0","0","1","0","0"
"19","M","Özil, Mesut - ARS","FA","@WBA Sat 3:00PM","311.98","311.98","1","1","83","0","1","5","1","0","0.0","0","0","1","1","0","10","2","1","0","0","0","0","0","0","1","55","54","98.2","37","10","3","7","4","0","0","0","1","0","2","2","1","0","0","0","0","2","3","0","0","1","0","0","0","0","10","0","1","0","0","0","0","0","1","0","8","0","1","0","0","0"
"20","D","Pieters, Erik - STK","FA","@SOU Sat 3:00PM","311.81","311.81","1","1","90","0","0","1","0","0","0","0","0","5","4","0","17","2","5","0","0","0","0","0","0","0","48","39","81.3","11","7","2","5","0","1","0","0","2","0","2","2","2","1","0","1","1","12","4","1","0","0","0","0","0","0","17","0","0","0","0","0","0","0","2","13","13","0","0","0","1","1"
"21","D","Naughton, Kyle - SWA","FA","BOUR Sat 3:00PM","308.9","308.9","1","1","90","0","0","2","1","1","1.0","0","0","3","3","0","12","1","2","1","0","0","0","0","0","0","60","54","90.0","12","3","0","3","0","0","0","0","1","0","4","2","4","2","0","0","0","9","4","2","1","0","0","0","0","0","14","0","0","0","0","0","0","0","0","4","4","1","1","0","0","1"
"22","M","Matic, Nemanja - CHE","FA","NOR Sat 3:00PM","304.83","304.83","1","1","90","0","0","0","1","0","0.0","0","0","2","2","0","12","1","1","0","0","0","0","0","0","0","53","44","83.0","19","0","0","0","0","0","0","0","1","0","3","2","6","5","0","0","0","11","7","3","3","0","0","0","0","0","13","0","0","0","0","0","0","0","3","0","18","0","0","1","0","1"
"23","M","Puncheon, Jason - CRY","FA","SUN Mon 8:00PM","303.12","303.12","1","1","90","0","0","4","3","1","0.3","0","1","3","2","0","20","0","1","0","0","0","0","0","0","0","48","38","79.2","10","6","3","3","4","0","0","0","3","0","0","0","4","2","0","0","0","6","4","0","0","0","0","0","0","0","20","0","0","0","0","0","0","0","2","0","21","0","0","1","0","0"
"24","M","Anya, Ikechi - WAT","FA","MUN Sat 12:45PM","300.83","300.83","1","1","90","0","0","3","0","0","0","0","0","2","1","0","18","0","1","0","0","0","0","0","0","0","58","48","82.8","21","4","2","2","0","0","0","0","4","0","2","2","0","0","0","1","0","4","1","1","1","0","0","0","0","0","18","0","0","0","0","0","0","0","0","6","6","1","0","0","1","0"
"25","M","Hazard, Eden - CHE","FA","NOR Sat 3:00PM","299.92","299.92","1","1","90","0","0","2","1","1","1.0","0","0","0","0","0","9","1","3","1","0","0","0","0","0","0","53","49","92.5","33","1","1","0","0","0","0","0","0","0","0","0","3","2","0","0","0","7","5","2","1","0","0","0","0","0","9","0","0","0","0","0","0","0","3","0","18","0","0","1","0","0"
"26","M","Noble, Mark - WHU","FA","@TOT Sun 4:00PM","298.88","298.88","1","1","90","0","0","1","1","0","0.0","0","1","1","1","0","10","1","4","0","0","0","0","0","0","0","67","59","88.1","19","1","0","1","0","1","0","0","1","1","0","0","2","1","0","1","0","6","3","0","0","0","0","0","0","0","10","0","0","0","0","0","0","0","2","0","10","0","0","1","0","0"
"27","D","Souaré, Pape - CRY","FA","SUN Mon 8:00PM","298.69","298.69","1","1","90","0","0","0","0","0","0","0","0","1","1","0","20","2","1","0","0","0","0","0","0","0","39","27","69.2","7","5","1","4","0","1","0","0","2","1","8","3","2","1","0","0","1","4","4","1","0","0","0","0","0","0","25","0","0","0","0","0","0","0","2","21","21","0","0","1","0","3"
"28","M","Dembélé, Mousa - TOT","FA","WHU Sun 4:00PM","297.39","297.39","1","1","90","0","0","0","2","1","0.5","0","1","5","3","0","10","0","1","0","0","0","0","0","0","0","63","56","88.9","10","0","0","0","0","0","0","0","3","0","0","0","4","3","0","0","0","10","3","1","0","0","0","0","0","0","10","0","0","0","0","0","0","0","2","0","15","0","0","0","1","0"
"29","D","Koscielny, Laurent - ARS","FA","@WBA Sat 3:00PM","295.9","295.9","1","1","90","0","0","0","1","0","0.0","0","1","2","2","0","6","0","1","0","0","0","0","0","0","0","59","53","89.8","5","0","0","0","0","0","0","0","4","1","7","5","1","1","0","1","0","10","2","6","2","0","0","0","0","0","8","0","0","0","0","0","0","0","1","11","11","0","1","0","0","2"
