"Rk","Pos","Player","Sta","Opp (GMT)","FPts","FP/G","GP","GS","Min","G","A","ASh","Sh","SOG","SA","SOP","SB","Tk","TkW","TLM","PLC","FC","FS","YC","SYC","RC","HB","Pen","DP","Off","Pa","APa","Pc%","SFTP","Cr","ACr","CF","CK","CF","CC","FKS","Int","IntB","ClA","ClS","CoA","CoS","CSLM","BCr","BS","DW","DL","AW","AL","BCC","BCM","BCS","FKG","FKM","PL","SubOn","SubOff","PKG","PKA","PKM","PKD","GON","GA","ShA","ShA","CS","W","L","T","CIB"
"1","M","Özil, Mesut - ARS","FA","@NOR Sun 4:15PM","440.83","440.83","1","1","90","0","0","3","1","0","0.0","0","0","2","1","0","29","0","2","0","0","0","0","0","0","0","90","75","83.3","50","9","4","5","5","1","0","0","1","0","0","0","5","3","0","0","0","7","7","0","2","0","0","0","0","0","29","0","0","0","0","0","0","0","0","0","15","1","0","0","1","0"
"2","M","Mata, Juan - MUN","FA","@LEIC Sat 5:30PM","400.3","400.3","1","1","90","0","0","5","5","2","0.4","0","1","3","2","0","17","0","0","0","0","0","0","0","0","0","87","78","89.7","40","6","1","5","3","2","0","1","0","0","2","2","5","3","0","0","0","6","5","0","0","0","0","0","0","0","17","0","0","0","0","0","0","0","0","0","7","1","0","0","1","0"
"3","M","Cazorla, Santiago - ARS","FA","@NOR Sun 4:15PM","395.91","395.91","1","1","90","0","0","3","2","0","0.0","0","0","2","2","0","17","0","0","0","0","0","0","0","0","0","96","87","90.6","36","4","0","4","2","0","0","0","4","0","0","0","0","0","0","0","0","2","6","0","2","0","0","0","0","0","17","0","0","0","0","0","0","0","0","0","15","1","0","0","1","0"
"4","D","Monreal, Nacho - ARS","FA","@NOR Sun 4:15PM","385.89","385.89","1","1","90","0","0","2","0","0","0","0","0","2","2","0","14","0","1","0","0","0","0","0","0","0","82","73","89.0","33","5","2","3","0","1","0","0","1","0","3","3","1","1","0","0","1","6","3","2","2","0","0","0","0","0","14","0","0","0","0","0","0","0","0","15","15","1","0","0","1","1"
"5","F","Sánchez, Alexis - ARS","FA","@NOR Sun 4:15PM","376.86","376.86","1","1","90","0","0","3","3","0","0.0","1","1","2","2","0","22","0","3","0","0","0","0","0","0","2","70","60","85.7","36","1","0","1","0","1","0","0","3","0","0","0","6","3","0","0","0","10","11","2","1","0","1","0","0","0","22","0","0","0","0","0","0","0","0","0","15","1","0","0","1","0"
"6","F","Depay, Memphis - MUN","FA","@LEIC Sat 5:30PM","364.27","364.27","1","1","90","0","0","1","4","2","0.5","0","2","1","1","0","35","2","1","0","0","0","0","0","0","1","44","34","77.3","18","16","3","13","8","2","0","1","1","0","0","0","9","7","0","0","0","9","11","0","1","0","0","0","0","0","35","0","0","0","0","0","0","0","0","0","7","1","0","0","1","0"
"7","M","Silva, David - MCI","FA","SOU Sat 3:00PM","363.18","363.18","1","1","89","0","0","3","3","1","0.3","1","1","2","1","0","20","0","2","0","0","0","0","0","0","0","74","63","85.1","38","6","1","5","4","1","0","0","1","0","0","0","1","0","0","0","0","4","4","0","1","1","0","0","0","0","20","0","1","0","0","0","0","0","0","0","9","1","1","0","0","1"
"8","M","Ramsey, Aaron - ARS","FA","@NOR Sun 4:15PM","353.5","353.5","1","1","90","0","0","1","3","2","0.7","0","1","4","4","0","20","0","3","0","0","0","0","0","0","2","67","56","83.6","33","1","0","1","0","1","0","0","1","0","0","0","3","2","0","0","1","9","6","0","1","1","0","0","0","0","20","0","0","0","0","0","0","0","0","0","15","1","0","0","1","0"
"9","M","Fàbregas, Cesc - CHE","FA","@TOT Sun 12:00PM","343.78","343.78","1","1","90","0","0","1","0","0","0","0","0","2","2","0","20","1","0","0","0","0","0","0","0","0","79","62","78.5","27","1","0","1","1","1","0","0","0","0","1","1","1","0","0","0","1","3","6","1","0","0","0","0","0","0","20","0","0","0","0","0","0","0","2","0","15","0","1","0","0","1"
"10","M","Hazard, Eden - CHE","FA","@TOT Sun 12:00PM","338.94","338.94","1","1","90","0","1","5","1","0","0.0","0","0","0","0","0","13","1","3","0","0","0","0","0","0","0","68","64","94.1","26","3","0","3","2","2","0","0","0","0","0","0","5","4","0","0","0","7","6","0","1","0","0","0","0","0","13","0","0","0","0","0","0","0","2","0","15","0","1","0","0","0"
