"Rk","Pos","Player","Sta","Opp (GMT)","FPts","FP/G","GP","GS","Min","W","L","T","CS","ShA","ShA","GA","GAIB","GAOB","Sv","Sv%","SvIB","SvOB","YC","SYC","RC","RCR","FC","FC/G","FS","FS/G","Pen","DP","PKGA","PKS","PKF","PKD","SubOn","SubOff","G","A","ASh","ABS","AFKG","AHW","AOG","APL","APKG","ASOP","Pa","APa","SFTP","Int","IntB","ClA","ClS","OO","DW","DL","AW","AL","HCA","HCS","Sm","Pu","GON"
"1","G","Ruddy, John - NOR","FA","@CHE Sat 3:00PM","219.62","219.62","1","1","90","0","1","0","0","23","8","3","3","0","5","62.5","4","1","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","40","21","4","0","0","0","0","0","1","0","1","0","6","6","0","0","0"
"2","G","Pantilimon, Costel - SUN","FA","@CRY Mon 8:00PM","207.67","207.67","1","1","90","0","0","1","0","21","6","2","2","0","4","66.7","2","2","1","0","0","0","0","0.0","0","0.0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","42","19","2","0","0","1","1","0","2","0","2","0","1","1","0","1","0"
"3","G","Krul, Tim - NEW","FA","LEIC Sat 3:00PM","204.9","204.9","1","1","90","0","1","0","0","23","10","1","1","0","9","90.0","6","3","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","28","18","3","0","0","3","1","0","1","0","1","0","1","1","0","1","0"
"4","G","McCarthy, Alex - CRY","WW","SUN Mon 8:00PM","199.88","199.88","1","1","90","1","0","0","0","26","8","1","1","0","7","87.5","4","3","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","35","10","2","0","0","1","1","0","0","0","0","0","3","3","0","1","0"
"5","G","Butland, Jack - STK","FA","@SOU Sat 3:00PM","191.8","191.8","1","1","90","0","1","0","0","15","5","1","1","0","4","80.0","1","3","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","39","26","0","0","0","0","0","0","1","0","0","0","1","1","0","0","0"
"6","G","Howard, Tim - EVE","FA","AVL Sat 3:00PM","188","188","1","1","90","0","0","1","1","20","6","0","0","0","6","100.0","5","1","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","31","20","1","0","0","0","0","0","0","0","0","0","1","1","1","0","0"
"7","G","Fabianski, Lukasz - SWA","FA","BOUR Sat 3:00PM","182.75","182.75","1","1","90","1","0","0","0","11","4","1","1","0","3","75.0","2","1","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","42","15","1","0","0","1","1","0","0","0","0","0","3","3","0","0","0"
"8","G","Romero, Sergio - MUN","WW","@WAT Sat 12:45PM","167.5","167.5","1","1","90","0","1","0","0","9","4","2","2","0","2","50.0","0","2","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","32","16","1","0","0","0","0","0","0","0","0","0","2","2","0","0","0"
"9","G","Courtois, Thibaut - CHE","FA","NOR Sat 3:00PM","165.6","165.6","1","1","90","0","1","0","0","13","5","2","2","0","4","66.7","3","1","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22","14","0","0","0","2","1","0","0","0","0","0","1","1","0","1","0"
"10","G","Gomes, Heurelho - WAT","FA","MUN Sat 12:45PM","164.6","164.6","1","1","90","0","1","0","0","18","5","2","2","0","3","60.0","2","1","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21","10","0","0","0","3","3","0","0","0","0","0","0","0","0","1","0"
"11","G","Mignolet, Simon - LIV","FA","@MCI Sat 5:30PM","159.4","159.4","1","1","90","0","1","0","0","12","5","3","3","0","2","40.0","1","1","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","17","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0"
