"Rk","Pos","Player","Sta","Opp (GMT)","FPts","FP/G","G/90M","G/G","A/G","A/90M","ABS","AFKG","AHW","AOG","APL","APKG","AR","ASOP","Pts","Pt/G","Pt/90M","Sh/G","Sh/90M","ShG/G","ShG/90M","FC/G","FS/G","RCR","DPt","6S","Off/G","Off/90M","HT","GAD","GAF","GAM","CSD","CSF","CSM"
"1","M","Guédioura, Adlène - WAT","WW","@SUN Sat 3:00PM","93","93","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","1.0","90.0","0.0","0.0","1.0","0.0","0","1","0","0.0","0.0","0","0","0","0","0","0","0"
"2","F","Ighalo, Odion - WAT","FA","@SUN Sat 3:00PM","46.2","46.2","1.0","1.0","0.0","0.0","0","0","0","0","0","1","0","0","1","1.0","1.0","7.0","7.1","6.0","6.1","1.0","2.0","0","4","0","3.0","3.0","0","0","0","0","0","1","0"
"3","F","Murray, Glenn - BOUR","FA","MUN Sat 5:30PM","43","43","9.0","1.0","0.0","0.0","0","0","0","0","0","0","0","0","1","1.0","9.0","1.0","9.0","1.0","9.0","1.0","0.0","0","1","0","0.0","0.0","0","0","0","0","0","0","0"
"4","M","Mahrez, Riyad - LEIC","FA","CHE Mon 8:00PM","42.18","42.18","3.0","3.0","0.0","0.0","0","0","0","0","0","0","0","0","3","3.0","3.0","5.0","5.1","4.0","4.0","2.0","1.0","0","2","0","1.0","1.0","1","0","0","0","0","0","1"
"5","M","Ramsey, Aaron - ARS","FA","@AVL Sun 1:30PM","35","35","1.0","1.0","1.0","1.0","0","0","0","0","0","0","0","0","2","2.0","2.0","7.0","7.0","3.0","3.0","1.0","0.0","0","1","0","1.0","1.0","0","0","0","1","0","0","0"
"6","F","Arnautovic, Marko - STK","FA","@WHU Sat 3:00PM","31","31","2.0","2.0","0.0","0.0","0","0","0","0","0","0","0","0","2","2.0","2.0","5.0","5.0","2.0","2.0","1.0","0.0","0","1","0","2.0","2.0","0","0","0","0","0","0","1"
"7","D","Chambers, Calum - ARS","FA","@AVL Sun 1:30PM","31","31","0.0","0.0","0.0","0.0","1","0","0","0","0","0","0","0","0","0.0","0.0","2.0","18.0","1.0","9.0","0.0","0.0","0","0","0","0.0","0.0","0","0","0","0","0","0","0"
"8","M","King, Andy - LEIC","FA","CHE Mon 8:00PM","31","31","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","1.0","30.0","0.0","0.0","0.0","0.0","0","0","0","0.0","0.0","0","0","0","0","0","0","0"
"9","F","Deeney, Troy - WAT","FA","@SUN Sat 3:00PM","29","29","1.0","1.0","1.0","1.0","0","0","0","0","0","0","0","0","2","2.0","2.0","2.0","2.0","1.0","1.0","3.0","1.0","0","6","0","1.0","1.0","0","0","0","0","0","1","0"
"10","F","Long, Shane - SOU","FA","@CRY Sat 3:00PM","27.71","27.71","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","2.0","25.7","0.0","0.0","0.0","0.0","0","0","0","0.0","0.0","0","0","0","0","0","0","0"
"11","F","Pedro - CHE","WW","@LEIC Mon 8:00PM","25","25","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","5.0","5.0","2.0","2.0","2.0","3.0","0","5","0","0.0","0.0","0","0","0","1","0","0","0"
"12","M","McClean, James - WBA","FA","@LIV Sun 4:00PM","24","24","1.0","1.0","0.0","0.0","0","0","0","0","0","0","0","0","1","1.0","1.0","2.0","2.0","2.0","2.0","3.0","1.0","0","6","0","0.0","0.0","0","0","0","1","0","0","0"
"13","F","King, Joshua - BOUR","FA","MUN Sat 5:30PM","22.88","22.88","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","4.0","4.5","2.0","2.3","3.0","1.0","0","3","0","1.0","1.1","0","0","0","0","0","1","0"
"14","M","Oriol Romeu - SOU","WW","@CRY Sat 3:00PM","22.67","22.67","3.3","1.0","0.0","0.0","0","0","0","0","0","0","0","0","1","1.0","3.3","2.0","6.7","1.0","3.3","0.0","0.0","0","0","0","0.0","0.0","0","0","0","0","0","0","0"
"15","F","Zárate, Mauro - WHU","FA","STK Sat 3:00PM","22.11","22.11","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","4.0","4.1","1.0","1.0","4.0","3.0","0","4","0","0.0","0.0","0","0","0","0","0","0","1"
"16","M","Wijnaldum, Georginio - NEW","FA","@TOT Sun 4:00PM","21","21","1.0","1.0","0.0","0.0","0","0","0","0","1","0","0","0","1","1.0","1.0","5.0","5.0","1.0","1.0","0.0","2.0","0","0","0","0.0","0.0","0","0","0","0","0","0","1"
"17","M","Shaqiri, Xherdan - STK","WW","@WHU Sat 3:00PM","20.01","20.01","0.0","0.0","2.0","2.3","0","0","0","0","0","0","0","0","2","2.0","2.3","1.0","1.2","1.0","1.2","1.0","2.0","0","1","0","0.0","0.0","0","0","0","0","0","0","1"
"18","F","Juanmi - SOU","FA","@CRY Sat 3:00PM","19.33","19.33","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","3.0","10.0","1.0","3.3","0.0","2.0","0","0","0","0.0","0.0","0","0","0","0","0","0","0"
"19","M","Brady, Robbie - NOR","WW","EVE Sat 12:45PM","19","19","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","3.0","3.0","0.0","0.0","3.0","2.0","0","6","0","0.0","0.0","0","0","0","2","0","0","0"
"20","F","Wickham, Connor - CRY","FA","SOU Sat 3:00PM","18.68","18.68","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","2.0","2.3","2.0","2.3","3.0","1.0","0","6","0","0.0","0.0","0","0","0","0","0","0","0"
"21","F","Vardy, Jamie - LEIC","FA","CHE Mon 8:00PM","18","18","0.0","0.0","1.0","1.0","0","0","0","0","0","0","0","0","1","1.0","1.0","3.0","3.0","1.0","1.0","1.0","0.0","0","1","0","1.0","1.0","0","0","0","0","0","1","0"
"22","M","Dele Alli - TOT","FA","NEW Sun 4:00PM","17.62","17.62","1.1","1.0","0.0","0.0","0","0","0","0","0","0","0","0","1","1.0","1.1","2.0","2.3","1.0","1.1","1.0","3.0","0","1","0","0.0","0.0","0","0","0","1","0","0","0"
"23","M","Dembélé, Mousa - TOT","FA","NEW Sun 4:00PM","17","17","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","2.0","2.0","1.0","1.0","3.0","1.0","0","6","0","0.0","0.0","0","0","0","1","0","0","0"
"24","F","Lukaku, Romelu - EVE","FA","@NOR Sat 12:45PM","17","17","1.0","1.0","0.0","0.0","0","0","0","0","0","0","0","0","1","1.0","1.0","4.0","4.0","1.0","1.0","0.0","1.0","0","0","0","0.0","0.0","0","0","1","0","0","0","0"
"25","F","Rondón, Salomón - WBA","WW","@LIV Sun 4:00PM","17","17","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","5.0","5.0","1.0","1.0","1.0","0.0","0","1","0","1.0","1.0","0","0","1","0","0","0","0"
"26","M","Ward-Prowse, James - SOU","FA","@CRY Sat 3:00PM","17","17","0.0","0.0","1.0","1.0","0","0","0","0","0","0","0","0","1","1.0","1.0","2.0","2.0","1.0","1.0","1.0","0.0","0","4","0","0.0","0.0","0","0","0","1","0","0","0"
"27","F","Giroud, Olivier - ARS","FA","@AVL Sun 1:30PM","16.75","16.75","1.1","1.0","0.0","0.0","0","0","0","0","0","0","0","0","1","1.0","1.1","2.0","2.3","2.0","2.3","1.0","0.0","0","1","0","0.0","0.0","0","0","1","0","0","0","0"
"28","M","Bolasie, Yannick - CRY","FA","SOU Sat 3:00PM","16","16","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","3.0","3.0","1.0","1.0","0.0","1.0","0","0","0","3.0","3.0","0","0","1","0","0","0","0"
"29","M","Fellaini, Marouane - MUN","FA","@BOUR Sat 5:30PM","16","16","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","4.0","4.0","1.0","1.0","2.0","1.0","0","2","0","0.0","0.0","0","0","0","0","0","0","1"
"30","F","Kane, Harry - TOT","FA","NEW Sun 4:00PM","16","16","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","3.0","3.0","0.0","0.0","2.0","2.0","0","5","0","0.0","0.0","0","0","1","0","0","0","0"
"31","F","Pellè, Graziano - SOU","FA","@CRY Sat 3:00PM","16","16","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","3.0","3.0","1.0","1.0","1.0","1.0","0","1","0","2.0","2.0","0","0","1","0","0","0","0"
"32","M","Albrighton, Marc - LEIC","FA","CHE Mon 8:00PM","15","15","0.0","0.0","1.0","1.0","0","0","0","0","0","0","0","0","1","1.0","1.0","2.0","2.0","0.0","0.0","1.0","0.0","0","4","0","0.0","0.0","0","0","0","0","0","0","1"
"33","M","M'Vila, Yann - SUN","WW","WAT Sat 3:00PM","15","15","0.0","0.0","0.0","0.0","0","0","0","0","1","0","0","0","0","0.0","0.0","2.0","2.0","0.0","0.0","3.0","1.0","0","3","0","0.0","0.0","0","0","0","3","0","0","0"
