"Rk","Pos","Player","Sta","Opp (GMT)","FPts","FP/G","GP","GS","Min","G","A","ASh","Sh","SOG","SA","SOP","SB","Tk","TkW","TLM","PLC","FC","FS","YC","SYC","RC","HB","Pen","DP","Off","Pa","APa","Pc%","SFTP","Cr","ACr","CF","CK","CF","CC","FKS","Int","IntB","ClA","ClS","CoA","CoS","CSLM","BCr","BS","DW","DL","AW","AL","BCC","BCM","BCS","FKG","FKM","PL","SubOn","SubOff","PKG","PKA","PKM","PKD","GON","GA","ShA","ShA","CS","W","L","T","CIB"
"1","M","Cazorla, Santiago - ARS","FA","@NOR Sun 4:15PM","446.89","446.89","1","1","90","0","0","1","2","0","0.0","0","0","0","0","0","18","1","1","0","0","0","0","0","0","0","127","113","89.0","38","1","0","1","1","0","0","0","2","0","2","2","4","3","0","0","0","4","3","0","0","1","1","0","0","0","18","0","0","0","1","1","0","0","2","0","5","0","0","1","0","0"
"2","M","Fàbregas, Cesc - CHE","FA","@TOT Sun 12:00PM","424.56","424.56","1","1","90","0","1","1","3","2","0.7","0","0","4","4","0","15","0","0","0","0","0","0","0","0","0","111","99","89.2","52","1","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","6","5","2","1","1","0","0","0","0","15","0","0","0","0","0","0","0","0","0","4","1","1","0","0","0"
"3","M","Hazard, Eden - CHE","FA","@TOT Sun 12:00PM","381.89","381.89","1","1","89","0","0","5","1","0","0.0","0","1","1","0","0","18","0","3","0","0","0","0","0","0","2","72","64","88.9","54","1","0","1","0","0","0","0","1","0","0","0","11","9","0","0","0","14","6","1","0","0","0","0","0","0","18","0","1","0","0","0","0","0","0","0","4","1","1","0","0","0"
"4","M,F","De Bruyne, Kevin - MCI","WW","SOU Sat 3:00PM","381.77","381.77","1","1","90","0","0","4","0","0","0","0","0","1","1","0","35","0","1","0","0","0","0","0","0","0","56","43","76.8","27","15","1","14","5","7","0","0","0","0","0","0","3","1","0","0","0","5","9","2","3","1","0","0","0","0","35","0","0","0","0","0","0","0","4","0","15","0","0","1","0","0"
"5","F","Sánchez, Alexis - ARS","FA","@NOR Sun 4:15PM","377.23","377.23","1","1","90","0","0","3","2","1","0.5","0","0","2","2","0","31","1","5","0","0","0","1","0","0","0","63","46","73.0","29","2","0","2","0","3","0","1","2","0","0","0","14","11","0","0","0","18","5","0","0","0","0","0","0","0","31","0","0","0","0","0","1","0","2","0","5","0","0","1","0","0"
"6","M","Özil, Mesut - ARS","FA","@NOR Sun 4:15PM","373.92","373.92","1","1","90","0","1","2","1","0","0.0","1","0","1","1","0","16","0","1","0","0","0","0","0","0","0","86","79","91.9","37","7","1","6","4","0","0","0","0","0","2","2","2","1","0","0","0","3","2","0","0","1","0","0","0","0","16","0","0","0","0","0","0","0","2","0","5","0","0","1","0","0"
"7","M","Barry, Gareth - EVE","FA","@BOUR Sat 3:00PM","367.84","367.84","1","1","90","0","0","0","0","0","0","0","0","4","2","0","17","2","2","0","0","0","0","0","0","0","101","85","84.2","17","0","0","0","0","0","0","0","2","0","1","1","1","1","0","0","0","7","3","0","0","0","0","0","0","0","17","0","0","0","0","0","0","0","0","0","10","1","1","0","0","0"
"8","D","Francis, Simon - BOUR","FA","EVE Sat 3:00PM","360.72","360.72","1","1","90","0","0","1","1","0","0.0","0","0","4","2","0","28","5","1","0","0","0","0","1","0","0","65","47","72.3","11","8","1","7","0","0","0","0","4","0","0","0","3","3","0","0","1","9","11","1","4","0","0","0","0","0","28","0","0","0","0","0","0","0","2","11","11","0","0","0","1","0"
"9","D","Kolarov, Aleksandar - MCI","FA","SOU Sat 3:00PM","360.69","360.69","1","1","90","0","1","2","0","0","0","0","0","1","1","0","31","0","1","0","0","0","0","0","0","0","52","36","69.2","13","13","2","11","6","3","0","0","1","0","3","3","4","2","0","0","0","8","6","4","2","0","0","0","0","0","31","0","0","0","0","0","0","0","4","15","15","0","0","1","0","2"
"10","M","Wanyama, Victor - SOU","FA","@MCI Sat 3:00PM","352.81","352.81","1","1","90","0","0","3","3","0","0.0","0","0","3","2","0","16","2","3","0","0","0","0","0","0","0","80","65","81.3","20","0","0","0","0","0","0","0","1","0","0","0","3","3","0","0","0","9","8","0","5","0","0","0","0","0","16","0","0","0","0","0","0","0","1","0","16","0","0","1","0","0"
