"Rk","Pos","Player","Sta","Opp (GMT)","FPts","FP/G","GP","GS","Min","G","A","ASh","Sh","SOG","SA","SOP","SB","Tk","TkW","TLM","PLC","FC","FS","YC","SYC","RC","HB","Pen","DP","Off","Pa","APa","Pc%","SFTP","Cr","ACr","CF","CK","CF","CC","FKS","Int","IntB","ClA","ClS","CoA","CoS","CSLM","BCr","BS","DW","DL","AW","AL","BCC","BCM","BCS","FKG","FKM","PL","SubOn","SubOff","PKG","PKA","PKM","PKD","GON","GA","ShA","ShA","CS","W","L","T","CIB"
"1","M","Fernandinho - MCI","FA","SOU Sat 3:00PM","401.43","401.43","1","1","90","0","0","0","2","1","0.5","0","1","5","3","0","10","1","1","0","0","0","0","0","0","0","101","94","93.1","36","0","0","0","0","0","0","0","2","0","2","2","1","0","0","0","0","9","11","3","4","0","0","0","0","0","10","0","0","0","0","0","0","0","2","0","6","0","0","1","0","0"
"2","M,F","De Bruyne, Kevin - MCI","WW","SOU Sat 3:00PM","399.06","399.06","1","1","90","1","0","4","4","1","0.3","0","2","1","1","0","27","1","0","0","0","0","0","0","0","0","70","57","81.4","42","10","3","7","6","3","0","0","2","0","1","1","4","3","0","0","0","6","7","2","0","0","0","0","0","0","27","0","0","0","0","0","0","0","2","0","6","0","0","1","0","0"
"3","M","Fàbregas, Cesc - CHE","FA","@TOT Sun 12:00PM","387.2","387.2","1","1","89","0","1","3","3","1","0.3","0","2","3","2","0","16","3","2","0","0","0","0","0","0","0","87","75","86.2","37","3","1","2","3","0","0","0","1","0","0","0","1","0","0","0","0","6","10","1","2","2","0","0","0","0","16","0","1","0","0","0","0","0","0","0","9","1","1","0","0","0"
"4","M","Yaya Touré - MCI","FA","SOU Sat 3:00PM","387.06","387.06","1","1","90","0","0","3","7","2","0.3","0","3","2","1","0","25","4","1","0","0","0","0","0","0","0","77","60","77.9","23","3","2","1","0","1","0","0","0","0","2","2","9","6","0","0","0","10","11","1","2","0","2","0","0","0","25","0","0","0","0","0","0","0","2","0","6","0","0","1","0","0"
"5","M","Navas, Jesús - MCI","FA","SOU Sat 3:00PM","375.97","375.97","1","1","90","0","0","5","1","1","1.0","0","0","0","0","0","23","0","1","0","0","0","0","0","0","0","61","59","96.7","34","20","2","18","9","5","0","0","0","0","0","0","3","3","0","0","0","4","1","0","0","0","0","0","0","0","23","0","0","0","0","0","0","0","2","0","6","0","0","1","0","0"
"6","M","Hazard, Eden - CHE","FA","@TOT Sun 12:00PM","363.16","363.16","1","1","90","0","0","5","4","1","0.3","0","1","0","0","0","11","1","4","0","0","0","0","0","0","0","70","64","91.4","46","1","0","1","0","2","0","1","2","0","0","0","9","8","0","0","0","12","4","0","1","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","9","1","1","0","0","0"
"7","D","Naughton, Kyle - SWA","FA","@LIV Sun 4:15PM","362.72","362.72","1","1","90","0","0","2","0","0","0","0","0","3","2","0","28","1","2","0","0","0","0","0","0","0","71","51","71.8","10","3","1","2","0","0","0","0","2","1","3","2","0","0","0","0","0","7","7","2","2","0","0","0","0","0","29","0","0","0","0","0","0","0","0","17","17","1","0","0","1","0"
"8","M","Thauvin, Florian - NEW","WW","@CRY Sat 3:00PM","355.98","355.98","1","1","88","0","0","3","4","1","0.3","0","1","1","1","0","33","0","4","0","0","0","0","0","0","0","52","38","73.1","17","12","1","11","5","1","0","0","1","0","0","0","6","3","0","0","0","8","9","0","3","1","0","0","0","0","33","0","1","0","0","0","0","0","2","0","12","0","0","1","0","0"
"9","M","Milner, James - LIV","FA","SWA Sun 4:15PM","353.23","353.23","1","1","90","0","0","2","2","1","0.5","0","1","3","3","0","34","1","0","1","0","0","0","0","0","0","60","44","73.3","17","9","1","8","5","1","0","0","0","0","0","0","1","0","0","0","0","5","13","2","2","0","0","0","0","0","34","0","0","0","0","0","0","0","1","0","7","0","0","0","1","1"
"10","M","Drinkwater, Daniel - LEIC","FA","MUN Sat 5:30PM","344.75","344.75","1","1","90","0","0","2","2","0","0.0","0","1","1","1","0","22","4","2","1","0","0","0","0","0","0","71","53","74.6","23","1","0","1","0","1","0","0","4","0","2","2","0","0","0","0","0","8","8","5","0","0","0","0","0","0","22","0","0","0","0","0","1","0","2","0","11","0","0","0","1","0"
"11","D","Sagna, Bacary - MCI","FA","SOU Sat 3:00PM","339.93","339.93","1","1","90","0","0","3","0","0","0","0","0","3","3","0","10","0","0","0","0","0","0","0","0","0","70","65","92.9","30","8","3","5","0","2","0","0","1","0","3","3","0","0","0","0","0","7","2","4","2","1","0","0","0","0","10","0","0","0","0","0","0","0","2","6","6","0","0","1","0","0"
"12","D","Azpilicueta, César - CHE","FA","@TOT Sun 12:00PM","339.87","339.87","1","1","90","0","0","1","0","0","0","0","0","5","4","0","13","1","0","0","0","0","0","0","0","0","76","66","86.8","25","2","0","2","0","1","0","0","1","0","1","1","0","0","0","1","0","6","3","1","1","0","0","0","0","0","13","0","0","0","0","0","0","0","0","9","9","1","1","0","0","0"
"13","M","Can, Emre - LIV","FA","SWA Sun 4:15PM","336.83","336.83","1","1","90","0","0","0","1","0","0.0","0","0","1","1","0","17","0","2","0","0","0","0","0","0","0","83","69","83.1","18","0","0","0","0","0","0","0","2","0","4","3","0","0","0","0","0","3","3","2","1","0","0","0","0","0","18","0","0","0","0","0","0","0","1","7","7","0","0","0","1","0"
"14","D","Otamendi, Nicolás - MCI","WW","SOU Sat 3:00PM","330.47","330.47","1","1","90","0","0","0","4","2","0.5","0","1","3","2","0","2","2","1","0","0","0","0","0","0","0","78","76","97.4","11","0","0","0","0","2","0","0","3","0","6","6","0","0","0","1","0","9","6","5","2","0","0","0","0","0","2","0","0","0","0","0","0","0","2","6","6","0","0","1","0","1"
"15","M","Brady, Robbie - NOR","WW","ARS Sun 4:15PM","329.63","329.63","1","1","90","0","0","0","1","0","0.0","0","0","5","5","0","25","2","1","0","0","0","0","0","0","0","43","27","62.8","10","3","0","3","1","1","0","0","1","0","6","5","5","3","0","0","1","9","6","0","0","0","0","0","0","0","26","0","0","0","0","0","0","0","1","23","23","0","0","0","1","0"
"16","D","Mbemba, Chancel - NEW","WW","@CRY Sat 3:00PM","328.81","328.81","1","1","90","0","0","0","1","0","0.0","0","1","4","4","1","15","0","0","0","0","0","0","0","0","0","68","55","80.9","7","0","0","0","0","1","1","0","5","1","2","2","2","2","0","0","1","11","4","5","2","0","0","0","0","0","15","0","0","0","0","0","0","0","2","13","13","0","0","1","0","0"
"17","D","Janmaat, Daryl - NEW","FA","@CRY Sat 3:00PM","324.89","324.89","1","1","90","1","0","1","2","2","1.0","0","0","0","0","0","20","0","0","0","0","0","0","0","0","1","54","48","88.9","17","12","3","9","0","2","1","0","0","0","1","0","0","0","0","2","0","0","3","0","0","0","0","0","0","0","21","0","0","0","0","0","0","0","2","13","13","0","0","1","0","0"
"18","M","Matic, Nemanja - CHE","FA","@TOT Sun 12:00PM","322.93","322.93","1","1","90","0","0","3","2","0","0.0","0","2","4","4","0","8","1","0","0","0","0","0","0","0","0","81","75","92.6","12","0","0","0","0","0","0","0","2","0","3","3","0","0","0","0","0","5","5","1","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","0","9","1","1","0","0","0"
"19","D","Pieters, Erik - STK","FA","@SUN Sat 3:00PM","320.65","320.65","1","1","90","0","0","0","0","0","0","0","0","11","9","0","24","2","3","0","0","0","0","0","0","0","48","31","64.6","3","1","0","1","0","0","0","0","2","0","1","1","3","2","0","0","0","23","7","7","1","0","0","0","0","0","24","0","0","0","0","0","0","0","2","12","12","0","0","0","1","0"
"20","F","Pedro - CHE","WW","@TOT Sun 12:00PM","316.32","316.32","1","1","90","0","0","3","5","2","0.4","0","0","2","2","0","11","1","1","0","0","0","1","0","0","0","61","56","91.8","28","3","0","3","2","0","0","0","1","0","0","0","3","3","0","0","0","7","4","1","0","0","1","0","0","0","11","0","0","0","0","0","0","0","0","0","9","1","1","0","0","0"
"21","M","Barkley, Ross - EVE","FA","@BOUR Sat 3:00PM","311.94","311.94","1","1","89","0","0","6","2","0","0.0","0","2","1","1","0","13","1","3","0","0","0","0","0","0","0","49","46","93.9","26","7","1","6","3","1","0","0","0","0","0","0","5","3","0","0","1","8","4","1","0","2","0","0","0","0","13","0","1","0","0","0","0","0","0","0","12","1","0","0","1","0"
"22","M","Sissoko, Moussa - NEW","FA","@CRY Sat 3:00PM","311.82","311.82","1","1","90","0","1","4","1","0","0.0","0","0","0","0","0","19","2","0","0","0","0","0","0","0","1","51","42","82.4","22","5","0","5","0","1","0","0","0","0","1","1","5","4","0","0","0","5","10","1","3","0","0","0","0","0","19","0","0","0","0","0","0","0","2","0","13","0","0","1","0","0"
"23","M","Howson, Jonny - NOR","FA","ARS Sun 4:15PM","311.75","311.75","1","1","90","0","0","1","0","0","0","0","0","1","1","0","17","0","0","0","0","0","0","0","0","0","61","46","75.4","18","0","0","0","0","0","0","0","2","0","1","0","6","4","0","0","0","8","4","3","2","0","0","0","0","0","18","0","0","0","0","0","0","0","1","0","23","0","0","0","1","1"
"24","D","Daniels, Charlie - BOUR","FA","EVE Sat 3:00PM","309.84","309.84","1","1","90","0","0","4","0","0","0","0","0","6","5","0","16","2","2","0","0","0","0","0","0","0","45","38","84.4","18","8","2","6","4","1","1","0","1","0","1","1","1","1","0","1","0","10","3","1","0","0","0","0","0","0","16","0","0","0","0","0","0","0","0","9","9","1","1","0","0","0"
"25","M","Colback, Jack - NEW","FA","@CRY Sat 3:00PM","307.85","307.85","1","1","90","0","0","0","0","0","0","0","0","7","6","0","13","1","3","1","0","0","0","0","0","0","62","53","85.5","12","2","0","2","0","0","1","0","7","1","0","0","0","0","0","0","0","11","2","2","0","0","0","0","0","0","13","0","0","0","0","0","0","0","2","0","13","0","0","1","0","0"
"26","D","Amavi, Jordan - AVL","WW","WAT Sat 3:00PM","305.76","305.76","1","1","90","0","0","1","1","1","1.0","0","0","7","5","0","17","3","0","1","0","0","0","0","0","0","33","25","75.8","7","3","0","3","0","1","1","0","6","2","6","4","8","3","0","0","0","14","13","4","3","0","0","0","0","0","19","0","0","0","0","0","0","0","1","10","10","0","0","1","0","0"
"27","M","Cazorla, Santiago - ARS","FA","@NOR Sun 4:15PM","304.84","304.84","1","1","79","0","0","0","0","0","0","0","0","5","3","0","17","2","2","0","1","1","0","0","0","0","55","46","83.6","12","6","0","6","4","0","0","0","2","0","1","1","3","3","0","0","1","10","7","0","0","0","0","0","0","0","17","0","0","0","0","0","0","0","1","0","16","0","0","1","0","0"
"28","M","Dele Alli - TOT","FA","CHE Sun 12:00PM","304.05","304.05","1","1","90","0","0","2","4","1","0.3","0","2","5","3","0","17","1","2","0","0","0","0","0","0","0","50","40","80.0","16","1","0","1","0","0","0","0","5","1","3","2","3","1","0","0","1","8","9","1","0","0","0","0","0","0","18","0","0","0","0","0","0","0","0","0","12","1","1","0","0","0"
"29","D","Francis, Simon - BOUR","FA","EVE Sat 3:00PM","303.76","303.76","1","1","90","0","0","2","0","0","0","0","0","6","5","0","18","1","1","0","0","0","0","0","0","0","51","39","76.5","5","4","2","2","1","0","1","0","4","0","0","0","4","2","0","0","0","9","9","0","4","0","0","0","0","0","18","0","0","0","0","0","0","0","0","9","9","1","1","0","0","0"
"30","D","Sakho, Mamadou - LIV","FA","SWA Sun 4:15PM","301.84","301.84","1","1","90","0","0","1","0","0","0","0","0","3","2","0","11","0","0","0","0","0","0","0","0","0","68","57","83.8","14","0","0","0","0","0","0","0","4","0","4","4","0","0","0","0","0","8","1","5","1","0","0","0","0","0","11","0","0","0","0","0","0","0","1","7","7","0","0","0","1","0"
"31","F","Naismith, Steven - EVE","FA","@BOUR Sat 3:00PM","300.76","300.76","1","1","90","0","0","4","3","0","0.0","0","2","2","2","0","14","3","2","0","0","0","0","0","0","0","50","38","76.0","21","1","1","0","1","0","1","0","1","0","2","2","2","1","0","1","0","8","10","3","5","0","0","0","0","0","14","0","0","0","0","0","0","0","0","0","12","1","0","0","1","0"
"32","M","Westwood, Ashley - AVL","FA","WAT Sat 3:00PM","298.85","298.85","1","1","90","0","0","0","3","0","0.0","0","0","5","3","0","13","2","0","0","0","0","0","0","0","0","62","53","85.5","13","3","1","2","2","0","1","1","4","0","2","1","0","0","0","1","0","5","3","0","0","0","0","0","0","0","14","0","0","0","0","0","0","0","1","0","10","0","0","1","0","0"
"33","D","Whittaker, Steven - NOR","FA","ARS Sun 4:15PM","295.64","295.64","1","1","90","0","0","0","1","0","0.0","0","0","2","2","0","24","0","0","0","0","0","0","0","0","0","42","27","64.3","8","2","1","1","0","0","0","0","2","1","6","3","0","0","0","0","1","2","3","0","0","0","0","0","0","0","27","0","0","0","0","0","0","0","1","23","23","0","0","0","1","1"
"34","M","Sánchez, Carlos - AVL","FA","WAT Sat 3:00PM","295.26","295.26","1","1","82","0","0","0","2","1","0.5","0","1","5","4","0","15","2","0","0","0","0","0","0","0","0","59","45","76.3","10","1","0","1","0","0","1","0","2","0","4","3","0","0","0","2","0","11","6","6","1","0","0","0","0","0","16","0","1","0","0","0","0","0","1","0","9","0","0","1","0","0"
"35","M","Payet, Dimitri - WHU","FA","WBA Sun 2:05PM","294.74","294.74","1","1","90","0","1","3","1","1","1.0","0","0","4","2","0","19","0","1","0","0","0","0","0","0","0","38","28","73.7","12","2","1","1","3","1","0","0","2","0","1","1","6","2","0","1","0","7","11","0","2","1","0","0","0","0","19","0","0","0","0","0","0","0","1","0","27","0","1","0","0","1"
"36","D","Distin, Sylvain - BOUR","FA","EVE Sat 3:00PM","293.78","293.78","1","1","90","0","0","0","1","0","0.0","0","1","0","0","0","13","0","0","0","0","0","0","0","0","0","59","46","78.0","6","0","0","0","0","0","0","0","1","1","7","6","2","2","0","0","1","9","1","7","1","0","0","0","0","0","14","0","0","0","0","0","0","0","0","9","9","1","1","0","0","0"
"37","M","Pugh, Marc - BOUR","FA","EVE Sat 3:00PM","293.07","293.07","1","1","90","0","0","1","5","1","0.2","1","2","2","2","0","18","0","3","0","0","0","0","0","0","0","39","34","87.2","17","3","0","3","1","3","0","1","0","0","0","0","7","4","0","1","0","9","11","0","3","0","0","0","0","0","18","0","0","0","0","0","0","0","0","0","9","1","1","0","0","0"
"38","D","Fonte, Jose - SOU","FA","@MCI Sat 3:00PM","292.82","292.82","1","1","90","0","0","0","2","2","1.0","0","0","2","0","0","13","1","0","1","0","0","0","0","0","0","62","51","82.3","8","0","0","0","0","0","0","0","1","0","2","1","0","0","0","0","0","6","6","4","3","0","0","0","0","0","14","0","0","0","0","0","0","0","3","10","10","0","0","1","0","0"
