"Rk","Pos","Player","Sta","Opp (GMT)","FPts","FP/G","GP","GS","Min","W","L","T","CS","ShA","ShA","GA","GAIB","GAOB","Sv","Sv%","SvIB","SvOB","YC","SYC","RC","RCR","FC","FC/G","FS","FS/G","Pen","DP","PKGA","PKS","PKF","PKD","SubOn","SubOff","G","A","ASh","ABS","AFKG","AHW","AOG","APL","APKG","ASOP","Pa","APa","SFTP","Int","IntB","ClA","ClS","OO","DW","DL","AW","AL","HCA","HCS","Sm","Pu","GON"
"1","G","Butland, Jack - STK","FA","CRY Sat 3:00PM","211","211","1","1","90","0","0","1","1","24","9","0","0","0","9","100.0","6","3","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","34","13","2","0","0","1","1","0","0","0","0","0","6","5","2","1","0"
"2","G","Myhill, Boaz - WBA","FA","BOUR Sat 3:00PM","202.75","202.75","1","1","90","0","0","1","0","28","8","2","1","1","6","75.0","2","4","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","33","15","6","0","0","1","1","0","0","0","0","0","0","0","0","1","0"
"3","G","Elliot, Robert - NEW","FA","AVL Sat 5:30PM","191.88","191.88","1","1","90","1","0","0","0","20","8","1","1","0","7","87.5","2","5","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","32","16","4","0","0","0","0","0","0","0","0","0","1","1","0","0","0"
"4","G","Cech, Petr - ARS","FA","MCI Mon 8:00PM","185","185","1","1","90","1","0","0","1","18","2","0","0","0","2","100.0","0","2","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","37","21","3","0","0","1","1","0","0","0","0","0","1","1","0","1","0"
"5","G","Lloris, Hugo - TOT","FA","@SOU Sat 3:00PM","175.5","175.5","1","1","90","0","1","0","0","8","4","2","2","0","2","50.0","2","0","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","33","23","2","0","0","0","0","0","0","0","0","0","2","2","0","0","0"
"6","G","Courtois, Thibaut - CHE","FA","SUN Sat 3:00PM","173.6","173.6","1","1","90","0","1","0","0","9","5","2","2","0","3","60.0","1","2","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23","11","1","1","1","5","3","0","1","0","1","0","4","3","0","2","0"
"7","G","Pantilimon, Costel - SUN","FA","@CHE Sat 3:00PM","172.86","172.86","1","1","90","0","1","0","0","13","7","1","1","0","6","85.7","4","2","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","29","13","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0"
"8","G","Hart, Joe - MCI","FA","@ARS Mon 8:00PM","169.86","169.86","1","1","90","1","0","0","0","13","7","1","1","0","6","85.7","4","2","0","0","0","0","0","0.0","1","1.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","13","1","0","0","1","1","0","1","0","0","0","1","1","0","1","0"
"9","G","Boruc, Artur - BOUR","FA","@WBA Sat 3:00PM","169.8","169.8","1","1","90","1","0","0","0","11","5","1","1","0","4","80.0","4","0","1","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21","16","1","0","0","2","1","0","1","1","1","0","2","2","0","1","0"
"10","G","Gomes, Heurelho - WAT","FA","LIV Sun 1:30PM","169","169","1","1","90","1","0","0","1","14","3","0","0","0","3","100.0","1","1","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","31","11","1","0","0","3","3","0","0","0","0","0","0","0","0","3","0"
"11","G","Hennessey, Wayne - CRY","FA","@STK Sat 3:00PM","169","169","1","1","90","1","0","0","1","15","3","0","0","0","3","100.0","2","1","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","31","10","5","0","0","0","0","0","0","0","0","0","2","2","0","0","0"
"12","G","de Gea, David - MUN","FA","NOR Sat 3:00PM","162.6","162.6","1","1","90","0","1","0","0","11","5","2","1","1","3","60.0","1","2","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","24","15","2","0","0","0","0","0","1","0","0","0","0","0","1","0","0"
"13","G","Guzan, Brad - AVL","FA","@NEW Sat 5:30PM","162.5","162.5","1","1","90","0","1","0","0","8","4","2","2","0","2","50.0","2","0","0","0","0","0","0","0.0","0","0.0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","28","17","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0"
"14","G","Mignolet, Simon - LIV","FA","@WAT Sun 1:30PM","162","162","1","1","90","0","0","1","0","4","2","2","2","0","0","0.0","0","0","0","0","0","0","0","0.0","2","2.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25","22","1","0","0","2","1","0","3","0","0","0","0","0","0","1","0"
"15","G","Gazzaniga, Paulo - SOU","FA","TOT Sat 3:00PM","159.8","159.8","1","1","90","0","1","0","0","12","5","1","1","0","4","80.0","3","1","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","26","10","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"16","G","Rudd, Declan - NOR","FA","@MUN Sat 3:00PM","159.67","159.67","1","1","90","0","0","1","0","15","3","1","1","0","2","66.7","2","0","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","28","10","2","0","0","1","0","0","1","0","0","0","0","0","0","0","0"
"17","G","Fabianski, Lukasz - SWA","FA","WHU Sun 4:00PM","158.6","158.6","1","1","90","0","1","0","0","13","5","2","2","0","3","60.0","1","2","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"18","G","Schmeichel, Kasper - LEIC","FA","@EVE Sat 3:00PM","157.67","157.67","1","1","90","1","0","0","0","11","3","1","1","0","2","66.7","2","0","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","27","9","4","0","0","1","1","0","0","0","0","0","0","0","1","1","0"
"19","G","Adrián - WHU","FA","@SWA Sun 4:00PM","154","154","1","1","90","0","0","1","1","12","3","0","0","0","3","100.0","3","0","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22","11","1","0","0","1","1","0","0","0","0","0","1","1","0","0","0"
"20","G","Howard, Tim - EVE","FA","LEIC Sat 3:00PM","141","141","1","1","90","0","0","1","0","9","1","1","1","0","0","0.0","0","0","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","24","9","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0"
"21","G","Allsop, Ryan - BOUR","FA","@WBA Sat 3:00PM","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
