"Rk","Pos","Player","Sta","Opp (GMT)","FPts","FP/G","GP","GS","Min","W","L","T","CS","ShA","ShA","GA","GAIB","GAOB","Sv","Sv%","SvIB","SvOB","YC","SYC","RC","RCR","FC","FC/G","FS","FS/G","Pen","DP","PKGA","PKS","PKF","PKD","SubOn","SubOff","G","A","ASh","ABS","AFKG","AHW","AOG","APL","APKG","ASOP","Pa","APa","SFTP","Int","IntB","ClA","ClS","OO","DW","DL","AW","AL","HCA","HCS","Sm","Pu","GON"
"1","G","Adrián - WHU","FA","@TOT Sun 4:00PM","198.89","198.89","1","1","90","1","0","0","0","27","9","1","0","1","8","88.9","6","1","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30","9","3","0","0","2","1","0","0","1","0","0","3","3","0","0","0"
"2","G","Gomes, Heurelho - WAT","FA","MUN Sat 12:45PM","196.8","196.8","1","1","90","1","0","0","0","15","5","1","1","0","4","80.0","2","2","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","35","15","3","0","0","2","2","0","0","0","0","0","7","7","0","2","0"
"3","G","Ruddy, John - NOR","FA","@CHE Sat 3:00PM","193.86","193.86","1","1","90","0","0","1","0","23","7","1","1","0","6","85.7","4","2","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","32","10","1","0","0","1","1","0","0","0","0","0","4","4","2","1","0"
"4","G","Guzan, Brad - AVL","FA","@EVE Sat 3:00PM","186.83","186.83","1","1","90","0","1","0","0","10","6","1","1","0","5","83.3","3","2","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","37","23","1","0","0","0","0","0","0","0","0","0","2","2","0","0","0"
"5","G","de Gea, David - MUN","FA","@WAT Sat 12:45PM","186.75","186.75","1","1","90","1","0","0","0","15","8","2","2","0","6","75.0","4","2","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","33","14","2","0","0","1","1","0","0","0","0","0","1","1","0","1","0"
"6","G","Butland, Jack - STK","FA","@SOU Sat 3:00PM","183.6","183.6","1","1","90","0","0","1","0","12","5","2","2","0","3","60.0","1","2","0","0","0","0","0","0.0","0","0.0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","35","17","5","0","0","0","0","0","1","0","0","0","1","1","0","0","0"
"7","G","Cech, Petr - ARS","FA","@WBA Sat 3:00PM","181.71","181.71","1","1","90","0","1","0","0","23","7","2","2","0","5","71.4","1","4","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","27","13","1","0","0","0","0","0","1","0","0","0","1","1","0","0","0"
"8","G","Lloris, Hugo - TOT","FA","WHU Sun 4:00PM","179","179","1","1","90","1","0","0","1","12","4","0","0","0","4","100.0","2","2","0","0","0","0","0","0.0","1","1.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","27","19","2","0","0","1","1","0","1","0","0","0","3","3","0","1","0"
"9","G","Pantilimon, Costel - SUN","FA","@CRY Mon 8:00PM","176.6","176.6","1","1","90","0","1","0","0","15","5","2","1","1","3","60.0","1","2","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","36","15","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","G","McCarthy, Alex - CRY","WW","SUN Mon 8:00PM","170.83","170.83","1","1","90","0","1","0","0","21","6","1","1","0","5","83.3","1","4","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","24","10","0","0","0","1","1","0","0","0","0","0","1","1","0","0","0"
"11","G","Howard, Tim - EVE","FA","AVL Sat 3:00PM","169","169","1","1","90","0","0","1","1","12","3","0","0","0","3","100.0","2","1","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","34","16","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"12","G","Stekelenburg, Maarten - SOU","FA","STK Sat 3:00PM","166","166","1","1","90","0","1","0","0","10","3","3","3","0","0","0.0","0","0","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","31","17","5","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
