"Rk","Pos","Player","Sta","Opp (GMT)","FPts","FP/G","G/90M","G/G","A/G","A/90M","ABS","AFKG","AHW","AOG","APL","APKG","AR","ASOP","Pts","Pt/G","Pt/90M","Sh/G","Sh/90M","ShG/G","ShG/90M","FC/G","FS/G","RCR","DPt","6S","Off/G","Off/90M","HT","GAD","GAF","GAM","CSD","CSF","CSM"
"1","M","Larsson, Sebastian - SUN","FA","STK Sat 3:00PM","91","91","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","1.0","90.0","0.0","0.0","0.0","0.0","0","0","0","0.0","0.0","0","0","0","0","0","0","0"
"2","F","Cissé, Papiss Demba - NEW","FA","@CRY Sat 3:00PM","46","46","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","1.0","45.0","0.0","0.0","0.0","0.0","0","0","0","0.0","0.0","0","0","0","0","0","0","0"
"3","M","Gosling, Dan - BOUR","FA","EVE Sat 3:00PM","38","38","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","1.0","18.0","1.0","18.0","0.0","0.0","0","0","0","0.0","0.0","0","0","0","0","0","0","0"
"4","F","Wilson, Callum - BOUR","FA","EVE Sat 3:00PM","38","38","3.0","3.0","0.0","0.0","0","0","0","0","0","0","0","0","3","3.0","3.0","4.0","4.0","3.0","3.0","2.0","1.0","0","2","0","0.0","0.0","1","0","3","0","0","0","0"
"5","M","Oxlade-Chamberlain, Alex - ARS","FA","@NOR Sun 4:15PM","36.75","36.75","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","2.0","22.5","1.0","11.3","0.0","0.0","0","0","0","0.0","0.0","0","0","0","0","0","0","0"
"6","M","Nasri, Samir - MCI","FA","SOU Sat 3:00PM","33.71","33.71","6.4","1.0","0.0","0.0","0","0","0","0","0","0","0","0","1","1.0","6.4","1.0","6.4","1.0","6.4","0.0","0.0","0","3","0","0.0","0.0","0","0","0","0","0","0","0"
"7","M","Dele Alli - TOT","FA","CHE Sun 12:00PM","32.6","32.6","3.6","1.0","0.0","0.0","0","0","0","0","0","0","0","0","1","1.0","3.6","2.0","7.2","2.0","7.2","1.0","1.0","0","1","0","0.0","0.0","0","0","0","1","0","0","0"
"8","M","Sako, Bakary - CRY","WW","NEW Sat 3:00PM","31","31","1.0","1.0","0.0","0.0","0","0","0","0","0","0","0","0","1","1.0","1.0","6.0","6.0","5.0","5.0","1.0","1.0","0","1","0","0.0","0.0","0","0","0","1","0","0","0"
"9","M","Gnabry, Serge - WBA","FA","@WHU Sun 2:05PM","29.5","29.5","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","2.0","15.0","1.0","7.5","2.0","0.0","0","2","0","0.0","0.0","0","0","0","0","0","0","0"
"10","F","Gomis, Bafétimbi - SWA","FA","@LIV Sun 4:15PM","28.84","28.84","1.2","1.0","0.0","0.0","0","0","0","0","0","0","0","0","1","1.0","1.2","4.0","4.7","3.0","3.6","2.0","1.0","0","2","0","1.0","1.2","0","0","1","0","0","0","0"
