"Rk","Pos","Player","Sta","Opp (GMT)","FPts","FP/G","GP","GS","Min","G","A","ASh","Sh","SOG","SA","SOP","SB","Tk","TkW","TLM","PLC","FC","FS","YC","SYC","RC","HB","Pen","DP","Off","Pa","APa","Pc%","SFTP","Cr","ACr","CF","CK","CIB","CF","CC","FKS","Int","IntB","ClA","ClS","CoA","CoS","CSLM","BCr","BS","DW","DL","AW","AL","BCC","BCM","BCS","FKG","FKM","PL","SubOn","SubOff","PKG","PKA","PKM","PKD","GON","GA","ShA","ShA","CS","W","L","T"
"1","M","Fàbregas, Cesc - CHE","FA","WBA Wed 7:45PM","379.89","379.89","1","1","90","0","0","0","0","0","0","0","0","1","1","0","15","2","1","0","0","0","0","0","0","0","104","93","89.4","29","1","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","3","7","1","2","0","0","0","0","0","15","0","0","0","0","0","0","0","0","0","8","1","1","0","0"
"2","M","Can, Emre - LIV","FA","ARS Wed 8:00PM","365.79","365.79","1","1","90","0","0","6","1","0","0.0","1","0","1","1","0","22","1","0","0","0","0","0","0","0","1","78","62","79.5","28","1","0","1","0","0","0","0","0","2","0","1","1","2","1","0","0","0","3","9","1","4","2","0","0","0","0","22","0","0","0","0","0","0","0","2","0","18","0","0","1","0"
"3","M","Ramsey, Aaron - ARS","FA","@LIV Wed 8:00PM","357.54","357.54","1","1","90","0","0","2","3","2","0.7","0","0","3","1","0","16","1","2","0","0","0","0","0","0","0","76","66","86.8","23","2","1","1","0","0","0","0","0","1","1","0","0","3","3","0","0","1","9","10","1","2","0","1","0","0","0","16","0","0","0","0","0","0","0","0","0","15","1","1","0","0"
"4","D","Fuchs, Christian - LEIC","FA","@TOT Wed 8:00PM","354.77","354.77","1","1","90","0","0","1","0","0","0","0","0","1","1","0","34","0","0","0","0","0","0","0","0","0","60","46","76.7","22","10","0","10","5","0","1","0","0","2","0","0","0","1","0","0","1","1","3","4","2","0","0","0","0","0","0","34","0","0","0","0","0","0","0","0","9","9","1","0","0","1"
"5","M","Drinkwater, Daniel - LEIC","FA","@TOT Wed 8:00PM","352.89","352.89","1","1","90","0","0","1","1","0","0.0","0","0","2","2","0","14","2","0","0","0","0","0","0","0","0","87","77","88.5","23","2","1","1","0","0","0","0","0","1","0","1","1","1","1","0","0","0","4","9","1","3","0","0","0","0","0","14","0","0","0","0","0","0","0","0","0","9","1","0","0","1"
"6","M","Carroll, Tom - TOT","FA","LEIC Wed 8:00PM","347.89","347.89","1","1","90","0","0","4","1","1","1.0","0","0","4","2","0","13","1","1","1","0","0","0","0","0","0","80","71","88.8","28","0","0","0","0","0","0","0","0","4","0","1","1","0","0","0","0","0","5","6","0","3","0","0","0","0","0","13","0","0","0","0","0","0","0","1","0","12","0","0","0","1"
"7","D","Bertrand, Ryan - SOU","FA","WAT Wed 7:45PM","347.71","347.71","1","1","90","0","0","2","1","0","0.0","0","0","0","0","0","33","0","1","0","0","0","0","0","0","0","51","36","70.6","19","12","1","11","4","1","3","0","0","3","0","6","5","2","0","0","0","0","2","4","1","2","0","0","0","0","0","34","0","0","0","0","0","0","0","1","10","10","0","0","1","0"
"8","M","Özil, Mesut - ARS","FA","@LIV Wed 8:00PM","340.84","340.84","1","1","90","0","0","4","1","0","0.0","0","0","1","1","0","20","0","1","1","0","0","0","0","0","2","61","51","83.6","25","9","4","5","7","4","0","0","0","2","0","0","0","3","2","0","0","0","4","2","0","0","1","0","0","0","0","20","0","0","0","0","0","0","0","0","0","15","1","1","0","0"
"9","M","Capoue, Etienne - WAT","FA","@SOU Wed 7:45PM","339.86","339.86","1","1","90","0","0","1","1","0","0.0","0","0","3","2","0","20","1","1","0","0","0","0","0","0","0","69","59","85.5","22","0","0","0","0","0","0","0","0","7","0","1","1","3","1","0","0","0","5","9","0","1","0","1","0","0","0","20","0","0","0","0","0","0","0","2","0","16","0","0","1","0"
"10","D","Alderweireld, Toby - TOT","FA","LEIC Wed 8:00PM","338.88","338.88","1","1","90","0","1","1","0","0","0","0","0","3","2","0","12","0","0","0","0","0","0","0","0","0","81","71","87.7","12","1","0","1","0","0","0","1","0","1","0","9","7","0","0","0","0","1","3","0","0","0","0","0","0","0","0","14","0","0","0","0","0","0","0","1","12","12","0","0","0","1"
"11","M,F","De Bruyne, Kevin - MCI","WW","EVE Wed 7:45PM","333.4","333.4","1","1","90","0","0","4","3","2","0.7","0","1","2","2","0","25","0","0","0","0","0","0","0","0","0","53","39","73.6","24","7","2","5","2","2","2","0","0","0","0","1","1","3","1","0","1","0","4","11","1","3","0","0","0","0","0","25","0","0","0","0","0","0","0","1","0","12","0","1","0","0"
"12","D","Williams, Ashley - SWA","FA","SUN Wed 7:45PM","328.78","328.78","1","1","90","0","0","1","1","1","1.0","0","0","3","2","0","16","1","0","0","0","0","0","0","0","0","68","53","77.9","10","0","0","0","0","0","1","2","0","2","0","7","5","0","0","0","0","1","3","1","0","1","0","0","0","0","0","18","0","0","0","0","0","0","0","2","19","19","0","0","1","0"
"13","M","Coutinho, Philippe - LIV","FA","ARS Wed 8:00PM","325.71","325.71","1","1","90","0","0","2","6","0","0.0","0","5","3","3","0","29","0","3","0","0","0","0","0","0","0","48","34","70.8","23","5","1","4","3","0","1","0","0","1","0","0","0","2","0","0","0","0","6","3","1","0","0","0","0","0","0","29","0","0","0","0","0","0","0","2","0","18","0","0","1","0"
"14","M","Leiva, Lucas - LIV","FA","ARS Wed 8:00PM","321.78","321.78","1","1","90","0","0","2","1","1","1.0","0","0","3","3","0","19","2","1","1","0","0","0","0","0","0","69","54","78.3","14","1","0","1","0","0","1","0","0","0","0","1","1","0","0","0","0","0","5","4","1","2","0","1","0","0","0","19","0","0","0","0","0","0","0","2","0","18","0","0","1","0"
"15","D","Dier, Eric - TOT","FA","LEIC Wed 8:00PM","320.76","320.76","1","1","90","0","0","0","0","0","0","0","0","0","0","0","20","0","0","0","0","0","0","0","0","0","75","57","76.0","14","2","0","2","0","0","1","0","0","6","1","3","2","1","1","0","0","0","4","1","3","1","0","0","0","0","0","21","0","0","0","0","0","0","0","1","0","12","0","0","0","1"
"16","M","Kanté, N'Golo - LEIC","WW","@TOT Wed 8:00PM","319.9","319.9","1","1","90","0","0","1","4","0","0.0","0","1","5","4","0","9","1","1","0","0","0","0","0","0","0","63","57","90.5","29","1","0","1","0","0","0","0","0","4","0","1","1","3","3","0","1","0","10","5","1","1","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","9","1","0","0","1"
"17","M","Veretout, Jordan - AVL","WW","CRY Tue 7:45PM","317.73","317.73","1","1","90","0","0","1","1","1","1.0","0","0","1","1","0","22","1","0","0","0","0","0","0","0","0","64","47","73.4","14","3","1","2","1","0","0","0","0","2","0","0","0","3","2","0","0","0","4","9","1","4","0","0","0","0","0","22","0","0","0","0","0","0","0","3","0","13","0","0","1","0"
"18","M","Mikel, John Obi - CHE","FA","WBA Wed 7:45PM","315.95","315.95","1","1","90","0","0","0","0","0","0","0","0","3","3","0","6","3","1","0","0","0","0","0","0","0","82","78","95.1","8","0","0","0","0","0","0","1","0","1","0","1","0","1","1","0","0","1","6","7","1","2","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","8","1","1","0","0"
"19","M","Gueye, Idrissa - AVL","FA","CRY Tue 7:45PM","315.87","315.87","1","1","90","0","0","0","0","0","0","0","0","5","4","0","12","2","1","0","0","0","0","0","0","0","70","61","87.1","12","0","0","0","0","0","0","0","0","6","1","0","0","2","1","0","0","0","9","5","2","1","0","0","0","0","0","12","0","0","0","0","0","0","0","3","0","13","0","0","1","0"
"20","D","Janmaat, Daryl - NEW","FA","MUN Tue 7:45PM","315.78","315.78","1","1","90","0","0","1","1","0","0.0","0","1","4","3","0","23","1","1","1","0","0","0","0","0","0","36","28","77.8","8","11","2","9","1","0","1","3","0","2","1","3","1","4","1","0","1","0","7","8","1","3","0","0","0","0","0","25","0","0","0","0","0","0","0","1","15","15","0","0","1","0"
