"Rk","Pos","Player","Sta","Opp (GMT)","FPts","FP/G","G/90M","G/G","A/G","A/90M","ABS","AFKG","AHW","AOG","APL","APKG","AR","ASOP","Pts","Pt/G","Pt/90M","Sh/G","Sh/90M","ShG/G","ShG/90M","FC/G","FS/G","RCR","DPt","6S","Off/G","Off/90M","HT","GAD","GAF","GAM","CSD","CSF","CSM"
"1","F","Gomis, Bafétimbi - SWA","FA","WHU Sun 4:00PM","73.29","73.29","12.9","1.0","0.0","0.0","0","0","0","0","0","0","0","0","1","1.0","12.9","2.0","25.7","1.0","12.9","1.0","0.0","0","1","0","0.0","0.0","0","0","1","0","0","0","0"
"2","F","Iheanacho, Kelechi - MCI","WW","@ARS Mon 8:00PM","66","66","15.0","1.0","0.0","0.0","0","0","0","0","0","0","0","0","1","1.0","15.0","1.0","15.0","1.0","15.0","0.0","0.0","0","0","0","0.0","0.0","0","0","1","0","0","0","0"
"3","F","Origi, Divock - LIV","FA","@WAT Sun 1:30PM","46.91","46.91","8.2","1.0","0.0","0.0","0","0","0","0","0","0","0","0","1","1.0","8.2","2.0","16.4","1.0","8.2","0.0","0.0","0","0","0","0.0","0.0","0","0","0","0","0","0","0"
"4","F","Mitrovic, Aleksandar - NEW","WW","AVL Sat 5:30PM","38","38","5.0","1.0","1.0","5.0","0","0","0","0","0","0","0","0","2","2.0","10.0","1.0","5.0","1.0","5.0","0.0","0.0","0","0","0","0.0","0.0","0","0","0","0","0","0","0"
"5","M","Fellaini, Marouane - MUN","FA","NOR Sat 3:00PM","35.16","35.16","1.2","1.0","0.0","0.0","0","0","0","0","0","0","0","0","1","1.0","1.2","5.0","6.1","3.0","3.6","4.0","2.0","0","4","0","0.0","0.0","0","0","0","2","0","0","0"
"6","F","Ighalo, Odion - WAT","FA","LIV Sun 1:30PM","32","32","1.0","1.0","0.0","0.0","0","0","0","0","0","0","0","0","1","1.0","1.0","6.0","6.0","5.0","5.0","1.0","0.0","0","1","0","1.0","1.0","0","0","0","0","0","1","0"
"7","F","Traoré, Adama - AVL","WW","@NEW Sat 5:30PM","31","31","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","1.0","30.0","0.0","0.0","0.0","0.0","0","0","0","0.0","0.0","0","0","0","0","0","0","0"
"8","M","Eriksen, Christian - TOT","FA","@SOU Sat 3:00PM","28","28","0.0","0.0","1.0","1.0","0","0","0","0","0","0","0","0","1","1.0","1.0","7.0","7.0","2.0","2.0","0.0","3.0","0","0","0","0.0","0.0","0","0","0","2","0","0","0"
"9","F","Bony, Wilfried - MCI","FA","@ARS Mon 8:00PM","27.64","27.64","1.1","1.0","0.0","0.0","0","0","0","0","0","0","0","0","1","1.0","1.1","3.0","3.2","2.0","2.1","2.0","1.0","0","5","0","2.0","2.1","0","0","0","0","0","0","0"
"10","F","Ayoze Pérez - NEW","FA","AVL Sat 5:30PM","27.33","27.33","3.3","1.0","0.0","0.0","0","0","0","0","0","0","0","0","1","1.0","3.3","1.0","3.3","1.0","3.3","3.0","0.0","0","6","0","0.0","0.0","0","0","0","0","0","0","0"
