"Rk","Pos","Player","Sta","Opp (GMT)","FPts","FP/G","G/90M","G/G","A/G","A/90M","ABS","AFKG","AHW","AOG","APL","APKG","AR","ASOP","Pts","Pt/G","Pt/90M","Sh/G","Sh/90M","ShG/G","ShG/90M","FC/G","FS/G","RCR","DPt","6S","Off/G","Off/90M","HT","GAD","GAF","GAM","CSD","CSF","CSM"
"1","F","Roberto Firmino - LIV","WW","SWA Sun 4:15PM","38.36","38.36","1.2","1.0","1.0","1.2","0","0","0","1","0","0","0","0","2","2.0","2.3","5.0","5.8","4.0","4.7","2.0","0.0","0","2","0","1.0","1.2","0","0","1","0","0","0","0"
"2","F","Kane, Harry - TOT","FA","CHE Sun 12:00PM","37.16","37.16","2.0","2.0","0.0","0.0","0","0","0","0","0","0","0","0","2","2.0","2.0","6.0","6.1","4.0","4.0","2.0","2.0","0","2","0","0.0","0.0","0","0","1","0","0","0","0"
"3","F","Lukaku, Romelu - EVE","FA","@BOUR Sat 3:00PM","31","31","2.0","2.0","0.0","0.0","0","0","0","0","0","0","0","0","2","2.0","2.0","6.0","6.0","3.0","3.0","1.0","0.0","0","1","0","0.0","0.0","0","0","0","0","0","1","0"
"4","M","Mason, Ryan - TOT","FA","CHE Sun 12:00PM","29.68","29.68","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","3.0","14.2","2.0","9.5","0.0","0.0","0","0","0","0.0","0.0","0","0","0","1","0","0","0"
"5","F","Diego Costa - CHE","FA","@TOT Sun 12:00PM","29","29","1.0","1.0","0.0","0.0","0","0","0","0","0","0","0","0","1","1.0","1.0","5.0","5.0","2.0","2.0","1.0","1.0","0","1","0","3.0","3.0","0","0","0","0","0","1","0"
"6","M","Mirallas, Kevin - EVE","FA","@BOUR Sat 3:00PM","28.5","28.5","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","3.0","16.9","1.0","5.6","0.0","2.0","0","0","0","0.0","0.0","0","0","0","0","0","0","0"
"7","M","Barkley, Ross - EVE","FA","@BOUR Sat 3:00PM","27.16","27.16","2.4","2.0","1.0","1.2","0","0","0","0","0","0","0","0","3","3.0","3.6","2.0","2.4","2.0","2.4","0.0","1.0","0","0","0","0.0","0.0","0","0","0","0","0","0","1"
"8","M","Coutinho, Philippe - LIV","FA","SWA Sun 4:15PM","26.24","26.24","1.3","1.0","1.0","1.3","0","0","0","0","0","0","0","0","2","2.0","2.6","3.0","4.0","2.0","2.6","0.0","0.0","0","0","0","1.0","1.3","0","0","1","0","0","0","0"
"9","F","Okazaki, Shinji - LEIC","WW","MUN Sat 5:30PM","26.18","26.18","5.3","1.0","0.0","0.0","0","0","0","0","0","0","0","0","1","1.0","5.3","1.0","5.3","1.0","5.3","0.0","0.0","0","0","0","0.0","0.0","0","0","0","0","0","0","0"
"10","M","Lingard, Jesse - MUN","FA","@LEIC Sat 5:30PM","26","26","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","3.0","3.0","3.0","3.0","1.0","2.0","0","4","0","3.0","3.0","0","0","1","0","0","0","0"
"11","F","Vardy, Jamie - LEIC","FA","MUN Sat 5:30PM","25.86","25.86","1.2","1.0","0.0","0.0","0","0","0","0","0","0","0","0","1","1.0","1.2","6.0","7.0","3.0","3.5","0.0","0.0","0","0","0","0.0","0.0","0","0","0","0","0","1","0"
"12","M","Dele Alli - TOT","FA","CHE Sun 12:00PM","25.14","25.14","0.0","0.0","1.0","1.3","0","0","0","0","0","0","0","0","1","1.0","1.3","4.0","5.1","0.0","0.0","1.0","1.0","0","4","0","2.0","2.5","0","0","0","0","0","0","0"
"13","F","King, Joshua - BOUR","FA","EVE Sat 3:00PM","24.42","24.42","1.0","1.0","0.0","0.0","0","0","0","0","0","0","0","0","1","1.0","1.0","3.0","3.1","2.0","2.1","1.0","1.0","0","1","0","2.0","2.1","0","0","2","0","0","0","0"
