"Rk","Pos","Player","Sta","Opp (GMT)","FPts","FP/G","GP","GS","Min","W","L","T","CS","ShA","ShA","GA","GAIB","GAOB","Sv","Sv%","SvIB","SvOB","YC","SYC","RC","RCR","FC","FC/G","FS","FS/G","Pen","DP","PKGA","PKS","PKF","PKD","SubOn","SubOff","G","A","ASh","ABS","AFKG","AHW","AOG","APL","APKG","ASOP","Pa","APa","SFTP","Int","IntB","ClA","ClS","OO","DW","DL","AW","AL","HCA","HCS","Sm","Pu","GON"
"1","G","Schmeichel, Kasper - LEIC","FA","@TOT Wed 8:00PM","198.75","198.75","1","1","90","0","1","0","0","26","4","1","1","0","3","75.0","2","1","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","43","12","6","0","0","2","1","0","0","0","0","0","1","1","0","1","0"
"2","G","Elliot, Robert - NEW","FA","MUN Tue 7:45PM","195.86","195.86","1","1","90","0","1","0","0","20","7","1","1","0","6","85.7","5","1","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","27","20","5","0","0","2","2","0","1","0","1","0","0","0","0","2","0"
"3","G","Rudd, Declan - NOR","FA","@STK Wed 7:45PM","193.7","193.7","1","1","90","0","1","0","0","15","10","3","2","1","7","70.0","6","1","0","0","0","0","1","1.0","0","0.0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","25","11","4","0","0","2","2","0","0","1","0","0","2","2","0","1","0"
"4","G","Mannone, Vito - SUN","FA","@SWA Wed 7:45PM","193.56","193.56","1","1","90","0","1","0","0","19","9","4","3","1","5","55.6","3","2","0","0","0","0","0","0.0","0","0.0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","27","15","9","0","0","0","0","0","0","0","0","0","1","1","0","0","0"
"5","G","Adrián - WHU","FA","@BOUR Tue 7:45PM","177.86","177.86","1","1","90","0","0","1","0","15","7","1","1","0","6","85.7","4","2","0","0","0","0","0","0.0","0","0.0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","27","14","0","0","0","0","0","0","1","0","1","0","2","1","0","0","0"
"6","G","de Gea, David - MUN","FA","@NEW Tue 7:45PM","172.33","172.33","1","1","90","0","1","0","0","13","3","2","1","1","1","33.3","0","1","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","37","16","1","0","0","1","1","0","0","0","0","0","0","0","1","0","0"
"7","G","Fabianski, Lukasz - SWA","FA","SUN Wed 7:45PM","171","171","1","1","90","1","0","0","1","9","3","0","0","0","3","100.0","3","0","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","31","19","0","0","0","1","1","0","0","0","0","0","3","2","0","1","0"
"8","G","Hennessey, Wayne - CRY","FA","@AVL Tue 7:45PM","170","170","1","1","90","0","0","1","1","10","3","0","0","0","3","100.0","1","2","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","36","13","5","0","0","0","0","0","0","0","0","0","1","1","0","0","0"
"9","G","Cech, Petr - ARS","FA","@LIV Wed 8:00PM","168.2","168.2","1","1","90","0","1","0","0","14","5","4","3","1","1","20.0","0","1","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23","15","2","1","1","2","1","0","0","0","0","0","0","0","0","1","0"
"10","G","Butland, Jack - STK","FA","NOR Wed 7:45PM","168","168","1","1","90","1","0","0","1","11","6","0","0","0","6","100.0","3","3","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25","8","0","0","0","1","0","0","1","1","1","1","3","3","0","0","0"
"11","G","Gomes, Heurelho - WAT","FA","@SOU Wed 7:45PM","168","168","1","1","90","0","0","1","0","17","2","2","2","0","0","0.0","0","0","0","0","0","0","0","0.0","0","0.0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","28","14","5","0","0","1","1","0","0","0","0","0","0","0","2","0","0"
"12","G","Lloris, Hugo - TOT","FA","LEIC Wed 8:00PM","164","164","1","1","90","1","0","0","1","11","3","0","0","0","3","100.0","1","2","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25","15","2","0","0","3","3","0","0","0","0","0","0","0","0","1","0"
"13","G","Stekelenburg, Maarten - SOU","FA","WAT Wed 7:45PM","163","163","1","1","90","1","0","0","1","8","5","0","0","0","5","100.0","4","1","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","28","10","0","0","0","1","1","0","0","0","0","0","2","2","0","1","0"
"14","G","Mignolet, Simon - LIV","FA","ARS Wed 8:00PM","155","155","1","1","90","1","0","0","1","7","3","0","0","0","3","100.0","1","2","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22","12","0","0","0","0","0","0","0","0","0","0","5","5","0","0","0"
"15","G","Guzan, Brad - AVL","FA","CRY Tue 7:45PM","151.75","151.75","1","1","90","0","0","1","0","10","4","1","0","1","3","75.0","1","2","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16","10","2","0","0","2","2","0","0","0","0","0","1","1","0","2","0"
"16","G","Hart, Joe - MCI","FA","EVE Wed 7:45PM","149.67","149.67","1","1","90","1","0","0","0","11","3","1","1","0","2","66.7","2","0","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","10","1","0","0","1","1","0","0","0","0","0","3","3","1","1","0"
"17","G","Myhill, Boaz - WBA","FA","@CHE Wed 7:45PM","149.5","149.5","1","1","90","0","1","0","0","7","2","1","1","0","1","50.0","1","0","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25","11","4","0","0","1","1","0","0","0","0","0","0","0","0","1","0"
"18","G","Courtois, Thibaut - CHE","FA","WBA Wed 7:45PM","148.33","148.33","1","1","90","0","0","1","0","12","3","2","2","0","1","33.3","0","1","0","0","0","0","0","0.0","1","1.0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","17","7","0","0","0","1","1","0","1","0","0","0","1","1","0","1","0"
"19","G","Howard, Tim - EVE","FA","@MCI Wed 7:45PM","143","143","1","1","90","1","0","0","1","10","1","0","0","0","1","100.0","1","0","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","10","1","0","0","0","0","0","0","0","0","0","5","4","1","0","0"
"20","G","Boruc, Artur - BOUR","FA","WHU Tue 7:45PM","140","140","1","1","90","0","0","1","1","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21","15","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0"
"21","G","Allsop, Ryan - BOUR","FA","WHU Tue 7:45PM","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22","G","Amelia, Marco - CHE","WW","WBA Wed 7:45PM","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"23","G","Arlauskis, Giedrius - WAT","FA","@SOU Wed 7:45PM","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"24","G","Begovic, Asmir - CHE","FA","WBA Wed 7:45PM","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"25","G","Blackman, Jamal - CHE","FA","WBA Wed 7:45PM","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"26","G","Bogdan, Adam - LIV","FA","ARS Wed 8:00PM","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"27","G","Bunn, Mark - AVL","FA","CRY Tue 7:45PM","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"28","G","Caballero, Willy - MCI","FA","EVE Wed 7:45PM","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
