"Rk","Pos","Player","Sta","Opp (GMT)","FPts","FP/G","GP","GS","Min","G","A","ASh","Sh","SOG","SA","SOP","SB","Tk","TkW","TLM","PLC","FC","FS","YC","SYC","RC","HB","Pen","DP","Off","Pa","APa","Pc%","SFTP","Cr","ACr","CF","CK","CIB","CF","CC","FKS","Int","IntB","ClA","ClS","CoA","CoS","CSLM","BCr","BS","DW","DL","AW","AL","BCC","BCM","BCS","FKG","FKM","PL","SubOn","SubOff","PKG","PKA","PKM","PKD","GON","GA","ShA","ShA","CS","W","L","T"
"1","M","Ramsey, Aaron - ARS","FA","@LIV Wed 8:00PM","369.9","369.9","1","1","90","0","0","1","1","1","1.0","0","0","2","2","0","15","2","1","0","0","0","0","0","0","0","89","80","89.9","25","3","1","2","0","0","1","0","0","2","0","0","0","2","2","0","0","1","5","4","0","0","0","0","0","0","0","15","0","0","0","0","0","0","0","4","0","14","0","0","1","0"
"2","M","Silva, David - MCI","FA","EVE Wed 7:45PM","367.16","367.16","1","1","90","0","1","3","3","1","0.3","0","0","1","0","0","22","1","1","0","0","0","0","0","0","0","77","64","83.1","30","3","1","2","2","0","2","0","0","0","0","0","0","5","4","0","0","0","6","8","0","1","0","0","0","0","0","22","0","0","0","0","0","1","0","1","0","11","0","1","0","0"
"3","M,F","De Bruyne, Kevin - MCI","WW","EVE Wed 7:45PM","359.47","359.47","1","1","90","1","2","6","3","2","0.7","0","1","2","2","0","25","0","1","0","0","0","0","0","0","0","62","50","80.6","26","7","2","5","2","1","2","0","0","1","0","0","0","5","4","0","0","0","7","4","0","0","0","0","1","0","0","25","0","0","0","0","0","0","0","1","0","11","0","1","0","0"
"4","M","Willian - CHE","FA","WBA Wed 7:45PM","354.81","354.81","1","1","90","0","1","4","3","0","0.0","0","1","1","0","0","26","0","1","0","0","0","0","0","0","0","54","44","81.5","29","12","1","11","8","1","6","0","2","1","0","0","0","3","1","0","0","0","4","6","1","0","0","0","0","0","0","26","0","0","0","0","0","0","0","2","0","12","0","0","0","1"
"5","D","Rangel, Angel - SWA","FA","SUN Wed 7:45PM","339.75","339.75","1","1","90","0","0","0","2","0","0.0","1","0","2","2","0","25","0","0","1","0","0","0","0","0","0","79","59","74.7","12","0","0","0","0","0","0","2","0","3","0","0","0","1","1","0","3","0","4","1","1","0","0","0","0","0","0","25","0","0","0","0","0","0","0","0","9","9","1","1","0","0"
"6","M","Barry, Gareth - EVE","FA","@MCI Wed 7:45PM","334.85","334.85","1","1","90","0","0","1","0","0","0","0","0","5","4","0","14","2","3","1","0","0","0","0","0","0","79","67","84.8","12","1","1","0","0","0","0","0","0","1","0","2","2","1","1","0","0","0","12","4","3","0","0","0","0","0","0","14","0","0","0","0","0","0","0","0","0","10","1","1","0","0"
"7","M","Özil, Mesut - ARS","FA","@LIV Wed 8:00PM","323.89","323.89","1","1","90","0","0","4","1","1","1.0","0","0","0","0","0","16","0","0","0","0","0","0","0","0","0","66","59","89.4","25","7","4","3","3","2","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","1","0","0","0","16","0","0","0","0","0","0","0","4","0","14","0","0","1","0"
"8","M","Cleverley, Tom - EVE","FA","@MCI Wed 7:45PM","322.16","322.16","1","1","90","1","0","0","4","1","0.3","0","3","2","2","0","10","2","3","0","0","0","0","0","0","0","55","50","90.9","25","3","1","2","0","0","1","0","0","2","0","1","0","4","4","0","0","0","11","9","3","3","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","10","1","1","0","0"
"9","D","Bacuna, Leandro - AVL","FA","CRY Tue 7:45PM","320.85","320.85","1","1","90","0","0","2","1","1","1.0","0","0","3","3","0","21","2","0","1","0","0","1","0","0","1","54","46","85.2","11","8","0","8","0","0","1","1","0","1","0","2","1","2","1","0","1","1","5","4","1","0","0","0","0","0","0","22","0","0","0","0","0","0","0","1","10","10","0","0","0","1"
"10","M","Gueye, Idrissa - AVL","FA","CRY Tue 7:45PM","320.83","320.83","1","1","90","0","0","1","0","0","0","0","0","5","3","0","18","1","0","0","0","0","0","0","0","0","64","53","82.8","17","0","0","0","0","0","0","0","0","3","0","3","2","3","1","0","0","0","10","8","4","1","0","0","0","0","0","19","0","0","0","0","0","0","0","1","0","10","0","0","0","1"
"11","D","Lovren, Dejan - LIV","FA","ARS Wed 8:00PM","320.39","320.39","1","1","90","0","0","2","2","1","0.5","0","0","0","0","0","8","4","0","0","0","0","0","0","0","0","65","58","89.2","2","1","0","1","0","0","0","1","0","2","0","17","13","0","0","0","0","0","6","5","6","2","0","0","0","0","0","12","0","0","0","0","0","0","0","0","7","7","1","1","0","0"
"12","M","Lamela, Erik - TOT","FA","LEIC Wed 8:00PM","316.45","316.45","1","1","90","0","0","2","3","2","0.7","0","0","5","4","0","26","0","3","0","0","0","0","0","0","1","42","33","78.6","11","6","1","5","5","1","3","0","0","2","0","0","0","3","2","0","0","0","10","9","0","3","2","0","0","0","0","26","0","0","0","0","0","0","0","0","0","11","1","1","0","0"
"13","M","Matic, Nemanja - CHE","FA","WBA Wed 7:45PM","314.89","314.89","1","1","90","0","0","0","2","0","0.0","0","2","6","4","0","12","1","0","0","0","0","1","1","0","0","66","59","89.4","17","0","0","0","0","0","0","1","0","0","0","1","1","2","0","0","0","2","9","5","3","0","0","0","0","0","0","12","0","0","0","0","0","0","0","2","0","12","0","0","0","1"
"14","D","Monreal, Nacho - ARS","FA","@LIV Wed 8:00PM","314.87","314.87","1","1","90","0","0","1","1","1","1.0","0","0","0","0","0","14","0","1","0","0","0","0","0","0","0","61","53","86.9","15","3","1","2","0","0","1","0","0","1","0","3","3","1","1","0","1","0","4","5","2","4","1","0","0","0","0","14","0","0","0","0","0","0","0","4","14","14","0","0","1","0"
"15","M","Can, Emre - LIV","FA","ARS Wed 8:00PM","314.06","314.06","1","1","90","0","0","1","3","1","0.3","0","1","4","4","0","22","0","0","1","0","0","0","0","0","0","59","43","72.9","14","0","0","0","0","0","1","1","0","5","0","3","2","2","1","0","0","1","9","6","4","1","0","0","0","0","0","23","0","0","0","0","0","0","0","0","0","7","1","1","0","0"
"16","D","Coleman, Seamus - EVE","FA","@MCI Wed 7:45PM","311.88","311.88","1","1","90","0","0","2","1","0","0.0","0","0","2","2","0","17","3","0","0","0","0","0","0","0","1","52","46","88.5","11","5","1","4","0","0","0","2","0","2","0","1","0","2","1","0","2","1","4","10","1","2","1","0","0","0","0","18","0","0","0","0","0","0","0","0","10","10","1","1","0","0"
"17","D","Davies, Ben - TOT","FA","LEIC Wed 8:00PM","310.79","310.79","1","1","90","0","1","1","0","0","0","0","0","4","3","0","16","0","1","0","0","0","0","0","0","0","62","49","79.0","9","0","0","0","0","0","0","1","0","6","0","3","2","0","0","0","0","0","9","2","4","1","0","0","0","0","0","17","0","0","0","0","0","0","0","0","11","11","1","1","0","0"
"18","M","Henderson, Jordan - LIV","FA","ARS Wed 8:00PM","309.71","309.71","1","1","90","0","0","5","0","0","0","0","0","3","3","0","21","1","1","0","0","0","0","0","0","0","62","44","71.0","18","2","1","1","0","0","0","1","0","1","0","5","2","1","0","0","0","0","6","3","3","0","0","0","0","0","0","24","0","0","0","0","0","0","0","0","0","7","1","1","0","0"
"19","D","Koscielny, Laurent - ARS","FA","@LIV Wed 8:00PM","308.76","308.76","1","1","90","0","0","0","0","0","0","0","0","3","1","0","15","2","1","0","0","0","0","0","0","0","58","44","75.9","4","0","0","0","0","0","0","3","0","4","1","7","6","0","0","0","0","1","11","4","7","1","0","0","0","0","0","16","0","0","0","0","0","0","0","4","14","14","0","0","1","0"
"20","D","Clyne, Nathaniel - LIV","FA","ARS Wed 8:00PM","308.74","308.74","1","1","90","0","0","1","0","0","0","0","0","2","1","0","24","1","1","0","0","0","0","0","0","0","58","43","74.1","14","5","0","5","0","0","1","0","0","0","0","3","3","1","0","0","0","0","4","4","1","1","0","0","0","0","0","24","0","0","0","0","0","0","0","0","7","7","1","1","0","0"
"21","M","Fernandinho - MCI","FA","EVE Wed 7:45PM","306.93","306.93","1","1","90","0","0","0","0","0","0","0","0","2","1","0","6","0","0","0","0","0","0","0","0","0","84","78","92.9","15","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","0","3","2","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","1","0","11","0","1","0","0"
"22","D","Fuchs, Christian - LEIC","FA","@TOT Wed 8:00PM","305.72","305.72","1","1","90","0","0","1","0","0","0","0","0","4","3","0","22","1","0","0","0","0","0","0","0","0","29","21","72.4","7","6","1","5","4","0","0","0","0","2","0","9","7","0","0","0","0","1","7","3","3","0","0","0","0","0","0","24","0","0","0","0","0","0","0","1","26","26","0","0","1","0"
"23","D","Ivanovic, Branislav - CHE","FA","WBA Wed 7:45PM","303.9","303.9","1","1","90","0","0","2","2","0","0.0","0","2","1","1","0","11","0","1","0","0","0","0","0","0","0","58","52","89.7","18","2","0","2","0","0","1","1","0","0","0","0","0","2","1","0","1","0","5","8","2","3","0","0","0","0","0","11","0","0","0","0","0","0","0","2","12","12","0","0","0","1"
"24","M","Sissoko, Moussa - NEW","FA","MUN Tue 7:45PM","303.67","303.67","1","1","90","0","0","3","0","0","0","0","0","0","0","0","23","1","1","0","0","0","0","0","0","0","49","33","67.3","17","4","2","2","0","0","2","0","0","3","0","1","1","5","2","0","0","1","5","7","2","1","1","0","0","0","0","23","0","0","0","0","0","0","0","1","0","20","0","0","1","0"
"25","F","Sterling, Raheem - MCI","FA","EVE Wed 7:45PM","303.35","303.35","1","1","90","1","0","2","2","1","0.5","0","1","2","1","0","19","2","2","1","0","0","0","0","0","2","47","40","85.1","22","1","0","1","0","0","0","0","0","0","0","0","0","6","3","0","0","0","8","9","1","1","0","0","0","0","0","19","0","0","0","0","0","0","0","1","0","11","0","1","0","0"
"26","D","Bellerín, Héctor - ARS","FA","@LIV Wed 8:00PM","302.89","302.89","1","1","90","0","0","0","0","0","0","0","0","1","1","0","13","0","0","0","0","0","0","0","0","0","61","54","88.5","14","3","1","2","0","0","1","0","0","2","0","2","2","1","1","0","0","1","4","3","2","1","0","0","0","0","0","13","0","0","0","0","0","0","0","4","14","14","0","0","1","0"
"27","D","Moreno, Alberto - LIV","FA","ARS Wed 8:00PM","302.79","302.79","1","1","90","0","0","3","2","0","0.0","0","2","2","1","0","20","1","0","0","0","0","0","0","0","0","48","38","79.2","15","7","2","5","2","1","0","1","0","4","0","2","1","0","0","0","1","0","4","5","2","1","0","0","0","0","0","21","0","0","0","0","0","0","0","0","7","7","1","1","0","0"
"28","M","Ritchie, Matt - BOUR","FA","WHU Tue 7:45PM","301.63","301.63","1","1","90","0","0","1","0","0","0","0","0","3","3","0","28","0","2","0","0","0","0","0","0","0","43","27","62.8","9","10","1","9","7","1","2","2","0","1","0","2","1","0","0","0","1","0","6","7","1","3","0","0","0","0","0","29","0","0","0","0","0","0","0","0","0","8","1","0","0","1"
"29","D,M","Blind, Daley - MUN","FA","@NEW Tue 7:45PM","297.85","297.85","1","1","90","0","0","0","0","0","0","0","0","3","3","0","21","1","0","0","0","0","0","0","0","0","40","34","85.0","10","8","1","7","6","0","1","0","0","3","1","2","0","0","0","0","2","0","4","4","1","1","0","0","0","0","0","23","0","0","0","0","0","0","0","2","13","13","0","0","1","0"
