"Rk","Pos","Player","Sta","Opp (GMT)","FPts","FP/G","G/90M","G/G","A/G","A/90M","ABS","AFKG","AHW","AOG","APL","APKG","AR","ASOP","Pts","Pt/G","Pt/90M","Sh/G","Sh/90M","ShG/G","ShG/90M","FC/G","FS/G","RCR","DPt","6S","Off/G","Off/90M","HT","GAD","GAF","GAM","CSD","CSF","CSM"
"1","M","Josh Onomah - TOT","WW","WHU Sun 4:00PM","182","182","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","1.0","90.0","1.0","90.0","0.0","0.0","0","0","0","0.0","0.0","0","0","0","0","0","0","0"
"2","F","Crouch, Peter - STK","FA","@SOU Sat 3:00PM","95","95","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","0.0","0","2","0","1.0","90.0","0","0","0","0","0","0","0"
"3","F","Ighalo, Odion - WAT","FA","MUN Sat 12:45PM","41.7","41.7","2.1","2.0","0.0","0.0","0","0","0","0","0","0","0","0","2","2.0","2.1","6.0","6.3","4.0","4.2","2.0","4.0","0","2","0","1.0","1.0","0","0","0","0","0","1","0"
"4","F","Lambert, Rickie - WBA","FA","ARS Sat 3:00PM","39.14","39.14","6.4","1.0","0.0","0.0","0","0","0","0","0","0","0","0","1","1.0","6.4","2.0","12.9","1.0","6.4","0.0","0.0","0","0","0","0.0","0.0","0","0","1","0","0","0","0"
"5","F","Koné, Arouna - EVE","FA","AVL Sat 3:00PM","38","38","3.0","3.0","1.0","1.0","0","0","0","0","0","0","0","0","4","4.0","4.0","4.0","4.0","3.0","3.0","0.0","1.0","0","0","0","0.0","0.0","1","0","0","2","0","0","0"
"6","F","Lukaku, Romelu - EVE","FA","AVL Sat 3:00PM","34.85","34.85","1.2","1.0","2.0","2.3","0","0","0","0","0","0","0","0","3","3.0","3.5","3.0","3.5","3.0","3.5","2.0","0.0","0","2","0","0.0","0.0","0","0","2","0","0","0","0"
"7","F","Defoe, Jermain - SUN","FA","@CRY Mon 8:00PM","34","34","1.0","1.0","0.0","0.0","0","0","0","0","0","0","0","0","1","1.0","1.0","5.0","5.0","4.0","4.0","0.0","2.0","0","3","0","0.0","0.0","0","0","6","0","0","0","0"
"8","F","Benteke, Christian - LIV","FA","@MCI Sat 5:30PM","33.77","33.77","3.5","1.0","1.0","3.5","0","0","0","0","0","0","0","0","2","2.0","6.9","1.0","3.5","1.0","3.5","1.0","0.0","0","4","0","0.0","0.0","0","0","0","0","0","0","0"
"9","M","Coutinho, Philippe - LIV","FA","@MCI Sat 5:30PM","29","29","2.0","2.0","0.0","0.0","0","0","0","0","0","0","0","0","2","2.0","2.0","4.0","4.0","2.0","2.0","1.0","1.0","0","4","0","0.0","0.0","0","0","0","1","0","0","0"
"10","F","Fletcher, Steven - SUN","FA","@CRY Mon 8:00PM","27.8","27.8","1.2","1.0","0.0","0.0","0","0","0","0","0","0","0","0","1","1.0","1.2","4.0","4.8","3.0","3.6","1.0","0.0","0","1","0","0.0","0.0","0","0","5","0","0","0","0"
"11","D","Lascelles, Jamaal - NEW","FA","LEIC Sat 3:00PM","27.71","27.71","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","1.0","12.9","1.0","12.9","0.0","0.0","0","0","0","0.0","0.0","0","0","0","0","0","0","0"
"12","F","Bony, Wilfried - MCI","FA","LIV Sat 5:30PM","27","27","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","9.0","9.0","1.0","1.0","1.0","2.0","0","1","0","1.0","1.0","0","0","1","0","0","0","0"
