"Rk","Pos","Player","Sta","Opp (GMT)","FPts","FP/G","G/90M","G/G","A/G","A/90M","ABS","AFKG","AHW","AOG","APL","APKG","AR","ASOP","Pts","Pt/G","Pt/90M","Sh/G","Sh/90M","ShG/G","ShG/90M","FC/G","FS/G","RCR","DPt","6S","Off/G","Off/90M","HT","GAD","GAF","GAM","CSD","CSF","CSM"
"1","F","Jelavic, Nikica - WHU","WW","WBA Sun 2:05PM","63","63","0.0","0.0","1.0","18.0","0","0","0","0","0","0","0","0","1","1.0","18.0","0.0","0.0","0.0","0.0","1.0","0.0","0","4","0","1.0","18.0","0","0","0","0","0","0","0"
"2","F","Cissé, Papiss Demba - NEW","FA","@CRY Sat 3:00PM","46","46","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","1.0","45.0","0","0","0","0","0","0","0"
"3","M","Wijnaldum, Georginio - NEW","FA","@CRY Sat 3:00PM","46","46","4.0","4.0","0.0","0.0","0","0","0","0","0","0","0","0","4","4.0","4.0","5.0","5.0","4.0","4.0","1.0","3.0","0","1","0","0.0","0.0","1","0","0","2","0","0","0"
"4","F","Vardy, Jamie - LEIC","FA","MUN Sat 5:30PM","41","41","2.0","2.0","0.0","0.0","0","0","0","0","0","0","0","0","2","2.0","2.0","10.0","10.0","4.0","4.0","0.0","1.0","0","0","0","0.0","0.0","0","0","2","0","0","0","0"
"5","F","Giroud, Olivier - ARS","FA","@NOR Sun 4:15PM","40.69","40.69","3.5","1.0","0.0","0.0","0","0","0","0","0","0","0","0","1","1.0","3.5","3.0","10.4","2.0","6.9","2.0","0.0","0","2","0","1.0","3.5","0","0","0","0","0","0","0"
"6","F","Sterling, Raheem - MCI","FA","SOU Sat 3:00PM","37.31","37.31","3.5","3.0","0.0","0.0","0","0","0","0","0","0","0","0","3","3.0","3.5","6.0","6.9","3.0","3.5","0.0","0.0","0","0","0","0.0","0.0","1","0","0","1","0","0","0"
"7","F","Bony, Wilfried - MCI","FA","SOU Sat 3:00PM","37","37","2.0","2.0","1.0","1.0","0","0","0","0","0","0","0","0","3","3.0","3.0","5.0","5.0","4.0","4.0","0.0","1.0","0","0","0","1.0","1.0","0","0","1","0","0","0","0"
"8","M","Payet, Dimitri - WHU","FA","WBA Sun 2:05PM","29","29","1.0","1.0","0.0","0.0","0","0","0","0","0","0","0","0","1","1.0","1.0","5.0","5.0","2.0","2.0","2.0","2.0","0","5","0","0.0","0.0","0","0","0","1","0","0","0"
"9","M","Redmond, Nathan - NOR","FA","ARS Sun 4:15PM","29","29","1.0","1.0","0.0","0.0","0","0","0","0","0","0","0","0","1","1.0","1.0","5.0","5.0","1.0","1.0","1.0","2.0","0","1","0","1.0","1.0","0","0","0","6","0","0","0"
"10","F","Ayoze Pérez - NEW","FA","@CRY Sat 3:00PM","27","27","1.0","1.0","1.0","1.0","0","0","0","0","0","0","0","0","2","2.0","2.0","4.0","4.0","1.0","1.0","1.0","1.0","0","1","0","1.0","1.0","0","0","2","0","0","0","0"
"11","M","Ramsey, Aaron - ARS","FA","@NOR Sun 4:15PM","26","26","1.0","1.0","0.0","0.0","0","0","0","0","0","0","0","0","1","1.0","1.0","6.0","6.0","1.0","1.0","1.0","4.0","0","1","0","0.0","0.0","0","0","0","0","0","0","1"
"12","M","Herrera, Ander - MUN","FA","@LEIC Sat 5:30PM","25.89","25.89","1.1","1.0","1.0","1.1","0","0","0","0","0","0","0","0","2","2.0","2.2","2.0","2.2","2.0","2.2","2.0","2.0","0","2","0","0.0","0.0","0","0","0","0","0","0","1"
"13","M","Barkley, Ross - EVE","FA","@BOUR Sat 3:00PM","25","25","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","5.0","5.0","2.0","2.0","2.0","4.0","0","2","0","0.0","0.0","0","0","0","3","0","0","0"
"14","F","Lukaku, Romelu - EVE","FA","@BOUR Sat 3:00PM","24","24","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","4.0","4.0","1.0","1.0","3.0","2.0","0","6","0","0.0","0.0","0","0","3","0","0","0","0"
"15","F","Diego Costa - CHE","FA","@TOT Sun 12:00PM","23","23","1.0","1.0","0.0","0.0","0","0","0","0","1","0","0","0","1","1.0","1.0","2.0","2.0","2.0","2.0","2.0","2.0","0","2","0","1.0","1.0","0","0","0","0","0","1","0"
"16","M","Lanzini, Manuel - WHU","WW","WBA Sun 2:05PM","23","23","1.0","1.0","1.0","1.0","0","0","0","0","0","0","0","0","2","2.0","2.0","4.0","4.0","1.0","1.0","1.0","0.0","0","1","0","0.0","0.0","0","0","0","1","0","0","0"
"17","F","Dieumerci Mbokani - NOR","WW","ARS Sun 4:15PM","23","23","1.0","1.0","0.0","0.0","0","0","0","0","0","0","0","0","1","1.0","1.0","3.0","3.0","2.0","2.0","0.0","2.0","0","0","0","0.0","0.0","0","0","6","0","0","0","0"
"18","M,F","De Bruyne, Kevin - MCI","WW","SOU Sat 3:00PM","22.16","22.16","0.0","0.0","1.0","1.5","0","0","0","0","0","0","0","0","1","1.0","1.5","3.0","4.4","2.0","2.9","1.0","1.0","0","1","0","0.0","0.0","0","0","0","1","0","0","0"
"19","F","Rooney, Wayne - MUN","FA","@LEIC Sat 5:30PM","22","22","1.0","1.0","0.0","0.0","0","0","0","0","0","0","0","0","1","1.0","1.0","4.0","4.0","2.0","2.0","2.0","0.0","0","2","0","0.0","0.0","0","0","0","0","0","1","0"
"20","F","Berahino, Saido - WBA","FA","@WHU Sun 2:05PM","21.97","21.97","1.1","1.0","0.0","0.0","0","0","0","0","0","0","0","0","1","1.0","1.1","2.0","2.3","2.0","2.3","2.0","1.0","0","2","0","1.0","1.1","0","0","0","0","0","1","0"
"21","F","Murray, Glenn - BOUR","FA","EVE Sat 3:00PM","21.3","21.3","1.2","1.0","0.0","0.0","0","0","0","0","0","0","0","0","1","1.0","1.2","2.0","2.4","1.0","1.2","1.0","1.0","0","1","0","1.0","1.2","0","0","4","0","0","0","0"
"22","M","Willian - CHE","FA","@TOT Sun 12:00PM","21.04","21.04","0.0","0.0","1.0","1.0","0","0","0","0","0","0","0","0","1","1.0","1.0","1.0","1.0","1.0","1.0","2.0","4.0","0","5","0","0.0","0.0","0","0","0","0","0","0","1"
"23","D","Olsson, Martin - NOR","FA","ARS Sun 4:15PM","20.29","20.29","0.0","0.0","2.0","2.1","0","0","0","0","0","0","0","0","2","2.0","2.1","0.0","0.0","0.0","0.0","2.0","1.0","0","2","0","0.0","0.0","0","5","0","0","0","0","0"
