"Rk","Pos","Player","Sta","Opp (GMT)","FPts","FP/G","G/90M","G/G","A/G","A/90M","ABS","AFKG","AHW","AOG","APL","APKG","AR","ASOP","Pts","Pt/G","Pt/90M","Sh/G","Sh/90M","ShG/G","ShG/90M","FC/G","FS/G","RCR","DPt","6S","Off/G","Off/90M","HT","GAD","GAF","GAM","CSD","CSF","CSM"
"1","M","Guédioura, Adlène - WAT","WW","NOR Sat 3:00PM","49","49","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","2.0","20.0","2.0","20.0","2.0","0.0","0","2","0","0.0","0.0","0","0","0","1","0","0","0"
"2","M","Bolasie, Yannick - CRY","FA","@EVE Mon 8:00PM","33","33","2.0","2.0","0.0","0.0","0","0","0","0","0","0","0","0","2","2.0","2.0","5.0","5.0","3.0","3.0","0.0","2.0","0","0","0","2.0","2.0","0","0","0","1","0","0","0"
"3","F","Zárate, Mauro - WHU","FA","@MUN Sat 3:00PM","31.07","31.07","1.1","1.0","0.0","0.0","0","0","0","0","0","0","0","0","1","1.0","1.1","6.0","6.6","3.0","3.3","1.0","4.0","0","1","0","0.0","0.0","0","0","0","1","0","0","0"
"4","M","Mané, Sadio - SOU","FA","AVL Sat 3:00PM","30","30","0.0","0.0","1.0","1.0","0","0","0","0","0","0","0","0","1","1.0","1.0","2.0","2.0","2.0","2.0","2.0","6.0","0","2","0","2.0","2.0","0","0","0","3","0","0","0"
"5","F","Long, Shane - SOU","FA","AVL Sat 3:00PM","28","28","1.0","1.0","0.0","0.0","0","0","0","0","0","0","0","0","1","1.0","1.0","3.0","3.0","2.0","2.0","3.0","2.0","0","3","0","1.0","1.0","0","0","3","0","0","0","0"
"6","M","Stanislas, Junior - BOUR","FA","@CHE Sat 5:30PM","27","27","2.0","2.0","0.0","0.0","0","0","0","0","0","0","0","0","2","2.0","2.0","4.0","4.0","2.0","2.0","1.0","0.0","0","1","0","0.0","0.0","0","0","0","3","0","0","0"
"7","F","Ayew, Jordan - AVL","WW","@SOU Sat 3:00PM","26","26","1.0","1.0","0.0","0.0","0","0","0","0","0","0","0","0","1","1.0","1.0","4.0","4.0","3.0","3.0","1.0","0.0","0","1","0","1.0","1.0","0","0","3","0","0","0","0"
"8","F","Deeney, Troy - WAT","FA","NOR Sat 3:00PM","26","26","1.0","1.0","0.0","0.0","0","0","0","0","1","0","0","0","1","1.0","1.0","5.0","5.0","1.0","1.0","1.0","1.0","0","4","0","0.0","0.0","0","0","0","2","0","0","0"
"9","M","Zaha, Wilfried - CRY","FA","@EVE Mon 8:00PM","25.06","25.06","1.3","1.0","0.0","0.0","0","0","0","0","0","0","0","0","1","1.0","1.3","3.0","4.0","1.0","1.3","2.0","2.0","0","5","0","0.0","0.0","0","0","0","1","0","0","0"
"10","F","King, Joshua - BOUR","FA","@CHE Sat 5:30PM","24","24","0.0","0.0","1.0","1.0","0","0","0","0","0","0","0","0","1","1.0","1.0","2.0","2.0","1.0","1.0","2.0","2.0","0","2","0","2.0","2.0","0","0","3","0","0","0","0"
"11","M","McArthur, James - CRY","FA","@EVE Mon 8:00PM","24","24","2.0","2.0","0.0","0.0","0","0","0","0","0","0","0","0","2","2.0","2.0","3.0","3.0","2.0","2.0","1.0","1.0","0","1","0","0.0","0.0","0","0","0","1","0","0","0"
"12","F","Bamford, Patrick - CRY","FA","@EVE Mon 8:00PM","23.5","23.5","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","1.0","22.5","0","0","0","0","0","0","0"
"13","D","Kolarov, Aleksandar - MCI","FA","@STK Sat 12:45PM","22","22","1.0","1.0","0.0","0.0","0","0","0","0","0","0","0","0","1","1.0","1.0","3.0","3.0","2.0","2.0","1.0","1.0","0","4","0","0.0","0.0","0","1","0","0","0","0","0"
"14","M","Özil, Mesut - ARS","FA","SUN Sat 3:00PM","22","22","1.0","1.0","0.0","0.0","0","0","0","0","0","0","0","0","1","1.0","1.0","5.0","5.0","2.0","2.0","1.0","0.0","0","1","0","0.0","0.0","0","0","0","1","0","0","0"
"15","M","Johnson, Adam - SUN","FA","@ARS Sat 3:00PM","21.88","21.88","0.0","0.0","1.0","5.6","0","0","0","0","0","0","0","0","1","1.0","5.6","1.0","5.6","0.0","0.0","0.0","1.0","0","0","0","0.0","0.0","0","0","0","0","0","0","0"
"16","F","Ighalo, Odion - WAT","FA","NOR Sat 3:00PM","21","21","1.0","1.0","0.0","0.0","0","0","0","0","0","0","1","0","1","1.0","1.0","3.0","3.0","2.0","2.0","1.0","1.0","0","1","0","0.0","0.0","0","0","2","0","0","0","0"
"17","M","Odjidja-Ofoe, Vadis - NOR","WW","@WAT Sat 3:00PM","21","21","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","1.0","18.0","0.0","0.0","1.0","0.0","0","1","0","0.0","0.0","0","0","0","0","0","0","0"
"18","M","Son Heung-Min - TOT","WW","@WBA Sat 3:00PM","20.4","20.4","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","4.0","4.8","2.0","2.4","1.0","2.0","0","1","0","1.0","1.2","0","0","0","0","0","0","1"
"19","F","Wickham, Connor - CRY","FA","@EVE Mon 8:00PM","20.33","20.33","0.0","0.0","2.0","2.1","0","0","0","0","0","0","0","0","2","2.0","2.1","3.0","3.1","0.0","0.0","1.0","1.0","0","1","0","0.0","0.0","0","0","1","0","0","0","0"
"20","M","Barkley, Ross - EVE","FA","CRY Mon 8:00PM","20","20","1.0","1.0","1.0","1.0","0","0","0","0","0","0","0","0","2","2.0","2.0","2.0","2.0","1.0","1.0","0.0","1.0","0","0","0","0.0","0.0","0","0","0","3","0","0","0"
"21","F","Cissé, Papiss Demba - NEW","FA","LIV Sun 4:00PM","20","20","1.0","1.0","0.0","0.0","0","0","0","0","0","0","0","0","1","1.0","1.0","3.0","3.0","1.0","1.0","0.0","0.0","0","0","0","1.0","1.0","0","0","5","0","0","0","0"
"22","M,F","De Bruyne, Kevin - MCI","WW","@STK Sat 12:45PM","20","20","1.0","1.0","2.0","2.0","0","0","0","0","0","0","0","0","3","3.0","3.0","1.0","1.0","1.0","1.0","0.0","0.0","0","0","0","0.0","0.0","0","0","0","1","0","0","0"
"23","F","Kane, Harry - TOT","FA","@WBA Sat 3:00PM","20","20","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","4.0","4.0","1.0","1.0","3.0","0.0","0","6","0","0.0","0.0","0","0","0","0","0","1","0"
"24","F","Lukaku, Romelu - EVE","FA","CRY Mon 8:00PM","20","20","1.0","1.0","0.0","0.0","0","0","0","0","0","0","0","0","1","1.0","1.0","4.0","4.0","2.0","2.0","0.0","0.0","0","0","0","0.0","0.0","0","0","3","0","0","0","0"
"25","M","Milner, James - LIV","FA","@NEW Sun 4:00PM","20","20","1.0","1.0","0.0","0.0","0","0","0","0","0","0","0","0","1","1.0","1.0","2.0","2.0","1.0","1.0","2.0","1.0","0","5","0","0.0","0.0","0","0","0","0","0","0","1"
"26","D","Daniels, Charlie - BOUR","FA","@CHE Sat 5:30PM","19","19","0.0","0.0","1.0","1.0","0","0","0","0","0","0","0","0","1","1.0","1.0","3.0","3.0","1.0","1.0","0.0","0.0","0","3","0","0.0","0.0","0","3","0","0","0","0","0"
"27","M","Fernandinho - MCI","FA","@STK Sat 12:45PM","19","19","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","2.0","2.0","1.0","1.0","5.0","2.0","0","5","0","0.0","0.0","0","0","0","1","0","0","0"
"28","D","Smith, Adam - BOUR","FA","@CHE Sat 5:30PM","19","19","2.0","1.0","0.0","0.0","0","0","0","0","0","0","0","0","1","1.0","2.0","1.0","2.0","1.0","2.0","2.0","1.0","0","2","0","0.0","0.0","0","1","0","0","0","0","0"
"29","F","Walters, Jonathan - STK","FA","MCI Sat 12:45PM","19","19","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","3.0","3.0","2.0","2.0","1.0","1.0","0","1","0","2.0","2.0","0","0","2","0","0","0","0"
"30","F","Sánchez, Alexis - ARS","FA","SUN Sat 3:00PM","18.5","18.5","0.0","0.0","1.0","1.5","0","0","0","0","0","0","0","0","1","1.0","1.5","2.0","3.0","1.0","1.5","1.0","2.0","0","1","0","0.0","0.0","0","0","0","1","0","0","0"
"31","F","Grabban, Lewis - NOR","FA","@WAT Sat 3:00PM","18.41","18.41","1.1","1.0","0.0","0.0","0","0","0","0","0","0","0","0","1","1.0","1.1","1.0","1.1","1.0","1.1","1.0","0.0","0","1","0","3.0","3.2","0","0","1","0","0","0","0"
"32","M","Schweinsteiger, Bastian - MUN","WW","WHU Sat 3:00PM","18","18","1.0","1.0","0.0","0.0","0","0","0","0","0","0","0","0","1","1.0","1.0","4.0","4.0","2.0","2.0","0.0","0.0","0","0","0","0.0","0.0","0","0","0","1","0","0","0"
"33","F","Watmore, Duncan - SUN","WW","@ARS Sat 3:00PM","17.63","17.63","1.5","1.0","0.0","0.0","0","0","0","0","0","0","0","0","1","1.0","1.5","2.0","3.1","1.0","1.5","1.0","2.0","0","1","0","0.0","0.0","0","0","0","0","0","0","0"
"34","F","Lens, Jeremain - SUN","WW","@ARS Sat 3:00PM","17.5","17.5","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","5.0","12.5","0.0","0.0","0.0","0.0","0","0","0","0.0","0.0","0","0","0","0","0","0","0"
"35","M","Veretout, Jordan - AVL","WW","@SOU Sat 3:00PM","17","17","0.0","0.0","1.0","1.0","0","0","0","0","0","0","0","0","1","1.0","1.0","1.0","1.0","0.0","0.0","2.0","3.0","0","2","0","0.0","0.0","0","0","0","3","0","0","0"
"36","M","O'Neil, Gary - NOR","FA","@WAT Sat 3:00PM","16","16","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","1.0","1.0","0.0","0.0","4.0","2.0","0","7","0","0.0","0.0","0","0","0","1","0","0","0"
"37","M","Ritchie, Matt - BOUR","FA","@CHE Sat 5:30PM","16","16","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","3.0","3.0","3.0","3.0","0.0","1.0","0","0","0","0.0","0.0","0","0","0","3","0","0","0"
"38","M","Tadic, Dusan - SOU","FA","AVL Sat 3:00PM","16","16","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","2.0","4.0","2.0","4.0","0.0","0.0","0","0","0","1.0","2.0","0","0","0","1","0","0","0"
"39","M","Wanyama, Victor - SOU","FA","AVL Sat 3:00PM","16","16","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","2.0","2.0","1.0","1.0","2.0","1.0","0","2","0","1.0","1.0","0","0","0","3","0","0","0"
"40","F","Sakho, Diafra - WHU","FA","@MUN Sat 3:00PM","15.65","15.65","0.0","0.0","0.0","0.0","0","1","0","0","0","0","0","0","0","0.0","0.0","3.0","3.6","0.0","0.0","2.0","3.0","0","2","0","0.0","0.0","0","0","1","0","0","0","0"
"41","M","Delph, Fabian - MCI","FA","@STK Sat 12:45PM","15.43","15.43","1.3","1.0","0.0","0.0","0","0","0","0","0","0","0","0","1","1.0","1.3","2.0","2.6","1.0","1.3","1.0","0.0","0","1","0","0.0","0.0","0","0","0","1","0","0","0"
"42","M","Gosling, Dan - BOUR","FA","@CHE Sat 5:30PM","15","15","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","2.0","2.0","1.0","1.0","1.0","1.0","0","4","0","0.0","0.0","0","0","0","3","0","0","0"
"43","M","Hazard, Eden - CHE","FA","BOUR Sat 5:30PM","15","15","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","2.0","2.0","1.0","1.0","1.0","2.0","0","1","0","2.0","2.0","0","0","0","0","0","1","0"
"44","F","Rondón, Salomón - WBA","WW","TOT Sat 3:00PM","15","15","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","2.0","2.0","1.0","1.0","3.0","0.0","0","3","0","1.0","1.0","0","0","1","0","0","0","0"
"45","F","Sterling, Raheem - MCI","FA","@STK Sat 12:45PM","15","15","0.0","0.0","1.0","1.2","0","0","0","0","0","0","0","0","1","1.0","1.2","2.0","2.4","1.0","1.2","0.0","2.0","0","0","0","0.0","0.0","0","0","0","1","0","0","0"
"46","M","Sánchez, Carlos - AVL","FA","@SOU Sat 3:00PM","15","15","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","2.0","2.0","1.0","1.0","1.0","1.0","0","4","0","0.0","0.0","0","0","0","3","0","0","0"
"47","M","Yacob, Claudio - WBA","FA","TOT Sat 3:00PM","15","15","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","0.0","4.0","3.0","0","7","0","0.0","0.0","0","0","0","1","0","0","0"
