"Rk","Pos","Player","Sta","Opp (GMT)","FPts","FP/G","GP","GS","Min","G","A","ASh","Sh","SOG","SA","SOP","SB","Tk","TkW","TLM","PLC","FC","FS","YC","SYC","RC","HB","Pen","DP","Off","Pa","APa","Pc%","SFTP","Cr","ACr","CF","CK","CIB","CF","CC","FKS","Int","IntB","ClA","ClS","CoA","CoS","CSLM","BCr","BS","DW","DL","AW","AL","BCC","BCM","BCS","FKG","FKM","PL","SubOn","SubOff","PKG","PKA","PKM","PKD","GON","GA","ShA","ShA","CS","W","L","T"
"1","M","M'Vila, Yann - SUN","WW","@CHE Sat 3:00PM","378.8","378.8","1","1","90","0","0","1","0","0","0","0","0","1","0","0","28","2","2","0","0","0","0","0","0","0","74","59","79.7","10","15","3","12","8","1","2","0","0","5","2","5","5","0","0","0","0","0","3","4","0","1","0","0","0","0","0","28","0","0","0","0","0","0","0","1","0","13","0","0","1","0"
"2","M","Can, Emre - LIV","FA","@WAT Sun 1:30PM","370.86","370.86","1","1","90","0","0","4","1","1","1.0","0","0","3","3","0","15","3","0","0","0","0","0","0","1","0","90","77","85.6","30","0","0","0","0","0","0","1","0","4","0","0","0","2","2","0","0","0","6","8","1","3","0","0","0","0","0","15","0","0","0","0","0","0","0","2","0","4","0","0","0","1"
"3","M","Henderson, Jordan - LIV","FA","@WAT Sun 1:30PM","356.17","356.17","1","1","90","1","1","1","5","2","0.4","0","1","0","0","0","23","0","0","0","0","0","0","0","0","0","83","64","77.1","30","4","0","4","0","0","0","0","0","0","0","0","0","2","2","0","0","0","2","2","0","1","0","0","1","0","0","23","0","0","0","0","0","0","0","2","0","4","0","0","0","1"
"4","M","Ramsey, Aaron - ARS","FA","MCI Mon 8:00PM","352.24","352.24","1","1","90","1","0","1","3","1","0.3","0","1","5","5","0","14","2","0","0","0","0","0","0","0","0","78","71","91.0","15","1","0","1","0","0","0","0","0","2","2","0","0","1","1","0","0","0","7","6","1","1","0","0","1","0","0","14","0","0","0","0","0","0","0","0","0","18","1","1","0","0"
"5","M","Yaya Touré - MCI","FA","@ARS Mon 8:00PM","345.33","345.33","1","1","90","0","1","2","5","2","0.4","0","2","3","2","0","11","2","1","0","0","0","0","0","0","0","73","68","93.2","18","0","0","0","0","0","1","0","2","1","0","1","1","7","5","0","0","0","10","7","1","0","0","0","0","0","0","11","0","0","0","0","0","0","0","1","0","13","0","1","0","0"
"6","M","Willian - CHE","FA","SUN Sat 3:00PM","335.89","335.89","1","1","90","0","0","3","1","0","0.0","0","1","1","1","0","26","0","3","0","0","0","0","0","0","0","45","40","88.9","19","13","2","11","8","2","3","0","1","0","0","0","0","3","3","0","0","0","7","10","0","2","0","0","0","0","0","26","0","0","0","0","0","0","0","2","0","9","0","0","1","0"
"7","D","Rangel, Angel - SWA","FA","WHU Sun 4:00PM","329.87","329.87","1","1","90","0","0","0","1","0","0.0","0","1","1","1","0","15","1","1","0","0","0","0","0","0","1","75","65","86.7","11","3","1","2","0","0","0","1","0","0","0","3","2","0","0","0","1","0","4","3","2","0","0","0","0","0","0","16","0","0","0","0","0","0","0","2","13","13","0","0","1","0"
"8","M","Matic, Nemanja - CHE","FA","SUN Sat 3:00PM","329.84","329.84","1","1","90","0","0","0","2","0","0.0","1","1","1","1","0","18","1","1","0","0","0","0","0","0","0","74","62","83.8","6","0","0","0","0","0","0","0","0","9","1","3","3","1","1","0","0","0","6","10","3","2","0","0","0","0","0","18","0","0","0","0","0","0","0","2","0","9","0","0","1","0"
"9","D","Clichy, Gaël - MCI","FA","@ARS Mon 8:00PM","328.81","328.81","1","1","90","0","0","0","0","0","0","0","0","2","2","0","18","2","1","0","0","0","0","0","0","0","63","51","81.0","25","2","0","2","0","0","0","0","0","5","0","2","2","1","1","0","0","1","6","3","2","0","0","0","0","0","0","18","0","0","0","0","0","0","0","1","13","13","0","1","0","0"
"10","M","Milner, James - LIV","FA","@WAT Sun 1:30PM","328.72","328.72","1","1","90","0","0","2","4","0","0.0","0","2","4","3","0","25","1","0","0","0","0","0","0","0","0","65","47","72.3","21","6","2","4","0","0","0","1","0","1","0","1","1","0","0","0","0","0","5","5","1","3","0","0","0","0","0","25","0","0","0","0","0","0","0","2","0","4","0","0","0","1"
