Team,Name,6S,A,A/90M,A/G,ABS,ACr,AFKG,AHW,AL,AOG,APKG,APL,APa,AR,ASOP,ASh,AW,BCC,BCM,BCS,BCr,BS,CC,CF,CF.1,CIB,CK,CS,CSD,CSF,CSLM,CSM,ClA,ClS,CoA,CoS,Cr,DL,DP,DPt,DW,FC,FC/G,FKG,FKM,FKS,FS,FS/G,G,G/90M,G/G,GA,GAD,GAF,GAIB,GAM,GAOB,GON,GP,GS,HB,HCA,HCS,HT,Int,IntB,L,Min,OO,Off,Off/90M,Off/G,PKA,PKD,PKF,PKG,PKGA,PKM,PKS,PL,PLC,Pa,Pc%,Pen,Player,Pos,Pt/90M,Pt/G,Pts,Pu,RC,RCR,SA,SB,SFTP,SOG,SOP,SYC,Sh,Sh/90M,Sh/G,ShA,ShA.1,ShG/90M,ShG/G,Sm,Sta,SubOff,SubOn,Sv,Sv%,SvIB,SvOB,T,TLM,Tk,TkW,W,YC
CHE,"FÌÊbregas, Cesc",0,0,0,0,0,1,0,0,2,0,0,0,68,0,0,2,1,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,4,2,4,11,0,4,12,4,4,0,0,0,2,2,0,0,0,3,0,0,,3,,0,1,1,0,,,0,5,0,1,90,,0,0,0,0,0,,0,,0,,16,16,79,86.1,0,"FÌÊbregas, Cesc - CHE",M,0,0,0,,0,0,0,0,26,0,0,0,1,1,1,0,18,0,0,,FA,0,0,,,,,0,0,7,5,0,0
WAT,"Capoue, Etienne",0,0,0,0,0,1,0,0,3,0,0,0,72,0,0,2,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,2,6,5,1,10,0,3,13,3,3,0,0,0,2,2,0,0,0,0,0,0,,0,,0,1,1,0,,,0,2,0,0,90,,0,0,0,0,0,,0,,0,,17,17,83,86.7,0,"Capoue, Etienne - WAT",M,0,0,0,,0,0,0,1,25,0,0,0,1,1,1,0,6,0,0,,FA,0,0,,,,,1,0,3,2,0,0
ARS,"Ramsey, Aaron",0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,6,0,1,7,1,1,0,0,0,2,2,0,0,0,1,0,0,,1,,0,1,1,0,,,0,0,0,0,90,,0,0,0,0,0,,0,,0,,25,25,78,76.9,0,"Ramsey, Aaron - ARS",M,0,0,0,,0,0,0.5,1,28,2,0,0,4,4,4,0,11,2,2,,FA,0,0,,,,,0,0,4,4,1,0
SWA,"Williams, Ashley",0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,5,4,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,1,1,0,,,0,2,0,0,90,,0,0,0,0,0,,0,,0,,4,3,105,97.1,0,"Williams, Ashley - SWA",D,0,0,0,,0,0,0,0,15,0,0,0,0,0,0,4,4,0,0,,FA,0,0,,,,,0,0,3,3,1,0
SWA,"Shelvey, Jonjo",0,1,1,1,0,1,0,0,0,0,0,0,73,0,0,3,0,1,0,0,0,0,0,5,0,0,4,1,0,0,0,1,2,2,1,1,6,1,0,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,,0,1,1,0,,,0,1,0,0,90,,0,0,0,0,0,,0,,0,,18,18,83,88,0,"Shelvey, Jonjo - SWA",M,1,1,1,,0,0,0.4,2,17,2,0,0,5,5,5,0,4,2,2,,FA,0,0,,,,,0,0,2,2,1,0
WHU,"Payet, Dimitri",0,0,0,0,0,0,0,0,1,0,0,0,37,0,0,3,0,0,0,0,0,0,0,17,2,0,7,0,0,0,0,0,0,0,4,2,17,6,0,1,2,1,1,0,0,0,0,0,1,1,1,2,0,2,,0,,0,1,1,0,,,0,0,0,1,90,,0,0,0,0,0,,0,,0,,33,33,47,78.7,0,"Payet, Dimitri - WHU",M,1,1,1,,0,0,0.3,2,23,1,0,0,3,3,3,0,10,1,1,,FA,0,0,,,,,0,0,0,0,0,0
SWA,Federico FernÌÁndez,0,0,0,0,0,0,0,0,1,0,0,0,97,0,0,1,2,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,5,3,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,1,1,0,,,0,1,0,0,90,,0,0,0,0,0,,0,,0,,8,6,101,96,0,Federico FernÌÁndez - SWA,D,0,0,0,,0,0,0,0,12,0,0,0,0,0,0,4,4,0,0,,FA,0,0,,,,,0,0,0,0,1,0
WHU,"Ogbonna, Angelo",0,0,0,0,0,0,0,0,2,0,0,0,69,0,0,0,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,8,0,0,0,4,0,1,14,1,1,0,0,0,0,0,0,0,0,2,2,0,,0,,0,1,1,0,,,0,1,0,1,90,,0,0,0,0,0,,0,,0,,14,10,79,87.3,0,"Ogbonna, Angelo - WHU",D,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,10,10,0,0,,FA,0,0,,,,,0,0,2,1,0,0
NOR,"Brady, Robbie",0,0,0,0,0,3,0,0,1,0,0,0,34,1,0,3,0,0,0,0,0,0,0,6,1,0,5,0,0,0,0,0,1,1,4,3,9,6,0,0,6,0,0,0,0,1,0,0,0,0,0,1,1,0,,0,,0,1,1,0,,,0,2,0,0,90,,0,0,0,0,0,,0,,0,,33,33,50,68,0,"Brady, Robbie - NOR",M,0,0,0,,0,0,0.3,1,16,1,0,0,3,3,3,6,6,1,1,,WW,0,0,,,,,0,0,3,3,1,0
ARS,"Cazorla, Santiago",0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,,1,,0,1,1,0,,,0,3,0,0,90,,0,0,0,0,0,,0,,0,,12,11,82,91.5,0,"Cazorla, Santiago - ARS",M,0,0,0,,0,0,0.5,0,27,1,0,0,2,2,2,0,11,1,1,,FA,0,0,,,,,0,0,1,1,1,0
