Team,Name,6S,A,A/90M,A/G,ABS,ACr,AFKG,AHW,AL,AOG,APKG,APL,APa,AR,ASOP,ASh,AW,BCC,BCM,BCS,BCr,BS,CC,CF,CF.1,CIB,CK,CS,CSD,CSF,CSLM,CSM,ClA,ClS,CoA,CoS,Cr,DL,DP,DPt,DW,FC,FC/G,FKG,FKM,FKS,FS,FS/G,G,G/90M,G/G,GA,GAD,GAF,GAIB,GAM,GAOB,GON,GP,GS,HB,HCA,HCS,HT,Int,IntB,L,Min,OO,Off,Off/90M,Off/G,PKA,PKD,PKF,PKG,PKGA,PKM,PKS,PL,PLC,Pa,Pc%,Pen,Player,Pos,Pt/90M,Pt/G,Pts,Pu,RC,RCR,SA,SB,SFTP,SOG,SOP,SYC,Sh,Sh/90M,Sh/G,ShA,ShA.1,ShG/90M,ShG/G,Sm,Sta,SubOff,SubOn,Sv,Sv%,SvIB,SvOB,T,TLM,Tk,TkW,W,YC
ARS,"Ramsey, Aaron",0.0,0,0.0,0.0,0,1.0,0,0,0,0,0,0,80,0.0,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,2.0,2.0,3.0,4,0,2.0,5,2,2.0,0.0,0.0,0.0,1,1.0,0,0.0,0.0,4,0.0,0.0,,4.0,,0,1,1,0.0,,,0.0,2,0,1,90,,0.0,0.0,0.0,0.0,0,,0.0,,0.0,,15.0,15.0,89,89.9,0,"Ramsey, Aaron - ARS",M,0.0,0.0,0.0,,0,0,1.0,0.0,25,1.0,0.0,0,1.0,1.0,1.0,0,14,1.0,1.0,,FA,0,0,,,,,0,0.0,2.0,2.0,0,0
MCI,"Silva, David",0.0,1,1.0,1.0,0,1.0,0,0,1,0,0,0,64,0.0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0,0.0,0.0,0.0,0.0,0,0,5.0,4.0,3.0,8,0,1.0,6,1,1.0,0.0,0.0,0.0,1,1.0,0,0.0,0.0,1,0.0,0.0,,1.0,,0,1,1,0.0,,,0.0,0,0,0,90,,0.0,0.0,0.0,0.0,1,,0.0,,0.0,,22.0,22.0,77,83.1,0,"Silva, David - MCI",M,1.0,1.0,1.0,,0,0,0.3,0.0,30,1.0,0.0,0,3.0,3.0,3.0,0,11,1.0,1.0,,FA,0,0,,,,,0,0.0,1.0,0.0,1,0
MCI,"De Bruyne, Kevin",0.0,2,2.0,2.0,0,2.0,0,0,0,0,0,0,50,0.0,0,6,0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,2.0,1.0,2.0,0,0.0,0.0,0.0,0.0,0,0,5.0,4.0,7.0,4,0,0.0,7,0,0.0,0.0,0.0,0.0,1,1.0,1,1.0,1.0,1,0.0,0.0,,1.0,,0,1,1,0.0,,,0.0,1,0,0,90,,0.0,0.0,0.0,0.0,0,,0.0,,0.0,,25.0,25.0,62,80.6,0,"De Bruyne, Kevin - MCI","M,F",3.0,3.0,3.0,,0,0,0.7,1.0,26,2.0,0.0,0,3.0,3.0,3.0,0,11,2.0,2.0,,WW,0,0,,,,,0,0.0,2.0,2.0,1,0
CHE,Willian,0.0,1,1.0,1.0,0,1.0,0,0,0,0,0,0,44,0.0,0,4,1,0.0,0.0,0.0,0.0,0.0,0.0,11.0,6.0,1.0,8.0,0,0.0,0.0,0.0,0.0,0,0,3.0,1.0,12.0,6,0,0.0,4,0,0.0,0.0,0.0,2.0,1,1.0,0,0.0,0.0,2,0.0,0.0,,2.0,,0,1,1,0.0,,,0.0,1,0,0,90,,0.0,0.0,0.0,0.0,0,,0.0,,0.0,,26.0,26.0,54,81.5,0,Willian - CHE,M,1.0,1.0,1.0,,0,0,0.0,1.0,29,0.0,0.0,0,3.0,3.0,3.0,0,12,0.0,0.0,,FA,0,0,,,,,1,0.0,1.0,0.0,0,0
SWA,"Rangel, Angel",0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,59,1.0,0,0,1,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0,0,1.0,1.0,0.0,1,0,3.0,4,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,,0.0,,0,1,1,0.0,,,0.0,3,0,0,90,,0.0,0.0,0.0,0.0,0,,0.0,,0.0,,25.0,25.0,79,74.7,0,"Rangel, Angel - SWA",D,0.0,0.0,0.0,,0,0,0.0,0.0,12,0.0,1.0,0,2.0,2.0,2.0,9,9,0.0,0.0,,FA,0,0,,,,,0,0.0,2.0,2.0,1,1
EVE,"Barry, Gareth",0.0,0,0.0,0.0,0,1.0,0,0,0,0,0,0,67,0.0,0,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,1.0,2,2,1.0,1.0,1.0,4,0,5.0,12,2,2.0,0.0,0.0,0.0,3,3.0,0,0.0,0.0,0,0.0,0.0,,0.0,,0,1,1,0.0,,,0.0,1,0,0,90,,0.0,0.0,0.0,0.0,0,,0.0,,0.0,,14.0,14.0,79,84.8,0,"Barry, Gareth - EVE",M,0.0,0.0,0.0,,0,0,0.0,0.0,12,0.0,0.0,0,0.0,0.0,0.0,0,10,0.0,0.0,,FA,0,0,,,,,0,0.0,5.0,4.0,1,1
ARS,"Özil, Mesut",0.0,0,0.0,0.0,0,4.0,0,0,0,0,0,0,59,0.0,0,4,0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,3.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,7.0,3,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,4,0.0,0.0,,4.0,,0,1,1,0.0,,,0.0,0,0,1,90,,0.0,0.0,0.0,0.0,0,,0.0,,0.0,,16.0,16.0,66,89.4,0,"Özil, Mesut - ARS",M,0.0,0.0,0.0,,0,0,1.0,0.0,25,1.0,0.0,0,1.0,1.0,1.0,0,14,1.0,1.0,,FA,0,0,,,,,0,0.0,0.0,0.0,0,0
EVE,"Cleverley, Tom",0.0,0,0.0,0.0,0,1.0,0,0,3,0,0,0,50,0.0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1,0.0,0.0,0.0,1.0,1,0,4.0,4.0,3.0,9,0,2.0,11,2,2.0,0.0,0.0,0.0,3,3.0,1,1.0,1.0,0,0.0,0.0,,0.0,,0,1,1,0.0,,,0.0,2,0,0,90,,0.0,0.0,0.0,0.0,0,,0.0,,0.0,,11.0,10.0,55,90.9,0,"Cleverley, Tom - EVE",M,1.0,1.0,1.0,,0,0,0.3,3.0,25,1.0,0.0,0,4.0,4.0,4.0,0,10,1.0,1.0,,FA,0,0,,,,,0,0.0,2.0,2.0,1,0
AVL,"Bacuna, Leandro",0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,46,0.0,0,2,1,0.0,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2,1,2.0,1.0,8.0,4,0,5.0,5,2,2.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,1,1.0,0.0,,0.0,,0,1,1,1.0,,,0.0,1,0,0,90,,1.0,1.0,1.0,0.0,0,,0.0,,0.0,,22.0,21.0,54,85.2,0,"Bacuna, Leandro - AVL",D,0.0,0.0,0.0,,0,0,1.0,0.0,11,1.0,0.0,0,1.0,1.0,1.0,10,10,1.0,1.0,,FA,0,0,,,,,1,0.0,3.0,3.0,0,1
AVL,"Gueye, Idrissa",0.0,0,0.0,0.0,0,0.0,0,0,1,0,0,0,53,0.0,0,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,3,2,3.0,1.0,0.0,8,0,1.0,10,1,1.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,1,0.0,0.0,,1.0,,0,1,1,0.0,,,0.0,3,0,0,90,,0.0,0.0,0.0,0.0,0,,0.0,,0.0,,19.0,18.0,64,82.8,0,"Gueye, Idrissa - AVL",M,0.0,0.0,0.0,,0,0,0.0,0.0,17,0.0,0.0,0,0.0,0.0,0.0,0,10,0.0,0.0,,FA,0,0,,,,,1,0.0,5.0,3.0,0,0
LIV,"Lovren, Dejan",0.0,0,0.0,0.0,0,0.0,0,0,2,0,0,0,58,0.0,0,2,6,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,17,13,0.0,0.0,1.0,5,0,4.0,6,4,4.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,,0.0,,0,1,1,0.0,,,0.0,2,0,0,90,,0.0,0.0,0.0,0.0,0,,0.0,,0.0,,12.0,8.0,65,89.2,0,"Lovren, Dejan - LIV",D,0.0,0.0,0.0,,0,0,0.5,0.0,2,1.0,0.0,0,2.0,2.0,2.0,7,7,1.0,1.0,,FA,0,0,,,,,0,0.0,0.0,0.0,1,0
TOT,"Lamela, Erik",0.0,0,0.0,0.0,0,1.0,0,0,3,0,0,0,33,0.0,0,2,0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,1.0,5.0,1,0.0,0.0,0.0,1.0,0,0,3.0,2.0,6.0,9,0,0.0,10,0,0.0,0.0,0.0,0.0,3,3.0,0,0.0,0.0,0,0.0,0.0,,0.0,,0,1,1,0.0,,,0.0,2,0,0,90,,1.0,1.0,1.0,0.0,0,,0.0,,0.0,,26.0,26.0,42,78.6,0,"Lamela, Erik - TOT",M,0.0,0.0,0.0,,0,0,0.7,0.0,11,2.0,0.0,0,3.0,3.0,3.0,0,11,2.0,2.0,,FA,0,0,,,,,0,0.0,5.0,4.0,1,0
