Team,Name,6S,A,A/90M,A/G,ABS,ACr,AFKG,AHW,AL,AOG,APKG,APL,APa,AR,ASOP,ASh,AW,BCC,BCM,BCS,BCr,BS,CC,CF,CF.1,CIB,CK,CS,CSD,CSF,CSLM,CSM,ClA,ClS,CoA,CoS,Cr,DL,DP,DPt,DW,FC,FC/G,FKG,FKM,FKS,FS,FS/G,G,G/90M,G/G,GA,GAD,GAF,GAIB,GAM,GAOB,GON,GP,GS,HB,HCA,HCS,HT,Int,IntB,L,Min,OO,Off,Off/90M,Off/G,PKA,PKD,PKF,PKG,PKGA,PKM,PKS,PL,PLC,Pa,Pc%,Pen,Player,Pos,Pt/90M,Pt/G,Pts,Pu,RC,RCR,SA,SB,SFTP,SOG,SOP,SYC,Sh,Sh/90M,Sh/G,ShA,ShA.1,ShG/90M,ShG/G,Sm,Sta,SubOff,SubOn,Sv,Sv%,SvIB,SvOB,T,TLM,Tk,TkW,W,YC
MCI,"Silva, David",0,1,1,1,0,1,0,0,1,0,0,0,90,0,0,4,1,0,0,0,0,0,0,5,1,0,3,1,0,0,0,1,0,0,2,2,6,5,0,1,8,1,1,0,0,0,4,4,1,1,1,0,0,0,,0,,0,1,1,0,,,0,0,0,0,90,,0,0,0,0,0,,0,,0,,13,13,95,94.7,0,"Silva, David - MCI",M,2,2,2,,0,0,0.3,2,45,1,0,0,4,4,4,0,9,1,1,,FA,0,0,,,,,0,0,1,1,1,0
MCI,"Kolarov, Aleksandar",0,0,0,0,0,2,0,0,1,0,0,0,72,0,0,3,3,0,0,0,0,1,0,1,2,3,0,1,1,0,0,0,4,2,2,2,3,2,0,0,7,0,0,0,0,2,3,3,0,0,0,0,0,0,,0,,0,1,1,0,,,0,2,0,0,90,,0,0,0,0,0,,0,,0,,17,15,85,84.7,0,"Kolarov, Aleksandar - MCI",D,0,0,0,,0,0,0.3,1,27,1,0,0,3,3,3,9,9,1,1,,FA,0,0,,,,,0,0,0,0,1,0
ARS,"Cazorla, Santiago",0,0,0,0,0,1,0,0,1,0,0,0,71,0,0,5,1,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,1,1,5,3,5,5,0,0,7,0,0,0,0,0,1,1,0,0,0,2,0,0,,2,,0,1,1,0,,,0,1,0,1,90,,0,0,0,0,0,,0,,0,,14,14,76,93.4,0,"Cazorla, Santiago - ARS",M,0,0,0,,0,0,0.5,0,32,1,0,0,2,2,2,0,8,1,1,,FA,0,0,,,,,0,0,2,2,0,0
BOUR,"Surman, Andrew",0,0,0,0,0,0,0,0,2,0,0,0,88,0,0,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,2,0,0,2,0,0,0,0,0,1,1,0,0,0,1,0,0,,1,,0,1,1,0,,,0,2,0,1,90,,0,0,0,0,0,,0,,0,,12,12,99,88.9,0,"Surman, Andrew - BOUR",M,0,0,0,,0,0,0,0,23,0,0,0,2,2,2,0,7,0,0,,FA,0,0,,,,,0,0,1,0,0,0
ARS,"�_zil, Mesut",0,0,0,0,0,3,0,0,2,0,0,0,64,0,0,4,0,0,0,0,0,0,0,2,2,0,3,0,0,0,0,0,0,0,1,0,5,9,0,3,2,3,3,0,0,1,0,0,0,0,0,2,0,0,,2,,0,1,1,0,,,0,1,0,1,90,,0,0,0,0,0,,0,,0,,16,16,73,87.7,0,"�_zil, Mesut - ARS",M,0,0,0,,0,0,0,2,37,0,0,0,2,2,2,0,8,0,0,,FA,0,0,,,,,0,0,2,2,0,0
BOUR,"Francis, Simon",0,0,0,0,0,2,0,0,2,0,0,0,69,0,0,2,1,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,2,2,1,1,8,4,0,0,7,0,0,0,0,0,1,1,0,0,0,1,1,0,,0,,0,1,1,0,,,0,1,0,1,90,,0,0,0,0,0,,0,,0,,18,18,79,87.3,0,"Francis, Simon - BOUR",D,0,0,0,,0,0,0,0,14,0,0,0,0,0,0,7,7,0,0,,FA,0,0,,,,,0,0,4,1,0,0
SUN,"Kaboul, Younes",0,0,0,0,0,0,0,0,3,0,0,0,51,0,0,0,7,0,0,0,0,2,0,1,0,2,0,0,0,0,0,0,4,4,0,0,1,5,0,4,11,1,1,0,0,0,1,1,0,0,0,4,4,0,,0,,0,1,1,0,,,0,1,0,1,90,,0,0,0,0,0,,0,,0,,23,23,69,73.9,0,"Kaboul, Younes - SUN",D,0,0,0,,0,0,1,0,1,1,0,0,1,1,1,20,20,1,1,,FA,0,0,,,,,0,0,3,3,0,1
MCI,Fernandinho,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,2,0,0,0,5,0,7,3,4,4,0,0,0,0,0,0,0,0,0,0,0,,0,,0,1,1,0,,,0,1,0,0,90,,0,0,0,0,0,,0,,0,,9,8,97,92.8,0,Fernandinho - MCI,M,0,0,0,,0,0,0,0,15,0,0,0,0,0,0,0,9,0,0,,FA,0,0,,,,,0,0,2,2,1,1
NEW,"Haidara, Massadio",0,0,0,0,0,2,0,0,2,0,0,1,48,0,0,1,1,0,0,0,0,1,0,5,0,2,0,0,0,0,0,0,4,2,2,1,7,7,0,0,7,0,0,0,0,0,3,3,0,0,0,2,2,0,,0,,0,1,1,0,,,0,3,0,0,90,,0,0,0,0,0,,0,,0,,28,26,59,81.4,0,"Haidara, Massadio - NEW",D,0,0,0,,0,0,0,0,13,0,0,0,0,0,0,14,14,0,0,,FA,0,0,,,,,1,0,2,2,0,0
ARS,"Monreal, Nacho",0,0,0,0,0,0,0,0,5,0,0,0,57,0,0,0,6,0,0,0,1,1,0,5,0,1,0,0,0,0,0,0,4,3,2,2,5,7,0,4,11,1,1,0,0,0,2,2,0,0,0,2,2,0,,0,,0,1,1,0,,,0,0,0,1,90,,0,0,0,0,0,,0,,0,,15,14,65,87.7,0,"Monreal, Nacho - ARS",D,0,0,0,,0,0,0,0,24,0,0,0,0,0,0,8,8,0,0,,FA,0,0,,,,,0,0,1,0,0,1
