Team,Name,6S,A,A/90M,A/G,ABS,ACr,AFKG,AHW,AL,AOG,APKG,APL,APa,AR,ASOP,ASh,AW,BCC,BCM,BCS,BCr,BS,CC,CF,CF.1,CIB,CK,CS,CSD,CSF,CSLM,CSM,ClA,ClS,CoA,CoS,Cr,DL,DP,DPt,DW,FC,FC/G,FKG,FKM,FKS,FS,FS/G,G,G/90M,G/G,GA,GAD,GAF,GAIB,GAM,GAOB,GON,GP,GS,HB,HCA,HCS,HT,Int,IntB,L,Min,OO,Off,Off/90M,Off/G,PKA,PKD,PKF,PKG,PKGA,PKM,PKS,PL,PLC,Pa,Pc%,Pen,Player,Pos,Pt/90M,Pt/G,Pts,Pu,RC,RCR,SA,SB,SFTP,SOG,SOP,SYC,Sh,Sh/90M,Sh/G,ShA,ShA.1,ShG/90M,ShG/G,Sm,Sta,SubOff,SubOn,Sv,Sv%,SvIB,SvOB,T,TLM,Tk,TkW,W,YC
LIV,"Can, Emre",0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,62,0.0,0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,1,2.0,1.0,0.0,10,0,7.0,4,4,4.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,1,0.0,0.0,,1.0,,0,1,1,0.0,,,0.0,2,0,0,90,,0.0,0.0,0.0,0.0,0,,0.0,,0.0,,18.0,18.0,75,82.7,0,"Can, Emre - LIV",M,0.0,0.0,0.0,,0,0,0.0,0.0,16,0.0,0.0,0,0.0,0.0,0.0,0,8,0.0,0.0,,FA,0,0,,,,,0,0.0,2.0,1.0,1,1
SWA,"Naughton, Kyle",0.0,0,0.0,0.0,0,0.0,0,0,1,0,0,0,46,0.0,0,1,2,0.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,1,2.0,1.0,5.0,3,0,1.0,5,1,1.0,0.0,0.0,0.0,1,1.0,0,0.0,0.0,3,3.0,0.0,,0.0,,0,1,1,0.0,,,0.0,1,0,1,90,,0.0,0.0,0.0,0.0,0,,0.0,,0.0,,25.0,25.0,63,73.0,0,"Naughton, Kyle - SWA",D,0.0,0.0,0.0,,0,0,0.0,0.0,10,0.0,0.0,0,0.0,0.0,0.0,14,14,0.0,0.0,,FA,0,0,,,,,0,0.0,1.0,1.0,0,0
NEW,Ayoze Pérez,0.0,0,0.0,0.0,0,5.0,0,0,0,0,0,0,27,0.0,0,6,0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,4.0,0.0,10.0,1,0.0,1.0,0.0,0.0,0,0,6.0,3.0,17.0,5,0,1.0,5,1,1.0,0.0,0.0,0.0,1,1.0,0,0.0,0.0,0,0.0,0.0,,0.0,,0,1,1,0.0,,,0.0,0,0,0,90,,0.0,0.0,0.0,0.0,0,,0.0,,0.0,,30.0,30.0,38,71.1,0,Ayoze Pérez - NEW,F,0.0,0.0,0.0,,0,0,0.5,0.0,14,1.0,0.0,0,2.0,2.0,2.0,0,9,1.0,1.0,,FA,0,0,,,,,1,0.0,1.0,1.0,0,0
BOUR,"Francis, Simon",0.0,0,0.0,0.0,0,1.0,0,0,3,0,0,0,61,0.0,0,2,2,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,4,4,2.0,2.0,2.0,4,0,4.0,7,1,1.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,2,2.0,0.0,,0.0,,0,1,1,0.0,,,0.0,0,0,1,90,,0.0,0.0,0.0,0.0,0,,0.0,,0.0,,11.0,11.0,70,87.1,0,"Francis, Simon - BOUR",D,0.0,0.0,0.0,,0,0,0.0,0.0,9,0.0,0.0,0,0.0,0.0,0.0,11,11,0.0,0.0,,FA,0,0,,,,,0,0.0,3.0,1.0,0,1
EVE,"Koné, Arouna",0.0,1,1.0,1.0,0,0.0,0,0,0,0,0,0,51,0.0,0,3,0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,4.0,2.0,0.0,3,0,0.0,4,0,0.0,0.0,0.0,0.0,1,1.0,3,3.0,3.0,2,0.0,0.0,,2.0,,0,1,1,0.0,,,1.0,0,0,0,90,,0.0,0.0,0.0,0.0,0,,0.0,,0.0,,14.0,14.0,57,89.5,0,"Koné, Arouna - EVE",F,4.0,4.0,4.0,,0,0,0.8,0.0,26,3.0,0.0,0,4.0,4.0,4.0,0,17,3.0,3.0,,FA,0,0,,,,,0,0.0,1.0,1.0,1,0
ARS,"Cazorla, Santiago",0.0,0,0.0,0.0,0,0.0,0,0,1,0,0,0,68,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1,0.0,0.0,0.0,1.0,0,0,3.0,3.0,3.0,2,0,1.0,5,1,1.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,,0.0,,0,1,1,0.0,,,0.0,0,0,0,90,,0.0,0.0,0.0,0.0,0,,0.0,,0.0,,11.0,11.0,76,89.5,0,"Cazorla, Santiago - ARS",M,0.0,0.0,0.0,,0,0,0.0,0.0,22,0.0,0.0,0,0.0,0.0,0.0,0,7,0.0,0.0,,FA,0,0,,,,,0,0.0,2.0,2.0,1,0
MCI,"Kolarov, Aleksandar",0.0,0,0.0,0.0,0,3.0,0,0,1,0,0,0,48,0.0,0,3,2,0.0,1.0,0.0,1.0,0.0,1.0,7.0,3.0,0.0,6.0,0,0.0,0.0,0.0,0.0,4,3,0.0,0.0,10.0,3,0,0.0,2,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,1,1.0,0.0,,0.0,,0,1,1,0.0,,,0.0,0,0,0,90,,0.0,0.0,0.0,1.0,0,,0.0,,1.0,,21.0,20.0,58,82.8,0,"Kolarov, Aleksandar - MCI",D,0.0,0.0,0.0,,0,0,0.0,0.0,12,0.0,0.0,0,1.0,1.0,1.0,5,5,0.0,0.0,,FA,0,0,,,,,0,0.0,0.0,0.0,1,0
LIV,"Sakho, Mamadou",0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,70,0.0,0,0,4,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2,2,0.0,0.0,0.0,2,0,0.0,5,0,0.0,0.0,0.0,0.0,1,1.0,0,0.0,0.0,1,1.0,0.0,,0.0,,0,1,1,0.0,,,0.0,2,0,0,90,,0.0,0.0,0.0,0.0,0,,0.0,,0.0,,10.0,10.0,76,92.1,0,"Sakho, Mamadou - LIV",D,0.0,0.0,0.0,,0,0,0.0,0.0,11,0.0,0.0,0,0.0,0.0,0.0,8,8,0.0,0.0,,FA,0,0,,,,,0,0.0,0.0,0.0,1,0
SWA,"Williams, Ashley",0.0,0,0.0,0.0,0,0.0,0,0,2,0,0,0,76,0.0,0,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2,1,0.0,0.0,0.0,3,0,4.0,2,1,1.0,0.0,0.0,0.0,1,1.0,0,0.0,0.0,3,3.0,0.0,,0.0,,0,1,1,0.0,,,0.0,1,0,1,90,,0.0,0.0,0.0,0.0,0,,0.0,,0.0,,5.0,4.0,79,96.2,0,"Williams, Ashley - SWA",D,0.0,0.0,0.0,,0,0,1.0,0.0,2,1.0,0.0,0,1.0,1.0,1.0,14,14,1.0,1.0,,FA,0,0,,,,,0,0.0,0.0,0.0,0,1
ARS,"Sánchez, Alexis",0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,44,0.0,0,3,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1,0.0,0.0,0.0,1.0,2,2,3.0,2.0,1.0,5,0,1.0,7,1,1.0,0.0,0.0,1.0,4,4.0,0,0.0,0.0,0,0.0,0.0,,0.0,,0,1,1,0.0,,,0.0,1,0,0,90,,0.0,0.0,0.0,0.0,0,,0.0,,0.0,,21.0,21.0,54,81.5,0,"Sánchez, Alexis - ARS",F,0.0,0.0,0.0,,0,0,0.0,2.0,20,0.0,0.0,0,4.0,4.0,4.0,0,7,0.0,0.0,,FA,0,0,,,,,0,0.0,1.0,0.0,1,0
