"Rk","Pos","Player","Sta","Opp (GMT)","FPts","FP/G"
"74","F","Diego Costa - CHE","FA","NOR Sat 3:00PM","2","0.2"
"75","D","Dann, Scott - CRY","FA","SUN Mon 8:00PM","2","0.18"
"76","M","Davis, Steven - SOU","FA","STK Sat 3:00PM","2","0.17"
"77","F","Deeney, Troy - WAT","FA","MUN Sat 12:45PM","2","0.17"
"78","M","Dembélé, Mousa - TOT","FA","WHU Sun 4:00PM","2","0.22"
"79","D","Dier, Eric - TOT","FA","WHU Sun 4:00PM","2","0.18"
"80","M","Eriksen, Christian - TOT","FA","WHU Sun 4:00PM","2","0.22"
"81","M","Herrera, Ander - MUN","FA","@WAT Sat 12:45PM","2","0.25"
"82","F","Ings, Danny - LIV","FA","@MCI Sat 5:30PM","2","0.4"
"83","D","Jenkinson, Carl - WHU","FA","@TOT Sun 4:00PM","2","0.2"
"84","F","Jerome, Cameron - NOR","FA","@CHE Sat 3:00PM","2","0.17"
"85","D","Kompany, Vincent - MCI","FA","LIV Sat 5:30PM","2","0.25"
"86","D","Koscielny, Laurent - ARS","FA","@WBA Sat 3:00PM","2","0.2"
"87","F","Bojan - STK","FA","@SOU Sat 3:00PM","2","0.25"
"88","M","Lamela, Erik - TOT","FA","WHU Sun 4:00PM","2","0.18"
"89","F","Lens, Jeremain - SUN","WW","@CRY Mon 8:00PM","2","0.22"
"90","M","Fernandinho - MCI","FA","LIV Sat 5:30PM","2","0.17"
"91","F","Dieumerci Mbokani - NOR","WW","@CHE Sat 3:00PM","2","0.33"
"92","F","Mitrovic, Aleksandar - NEW","WW","LEIC Sat 3:00PM","2","0.2"
"93","M","Morrison, James - WBA","FA","ARS Sat 3:00PM","2","0.22"
"94","F","Murray, Glenn - BOUR","FA","@SWA Sat 3:00PM","2","0.22"
"95","M","Noble, Mark - WHU","FA","@TOT Sun 4:00PM","2","0.17"
"96","M","Ritchie, Matt - BOUR","FA","@SWA Sat 3:00PM","2","0.17"
"97","F","Rooney, Wayne - MUN","FA","@WAT Sat 12:45PM","2","0.18"
"98","M","Sako, Bakary - CRY","WW","SUN Mon 8:00PM","2","0.25"
"99","M","Ramires - CHE","FA","NOR Sat 3:00PM","2","0.25"
"100","M","Sigurdsson, Gylfi - SWA","FA","BOUR Sat 3:00PM","2","0.17"
"101","M","Sinclair, Scott - AVL","FA","@EVE Sat 3:00PM","2","0.22"
"102","F","Sturridge, Daniel - LIV","FA","@MCI Sat 5:30PM","2","0.67"
"103","M","Yaya Touré - MCI","FA","LIV Sat 5:30PM","2","0.18"
"104","F","Walcott, Theo - ARS","FA","@WBA Sat 3:00PM","2","0.25"
"105","F","Walters, Jonathan - STK","FA","@SOU Sat 3:00PM","2","0.25"
"106","D","Ward, Joel - CRY","FA","SUN Mon 8:00PM","2","0.4"
"107","F","Zárate, Mauro - WHU","FA","@TOT Sun 4:00PM","2","0.25"
"108","D","van Dijk, Virgil - SOU","WW","STK Sat 3:00PM","2","0.25"
"109","M","Abdi, Almen - WAT","FA","MUN Sat 12:45PM","1","0.1"
"110","M","Albrighton, Marc - LEIC","FA","@NEW Sat 3:00PM","1","0.08"
"111","D","Alderweireld, Toby - TOT","FA","WHU Sun 4:00PM","1","0.08"
"112","D","Azpilicueta, César - CHE","FA","NOR Sat 3:00PM","1","0.08"
"113","D,M","Blind, Daley - MUN","FA","@WAT Sat 12:45PM","1","0.1"
"114","M","Brady, Robbie - NOR","WW","@CHE Sat 3:00PM","1","0.08"
"115","D","Cahill, Gary - CHE","FA","NOR Sat 3:00PM","1","0.11"
"116","F","Campbell, Joel - ARS","WW","@WBA Sat 3:00PM","1","0.5"
"117","F","Carroll, Andy - WHU","FA","@TOT Sun 4:00PM","1","0.17"
"118","M","Chadli, Nacer - TOT","FA","WHU Sun 4:00PM","1","0.11"
"119","F","Cissé, Papiss Demba - NEW","FA","LEIC Sat 3:00PM","1","0.12"
"120","D","Cook, Steve - BOUR","FA","@SWA Sat 3:00PM","1","0.1"
"121","D","Dawson, Craig - WBA","FA","ARS Sat 3:00PM","1","0.08"
"122","D","Delaney, Damien - CRY","FA","SUN Mon 8:00PM","1","0.14"
"123","F","Depay, Memphis - MUN","FA","@WAT Sat 12:45PM","1","0.12"
"124","F","Deulofeu, Gerard - EVE","FA","AVL Sat 3:00PM","1","0.1"
"125","M","Dyer, Nathan - LEIC","FA","@NEW Sat 3:00PM","1","0.17"
"126","D","Fonte, Jose - SOU","FA","STK Sat 3:00PM","1","0.08"
"127","F","Falcao - CHE","FA","NOR Sat 3:00PM","1","0.11"
"128","D","Gibbs, Kieran - ARS","FA","@WBA Sat 3:00PM","1","0.2"
"129","M","Carles Gil - AVL","FA","@EVE Sat 3:00PM","1","0.12"
"130","M","Gosling, Dan - BOUR","FA","@SWA Sat 3:00PM","1","0.09"
"131","M","Grealish, Jack - AVL","FA","@EVE Sat 3:00PM","1","0.12"
"132","M","Hoolahan, Wes - NOR","FA","@CHE Sat 3:00PM","1","0.1"
"133","M","Howson, Jonny - NOR","FA","@CHE Sat 3:00PM","1","0.08"
"134","F","Iheanacho, Kelechi - MCI","WW","LIV Sat 5:30PM","1","0.12"
"135","D","Janmaat, Daryl - NEW","FA","LEIC Sat 3:00PM","1","0.09"
"136","M","Jarvis, Matthew - NOR","FA","@CHE Sat 3:00PM","1","0.12"
"137","M","Johnson, Adam - SUN","FA","@CRY Mon 8:00PM","1","0.14"
"138","D","Jones, Billy - SUN","FA","@CRY Mon 8:00PM","1","0.08"
"139","M","Kanté, N'Golo - LEIC","WW","@NEW Sat 3:00PM","1","0.08"
"140","D","Kolarov, Aleksandar - MCI","FA","LIV Sat 5:30PM","1","0.09"
"141","F","Lambert, Rickie - WBA","FA","ARS Sat 3:00PM","1","0.09"
"142","M","Lingard, Jesse - MUN","FA","@WAT Sat 12:45PM","1","0.25"
"143","F","Long, Shane - SOU","FA","STK Sat 3:00PM","1","0.25"
"144","M","M'Vila, Yann - SUN","WW","@CRY Mon 8:00PM","1","0.09"
"145","M","Mason, Ryan - TOT","FA","WHU Sun 4:00PM","1","0.12"
"146","M","Matic, Nemanja - CHE","FA","NOR Sat 3:00PM","1","0.09"
"147","M","Milner, James - LIV","FA","@MCI Sat 5:30PM","1","0.09"
"148","M","Moses, Victor - WHU","FA","@TOT Sun 4:00PM","1","0.14"
"149","M","Nasri, Samir - MCI","FA","LIV Sat 5:30PM","1","0.14"
"150","F","Okazaki, Shinji - LEIC","WW","@NEW Sat 3:00PM","1","0.08"
"151","D","Otamendi, Nicolás - MCI","WW","LIV Sat 5:30PM","1","0.14"
"152","M","Pugh, Marc - BOUR","FA","@SWA Sat 3:00PM","1","0.11"
"153","M","Ramsey, Aaron - ARS","FA","@WBA Sat 3:00PM","1","0.11"
"154","F","Pedro - CHE","WW","NOR Sat 3:00PM","1","0.12"
"155","M","Schlupp, Jeffrey - LEIC","FA","@NEW Sat 3:00PM","1","0.08"
"156","M","Schneiderlin, Morgan - MUN","FA","@WAT Sat 12:45PM","1","0.1"
"157","M","Silva, David - MCI","FA","LIV Sat 5:30PM","1","0.2"
"158","M","Son Heung-Min - TOT","WW","WHU Sun 4:00PM","1","0.25"
"159","F","Watmore, Duncan - SUN","WW","@CRY Mon 8:00PM","1","0.2"
"160","D","Whittaker, Steven - NOR","FA","@CHE Sat 3:00PM","1","0.12"
"161","M","Zaha, Wilfried - CRY","FA","SUN Mon 8:00PM","1","0.08"
"162","D","Zouma, Kurt - CHE","FA","NOR Sat 3:00PM","1","0.09"
"163","D","de Laet, Ritchie - LEIC","FA","@NEW Sat 3:00PM","1","0.14"
"164","M","Oscar - CHE","FA","NOR Sat 3:00PM","1","0.17"
"165","M","Özil, Mesut - ARS","FA","@WBA Sat 3:00PM","1","0.09"
"166","M","Aarons, Rolando - NEW","FA","LEIC Sat 3:00PM","0","0"
"167","M","Adam, Charlie - STK","FA","@SOU Sat 3:00PM","0","0"
"168","M","Afellay, Ibrahim - STK","WW","@SOU Sat 3:00PM","0","0"
"169","F","Agbonlahor, Gabriel - AVL","FA","@EVE Sat 3:00PM","0","0"
"170","D","Aina, Ola - CHE","WW","NOR Sat 3:00PM","0","0"
"171","D","Aké, Nathan - WAT","FA","MUN Sat 12:45PM","0","0"
"172","M","Allen, Joe - LIV","FA","@MCI Sat 5:30PM","0","0"
"173","G","Allsop, Ryan - BOUR","FA","@SWA Sat 3:00PM","0","0"
"174","D","Cédric Soares - SOU","FA","STK Sat 3:00PM","0","0"
"175","M","Amalfitano, Morgan - WHU","FA","@TOT Sun 4:00PM","0","0"
"176","D","Amat, Jordi - SWA","FA","BOUR Sat 3:00PM","0","0"
"177","D","Amavi, Jordan - AVL","WW","@EVE Sat 3:00PM","0","0"
"178","G","Amelia, Marco - CHE","WW","NOR Sat 3:00PM","0","0"
"179","F","Anichebe, Victor - WBA","FA","ARS Sat 3:00PM","0","0"
"180","M","Anita, Vurnon - NEW","FA","LEIC Sat 3:00PM","0","0"
"181","M","Antonio, Michail - WHU","WW","@TOT Sun 4:00PM","0","0"
"182","M","Anya, Ikechi - WAT","FA","MUN Sat 12:45PM","0","0"
"183","G","Arlauskis, Giedrius - WAT","FA","MUN Sat 12:45PM","0","0"
"184","M","Arter, Harry - BOUR","FA","@SWA Sat 3:00PM","0","0"
"185","M","Arteta, Mikel - ARS","FA","@WBA Sat 3:00PM","0","0"
"186","M","Atsu, Christian - BOUR","FA","@SWA Sat 3:00PM","0","0"
"187","D","Baba Rahman - CHE","WW","NOR Sat 3:00PM","0","0"
"188","D","Bacuna, Leandro - AVL","FA","@EVE Sat 3:00PM","0","0"
"189","D","Baines, Leighton - EVE","FA","AVL Sat 3:00PM","0","0"
"190","F","Bamford, Patrick - CRY","FA","SUN Mon 8:00PM","0","0"
"191","F","Roberto Firmino - LIV","WW","@MCI Sat 5:30PM","0","0"
"192","D","Bardsley, Phil - STK","FA","@SOU Sat 3:00PM","0","0"
"193","F","Barlaser, Daniel - NEW","WW","LEIC Sat 3:00PM","0","0"
"194","F","Barrow, Modou - SWA","WW","BOUR Sat 3:00PM","0","0"
"195","M","Barry, Gareth - EVE","FA","AVL Sat 3:00PM","0","0"
"196","D","Bartley, Kyle - SWA","FA","BOUR Sat 3:00PM","0","0"
"197","D","Bassong, Sebastien - NOR","FA","@CHE Sat 3:00PM","0","0"
"198","M","Behrami, Valon - WAT","FA","MUN Sat 12:45PM","0","0"
"199","D","Belkalem, Essaïd - WAT","FA","MUN Sat 12:45PM","0","0"
"200","D","Bellerín, Héctor - ARS","FA","@WBA Sat 3:00PM","0","0"
"201","D","Benalouane, Yohan - LEIC","WW","@NEW Sat 3:00PM","0","0"
"202","M","Bennacer, Ismael - ARS","WW","@WBA Sat 3:00PM","0","0"
"203","D","Bennett, Joe - BOUR","FA","@SWA Sat 3:00PM","0","0"
"204","D","Bennett, Ryan - NOR","FA","@CHE Sat 3:00PM","0","0"
"205","M","Bentaleb, Nabil - TOT","FA","WHU Sun 4:00PM","0","0"
"206","F","Berghuis, Steven - WAT","WW","MUN Sat 12:45PM","0","0"
"207","D","Bertrand, Ryan - SOU","FA","STK Sat 3:00PM","0","0"
"208","M","Besic, Muhamed - EVE","FA","AVL Sat 3:00PM","0","0"
"209","M","Bielik, Krystian - ARS","WW","@WBA Sat 3:00PM","0","0"
"210","M","Bigirimana, Gael - NEW","FA","LEIC Sat 3:00PM","0","0"
"211","G","Blackman, Jamal - CHE","FA","NOR Sat 3:00PM","0","0"
"212","F","Blyth, Jacob - LEIC","WW","@NEW Sat 3:00PM","0","0"
"213","G","Bogdan, Adam - LIV","FA","@MCI Sat 5:30PM","0","0"
"214","F","Borini, Fabio - SUN","FA","@CRY Mon 8:00PM","0","0"
"215","D","Borthwick-Jackson, Cameron - MUN","WW","@WAT Sat 12:45PM","0","0"
"216","M","Brannagan, Cameron - LIV","WW","@MCI Sat 5:30PM","0","0"
"217","M","Bridcutt, Liam - SUN","FA","@CRY Mon 8:00PM","0","0"
"218","D","Britos, Miguel - WAT","WW","MUN Sat 12:45PM","0","0"
"219","M","Britton, Leon - SWA","FA","BOUR Sat 3:00PM","0","0"
"220","D","Brown, Wes - SUN","FA","@CRY Mon 8:00PM","0","0"
"221","D","Browning, Tyias - EVE","FA","AVL Sat 3:00PM","0","0"
"222","M","Brunt, Chris - WBA","FA","ARS Sat 3:00PM","0","0"
"223","D","Buckley, Callum - BOUR","WW","@SWA Sat 3:00PM","0","0"
"224","G","Bunn, Mark - AVL","FA","@EVE Sat 3:00PM","0","0"
"225","F","Butcher, Matt - BOUR","WW","@SWA Sat 3:00PM","0","0"
"226","D","Cameron, Geoff - STK","FA","@SOU Sat 3:00PM","0","0"
"227","F","Campbell, Fraizer - CRY","FA","SUN Mon 8:00PM","0","0"
"228","M","Can, Emre - LIV","FA","@MCI Sat 5:30PM","0","0"
"229","M","Capoue, Etienne - WAT","FA","MUN Sat 12:45PM","0","0"
"230","D","Cargill, Baily - BOUR","FA","@SWA Sat 3:00PM","0","0"
"231","M","Carrick, Michael - MUN","FA","@WAT Sat 12:45PM","0","0"
"232","M","Carroll, Tom - TOT","FA","WHU Sun 4:00PM","0","0"
"233","D","Cathcart, Craig - WAT","FA","MUN Sat 12:45PM","0","0"
"234","M","Cattermole, Lee - SUN","FA","@CRY Mon 8:00PM","0","0"
"235","D","Caulker, Steven - SOU","WW","STK Sat 3:00PM","0","0"
"236","M","Cazorla, Santiago - ARS","FA","@WBA Sat 3:00PM","0","0"
