"Rk","Pos","Player","Sta","Opp (GMT)","FPts","FP/G"
"335","M","Inler, Gökhan - LEIC","WW","@NEW Sat 3:00PM","0","0"
"336","M","Ireland, Stephen - STK","FA","@SOU Sat 3:00PM","0","0"
"337","D","Ivanovic, Branislav - CHE","FA","NOR Sat 3:00PM","0","0"
"338","M","Iwobi, Alex - ARS","WW","@WBA Sat 3:00PM","0","0"
"339","D","Jagielka, Phil - EVE","FA","AVL Sat 3:00PM","0","0"
"340","M","James, Matthew - LEIC","FA","@NEW Sat 3:00PM","0","0"
"341","M","Jedinak, Mile - CRY","FA","SUN Mon 8:00PM","0","0"
"342","F","Jelavic, Nikica - WHU","WW","@TOT Sun 4:00PM","0","0"
"343","F","Juanmi - SOU","FA","STK Sat 3:00PM","0","0"
"344","D","Johnson, Glen - STK","WW","@SOU Sat 3:00PM","0","0"
"345","G","Johnstone, Sam - MUN","WW","@WAT Sat 12:45PM","0","0"
"346","D","Jones, Phil - MUN","FA","@WAT Sat 12:45PM","0","0"
"347","M","Jurado - WAT","WW","MUN Sat 12:45PM","0","0"
"348","D","Kaboul, Younes - SUN","FA","@CRY Mon 8:00PM","0","0"
"349","M","Kamara, Glen - ARS","WW","@WBA Sat 3:00PM","0","0"
"350","G","Kean, Jake - NOR","WW","@CHE Sat 3:00PM","0","0"
"351","D","Kelly, Martin - CRY","FA","SUN Mon 8:00PM","0","0"
"352","F","Kermorgant, Yann - BOUR","FA","@SWA Sat 3:00PM","0","0"
"353","M","Ki Sung-yueng - SWA","FA","BOUR Sat 3:00PM","0","0"
"354","M","King, Andy - LEIC","FA","@NEW Sat 3:00PM","0","0"
"355","F","King, Joshua - BOUR","FA","@SWA Sat 3:00PM","0","0"
"356","D","Knoyle, Kyle - WHU","WW","@TOT Sun 4:00PM","0","0"
"357","F","Kozák, Libor - AVL","FA","@EVE Sat 3:00PM","0","0"
"358","F","Kramaric, Andrej - LEIC","FA","@NEW Sat 3:00PM","0","0"
"359","F","Lafferty, Kyle - NOR","FA","@CHE Sat 3:00PM","0","0"
"360","M","Lallana, Adam - LIV","FA","@MCI Sat 5:30PM","0","0"
"361","M","Larsson, Sebastian - SUN","FA","@CRY Mon 8:00PM","0","0"
"362","D","Lascelles, Jamaal - NEW","FA","LEIC Sat 3:00PM","0","0"
"363","M","Ledley, Joe - CRY","FA","SUN Mon 8:00PM","0","0"
"364","M","Lee Chung-yong - CRY","FA","SUN Mon 8:00PM","0","0"
"365","F","Lee, Elliot - WHU","WW","@TOT Sun 4:00PM","0","0"
"366","M","Leiva, Lucas - LIV","FA","@MCI Sat 5:30PM","0","0"
"367","M","Leko, Jonathan - WBA","WW","ARS Sat 3:00PM","0","0"
"368","M","Lennon, Aaron - EVE","WW","AVL Sat 3:00PM","0","0"
"369","D","Lescott, Joleon - AVL","FA","@EVE Sat 3:00PM","0","0"
"370","G","Lindegaard, Anders - WBA","FA","ARS Sat 3:00PM","0","0"
"371","M","Loftus-Cheek, Ruben - CHE","FA","NOR Sat 3:00PM","0","0"
"372","D","Lovren, Dejan - LIV","FA","@MCI Sat 5:30PM","0","0"
"373","M","MacDonald, Shaun - BOUR","FA","@SWA Sat 3:00PM","0","0"
"374","F","Eder - SWA","FA","BOUR Sat 3:00PM","0","0"
"375","G","Macey, Matt - ARS","WW","@WBA Sat 3:00PM","0","0"
"376","G","Jonny Maddison - LEIC","WW","@NEW Sat 3:00PM","0","0"
"377","D","Maffeo, Pablo - MCI","WW","LIV Sat 5:30PM","0","0"
"378","D","Mangala, Eliaquim - MCI","FA","LIV Sat 5:30PM","0","0"
"379","G","Mannone, Vito - SUN","FA","@CRY Mon 8:00PM","0","0"
"380","D","Mariappa, Adrian - CRY","FA","SUN Mon 8:00PM","0","0"
"381","D","Cuco Martina - SOU","FA","STK Sat 3:00PM","0","0"
"382","M","Marveaux, Sylvain - NEW","FA","LEIC Sat 3:00PM","0","0"
"383","F","Joselu - STK","FA","@SOU Sat 3:00PM","0","0"
"384","D","Matthews, Adam - SUN","FA","@CRY Mon 8:00PM","0","0"
"385","D","Mbabu, Kevin - NEW","WW","LEIC Sat 3:00PM","0","0"
"386","D","Mbemba, Chancel - NEW","WW","LEIC Sat 3:00PM","0","0"
"387","F","McAleny, Conor - EVE","WW","AVL Sat 3:00PM","0","0"
"388","M","McArthur, James - CRY","FA","SUN Mon 8:00PM","0","0"
"389","D","McAuley, Gareth - WBA","FA","ARS Sat 3:00PM","0","0"
"390","M","McCarthy, James - EVE","FA","AVL Sat 3:00PM","0","0"
"391","D","Paddy McCarthy - CRY","WW","SUN Mon 8:00PM","0","0"
"392","M","McClean, James - WBA","FA","ARS Sat 3:00PM","0","0"
"393","M","McGeady, Aiden - EVE","FA","AVL Sat 3:00PM","0","0"
"394","G","McGee, Luke - TOT","WW","WHU Sun 4:00PM","0","0"
"395","M","McManaman, Callum - WBA","FA","ARS Sat 3:00PM","0","0"
"396","D","McNair, Patrick - MUN","FA","@WAT Sat 12:45PM","0","0"
"397","M","McQueen, Sam - SOU","FA","STK Sat 3:00PM","0","0"
"398","D","Mertesacker, Per - ARS","FA","@WBA Sat 3:00PM","0","0"
"399","M","Mikel, John Obi - CHE","FA","NOR Sat 3:00PM","0","0"
"400","D","Mings, Tyrone - BOUR","FA","@SWA Sat 3:00PM","0","0"
"401","M","Mirallas, Kevin - EVE","FA","AVL Sat 3:00PM","0","0"
"402","D","Monreal, Nacho - ARS","FA","@WBA Sat 3:00PM","0","0"
"403","M","Montero, Jefferson - SWA","FA","BOUR Sat 3:00PM","0","0"
"404","D","Moreno, Alberto - LIV","FA","@MCI Sat 5:30PM","0","0"
"405","D","Morgan, Wes - LEIC","FA","@NEW Sat 3:00PM","0","0"
"406","M","Mulumbu, Youssouf - NOR","FA","@CHE Sat 3:00PM","0","0"
"407","D","Muniesa, Marc - STK","FA","@SOU Sat 3:00PM","0","0"
"408","M","Mutch, Jordon - CRY","FA","SUN Mon 8:00PM","0","0"
"409","F","N'Jie, Clinton - TOT","WW","WHU Sun 4:00PM","0","0"
"410","M","N'Zogbia, Charles - AVL","FA","@EVE Sat 3:00PM","0","0"
"411","D","Naughton, Kyle - SWA","FA","BOUR Sat 3:00PM","0","0"
"412","M","Navas, Jesús - MCI","FA","LIV Sat 5:30PM","0","0"
"413","G","Nordfeldt, Kristoffer - SWA","FA","BOUR Sat 3:00PM","0","0"
"414","F","Kenedy - CHE","WW","NOR Sat 3:00PM","0","0"
"415","D","Nyom - WAT","WW","MUN Sat 12:45PM","0","0"
"416","D","O'Brien, Joey - WHU","FA","@TOT Sun 4:00PM","0","0"
"417","M","O'Kane, Eunan - BOUR","FA","@SWA Sat 3:00PM","0","0"
"418","M","O'Neil, Gary - NOR","FA","@CHE Sat 3:00PM","0","0"
"419","D","O'Shea, John - SUN","FA","@CRY Mon 8:00PM","0","0"
"420","M","Obertan, Gabriel - NEW","FA","LEIC Sat 3:00PM","0","0"
"421","M","Obiang, Pedro - WHU","FA","@TOT Sun 4:00PM","0","0"
"422","F","Odemwingie, Peter - STK","FA","@SOU Sat 3:00PM","0","0"
"423","M","Odjidja-Ofoe, Vadis - NOR","WW","@CHE Sat 3:00PM","0","0"
"424","D","Ogbonna, Angelo - WHU","FA","@TOT Sun 4:00PM","0","0"
"425","D","Okore, Jores - AVL","FA","@EVE Sat 3:00PM","0","0"
"426","D","Olsson, Jonas - WBA","FA","ARS Sat 3:00PM","0","0"
"427","D","Olsson, Martin - NOR","FA","@CHE Sat 3:00PM","0","0"
"428","M","Olukanmi, Andre - LEIC","WW","@NEW Sat 3:00PM","0","0"
"429","M","Josh Onomah - TOT","WW","WHU Sun 4:00PM","0","0"
"430","F","Origi, Divock - LIV","FA","@MCI Sat 5:30PM","0","0"
"431","M","Osman, Leon - EVE","FA","AVL Sat 3:00PM","0","0"
"432","G","Ospina, David - ARS","FA","@WBA Sat 3:00PM","0","0"
"433","F","Oularé, Mamadou Obbi - WAT","WW","MUN Sat 12:45PM","0","0"
"434","D","Oviedo, Bryan - EVE","FA","AVL Sat 3:00PM","0","0"
"435","D","Oxford, Reece - WHU","FA","@TOT Sun 4:00PM","0","0"
"436","M","Oxlade-Chamberlain, Alex - ARS","FA","@WBA Sat 3:00PM","0","0"
"437","F","Harry Panayiotou - LEIC","WW","@NEW Sat 3:00PM","0","0"
"438","D","Paredes, Juan Carlos - WAT","FA","MUN Sat 12:45PM","0","0"
"439","D","Pennington, Matthew - EVE","WW","AVL Sat 3:00PM","0","0"
"440","M","Pereira, Andreas - MUN","WW","@WAT Sat 12:45PM","0","0"
"441","M","Pienaar, Steven - EVE","FA","AVL Sat 3:00PM","0","0"
"442","D","Pieters, Erik - STK","FA","@SOU Sat 3:00PM","0","0"
"443","D","Pocognoli, Sébastien - WBA","FA","ARS Sat 3:00PM","0","0"
"444","M","Pritchard, Alex - TOT","WW","WHU Sun 4:00PM","0","0"
"445","D","Prödl, Sebastian - WAT","FA","MUN Sat 12:45PM","0","0"
"446","M","Puncheon, Jason - CRY","FA","SUN Mon 8:00PM","0","0"
"447","M","Ramírez, Gastón - SOU","FA","STK Sat 3:00PM","0","0"
"448","D","Randall, Connor - LIV","WW","@MCI Sat 5:30PM","0","0"
"449","D","Rangel, Angel - SWA","FA","BOUR Sat 3:00PM","0","0"
"450","F","Rantie, Tokelo - BOUR","FA","@SWA Sat 3:00PM","0","0"
"451","M","Reed, Harrison - SOU","FA","STK Sat 3:00PM","0","0"
"452","M","Fernando - MCI","FA","LIV Sat 5:30PM","0","0"
"453","D","Reid, Winston - WHU","FA","@TOT Sun 4:00PM","0","0"
"454","F","Reine Adelaide, Jeff - ARS","WW","@WBA Sat 3:00PM","0","0"
"455","F","Remy, Loïc - CHE","FA","NOR Sat 3:00PM","0","0"
"456","D","Richards, Micah - AVL","FA","@EVE Sat 3:00PM","0","0"
"457","D","Richardson, Kieran - AVL","FA","@EVE Sat 3:00PM","0","0"
"458","F","Emmanuel Rivière - NEW","FA","LEIC Sat 3:00PM","0","0"
"459","M","Roberts, Patrick - MCI","WW","LIV Sat 5:30PM","0","0"
"460","G","Robles, Joel - EVE","FA","AVL Sat 3:00PM","0","0"
"461","D","Robson, Josh - SUN","WW","@CRY Mon 8:00PM","0","0"
"462","F","Rodriguez, Jay - SOU","FA","STK Sat 3:00PM","0","0"
"463","F","Rodríguez, Leandro - EVE","WW","AVL Sat 3:00PM","0","0"
"464","M","Rodwell, Jack - SUN","FA","@CRY Mon 8:00PM","0","0"
"465","D","Rojo, Marcos - MUN","FA","@WAT Sat 12:45PM","0","0"
"466","M","Oriol Romeu - SOU","WW","STK Sat 3:00PM","0","0"
"467","D","Rose, Danny - TOT","FA","WHU Sun 4:00PM","0","0"
"468","G","Rose, Jack - WBA","FA","ARS Sat 3:00PM","0","0"
"469","M","Rosicky, Tomas - ARS","FA","@WBA Sat 3:00PM","0","0"
"470","M","Rossiter, Jordan - LIV","WW","@MCI Sat 5:30PM","0","0"
"471","M","Routledge, Wayne - SWA","FA","BOUR Sat 3:00PM","0","0"
"472","G","Rudd, Declan - NOR","FA","@CHE Sat 3:00PM","0","0"
"473","D","Sagna, Bacary - MCI","FA","LIV Sat 5:30PM","0","0"
"474","D","Sakho, Mamadou - LIV","FA","@MCI Sat 5:30PM","0","0"
"475","M","Samuelsen, Martin - WHU","WW","@TOT Sun 4:00PM","0","0"
"476","G","Schwarzer, Mark - LEIC","FA","@NEW Sat 3:00PM","0","0"
"477","M","Schweinsteiger, Bastian - MUN","WW","@WAT Sat 12:45PM","0","0"
"478","F","Seager, Ryan - SOU","WW","STK Sat 3:00PM","0","0"
"479","F","Sellars, Jerell - AVL","WW","@EVE Sat 3:00PM","0","0"
"480","D","Senderos, Philippe - AVL","FA","@EVE Sat 3:00PM","0","0"
"481","M","Sessegnon, Stéphane - WBA","FA","ARS Sat 3:00PM","0","0"
"482","M","Shaqiri, Xherdan - STK","WW","@SOU Sat 3:00PM","0","0"
"483","D","Shaw, Luke - MUN","FA","@WAT Sat 12:45PM","0","0"
"484","D","Shawcross, Ryan - STK","FA","@SOU Sat 3:00PM","0","0"
"485","M","Sheaf, Ben - ARS","WW","@WBA Sat 3:00PM","0","0"
"486","M","Shelvey, Jonjo - SWA","FA","BOUR Sat 3:00PM","0","0"
"487","M","Shenton, Oliver - STK","FA","@SOU Sat 3:00PM","0","0"
"488","M","Sidwell, Steve - STK","FA","@SOU Sat 3:00PM","0","0"
"489","D","Simpson, Danny - LEIC","FA","@NEW Sat 3:00PM","0","0"
"490","F","Sinclair, Jerome - LIV","WW","@MCI Sat 5:30PM","0","0"
"491","M","Sissoko, Moussa - NEW","FA","LEIC Sat 3:00PM","0","0"
"492","D","Skrtel, Martin - LIV","FA","@MCI Sat 5:30PM","0","0"
"493","D","Smalling, Chris - MUN","FA","@WAT Sat 12:45PM","0","0"
"494","D","Smith, Adam - BOUR","FA","@SWA Sat 3:00PM","0","0"
"495","M","Smith, Connor - WAT","WW","MUN Sat 12:45PM","0","0"
"496","M","Song, Alexandre - WHU","WW","@TOT Sun 4:00PM","0","0"
"497","D","Souaré, Pape - CRY","FA","SUN Mon 8:00PM","0","0"
"498","G","Speroni, Julian - CRY","FA","SUN Mon 8:00PM","0","0"
"499","G","Spiegel, Raphael - WHU","FA","@TOT Sun 4:00PM","0","0"
"500","G","Stanek, Jindrich - EVE","WW","AVL Sat 3:00PM","0","0"
"501","M","Stanislas, Junior - BOUR","FA","@SWA Sat 3:00PM","0","0"
"502","G","Steer, Jed - AVL","WW","@EVE Sat 3:00PM","0","0"
"503","D","Stones, John - EVE","FA","AVL Sat 3:00PM","0","0"
"504","G","Max Stryjek - SUN","WW","@CRY Mon 8:00PM","0","0"
"505","D","Suliman, Easah - AVL","WW","@EVE Sat 3:00PM","0","0"
"506","M","Surman, Andrew - BOUR","FA","@SWA Sat 3:00PM","0","0"
"507","M,F","Surridge, Sam - BOUR","WW","@SWA Sat 3:00PM","0","0"
"508","M","Sánchez, Carlos - AVL","FA","@EVE Sat 3:00PM","0","0"
"509","D","Tabanou, Franck - SWA","FA","BOUR Sat 3:00PM","0","0"
"510","D","Targett, Matt - SOU","FA","STK Sat 3:00PM","0","0"
"511","M,F","Taylor, Corey - AVL","WW","@EVE Sat 3:00PM","0","0"
"512","D","Taylor, Neil - SWA","FA","BOUR Sat 3:00PM","0","0"
"513","D","Taylor, Steven - NEW","FA","LEIC Sat 3:00PM","0","0"
"514","D","Dionatan Teixeira - STK","WW","@SOU Sat 3:00PM","0","0"
"515","D","Terry, John - CHE","FA","NOR Sat 3:00PM","0","0"
"516","M","Tettey, Alexander - NOR","FA","@CHE Sat 3:00PM","0","0"
"517","M","Thauvin, Florian - NEW","WW","LEIC Sat 3:00PM","0","0"
"518","M","Tioté, Cheick - NEW","FA","LEIC Sat 3:00PM","0","0"
"519","F","Toivonen, Ola - SUN","WW","@CRY Mon 8:00PM","0","0"
"520","D","Tomkins, James - WHU","FA","@TOT Sun 4:00PM","0","0"
"521","F","Tomlin, Lee - BOUR","WW","@SWA Sat 3:00PM","0","0"
"522","D","Touré, Kolo - LIV","FA","@MCI Sat 5:30PM","0","0"
"523","M","Townsend, Andros - TOT","FA","WHU Sun 4:00PM","0","0"
"524","M","Traore, Bertrand - CHE","FA","NOR Sat 3:00PM","0","0"
"525","F","Traoré, Adama - AVL","WW","@EVE Sat 3:00PM","0","0"
"526","G","Tremmel, Gerhard - SWA","WW","BOUR Sat 3:00PM","0","0"
"527","D","Trippier, Kieran - TOT","FA","WHU Sun 4:00PM","0","0"
"528","D","Tuanzebe, Axel - MUN","WW","@WAT Sat 12:45PM","0","0"
"529","F","Ulloa, Leonardo - LEIC","FA","@NEW Sat 3:00PM","0","0"
"530","F","Valencia, Enner - WHU","FA","@TOT Sun 4:00PM","0","0"
"531","D","Antonio Valencia - MUN","FA","@WAT Sat 12:45PM","0","0"
"532","M","Van Ginkel, Marco - STK","FA","@SOU Sat 3:00PM","0","0"
"533","M","Veretout, Jordan - AVL","WW","@EVE Sat 3:00PM","0","0"
"534","D","Vertonghen, Jan - TOT","FA","WHU Sun 4:00PM","0","0"
"535","M","João Teixeira - LIV","WW","@MCI Sat 5:30PM","0","0"
"536","D","Walker, Kyle - TOT","FA","WHU Sun 4:00PM","0","0"
"537","M","Wanyama, Victor - SOU","FA","STK Sat 3:00PM","0","0"
"538","D","Ward, Elliott - BOUR","WW","@SWA Sat 3:00PM","0","0"
"539","M","Ward-Prowse, James - SOU","FA","STK Sat 3:00PM","0","0"
"540","D","Wasilewski, Marcin - LEIC","FA","@NEW Sat 3:00PM","0","0"
"541","G","Watkins, Bradley - AVL","WW","@EVE Sat 3:00PM","0","0"
"542","M","Watson, Ben - WAT","FA","MUN Sat 12:45PM","0","0"
"543","F","Welbeck, Danny - ARS","FA","@WBA Sat 3:00PM","0","0"
"544","M","Westwood, Ashley - AVL","FA","@EVE Sat 3:00PM","0","0"
"545","M","Whelan, Glenn - STK","FA","@SOU Sat 3:00PM","0","0"
"546","F","Wickham, Connor - CRY","FA","SUN Mon 8:00PM","0","0"
"547","D","Williams, Ashley - SWA","FA","BOUR Sat 3:00PM","0","0"
"548","M","Wilshere, Jack - ARS","FA","@WBA Sat 3:00PM","0","0"
"549","F","Wilson, James - MUN","FA","@WAT Sat 12:45PM","0","0"
"550","D","Wilson, Marc - STK","FA","@SOU Sat 3:00PM","0","0"
"551","D","Wimmer, Kevin - TOT","FA","WHU Sun 4:00PM","0","0"
"552","M","Winks, Harry - TOT","WW","WHU Sun 4:00PM","0","0"
"553","D","Wisdom, Andre - NOR","FA","@CHE Sat 3:00PM","0","0"
"554","D","Wollscheid, Philipp - STK","FA","@SOU Sat 3:00PM","0","0"
"555","G","Woodman, Freddie - NEW","WW","LEIC Sat 3:00PM","0","0"
"556","G","Wright, Richard - MCI","FA","LIV Sat 5:30PM","0","0"
"557","M","Yacob, Claudio - WBA","FA","ARS Sat 3:00PM","0","0"
"558","D","Yedlin, DeAndre - SUN","FA","@CRY Mon 8:00PM","0","0"
"559","D","Yoshida, Maya - SOU","FA","STK Sat 3:00PM","0","0"
"560","M","Young, Ashley - MUN","FA","@WAT Sat 12:45PM","0","0"
"561","D","Zabaleta, Pablo - MCI","FA","LIV Sat 5:30PM","0","0"
"562","D","Zubar, Stéphane - BOUR","WW","@SWA Sat 3:00PM","0","0"
"563","D","Gabriel Paulista - ARS","FA","@WBA Sat 3:00PM","0","0"
"564","M","de Jong, Siem - NEW","FA","LEIC Sat 3:00PM","0","0"
"565","D","van Aanholt, Patrick - SUN","FA","@CRY Mon 8:00PM","0","0"
